NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Claudia Bauzer Medeiros","MEDEIROS, C. B.","1","",0,,,,
"Juliano Lopes de Oliveira","OLIVEIRA, J. L.","2","",0,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",0,,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",1,,,,
"Eleri Cardozo","CARDOZO, E.","2","",1,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",1,,,,
"Nelson Luis Saldanha da Fonseca","FONSECA, N. L. S.","1","",2,,,,
"Moacyr Martucci Júnior","MARTUCCI JUNIOR, M.","2","",2,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",2,,,,
"Nelson Luis Saldanha da Fonseca","FONSECA, N. L. S.","1","",3,,,,
"Omar Carvalho Branquinho","BRANQUINHO, O. C.","2","",3,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",3,,,,
"Nelson Luis Saldanha da Fonseca","FONSECA, N. L. S.","1","",4,,,,
"Célio Vinícius Neves de Albuquerque","ALBUQUERQUE, C. V. N.","2","",4,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",4,,,,
"Ricardo da Silva Torres","TORRES, R. da S.","1","",5,,,,
"Renato Fileto","FILETO, R.","2","",5,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",5,,,,
"Maria Beatriz Felgar de Toledo","TOLEDO, M. B. F. de","1","",6,,,,
"Tarcisio da Rocha","ROCHA, T.","2","",6,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",6,,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",7,,,,
"Maurício Ferreira Magalhães","MAGALHÃES, M. F.","2","",7,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",7,,,,
"Paulo Lício de Geus","GEUS, P. L. de","1","",8,,,,
"Antonio Marinho Pilla Barcellos","BARCELLOS, A. M. P.","2","",8,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",8,,,,
"Roberto André Hexsel","HEXSEL, R. A.","1","",9,,,,
"Luis Carlos Erpen de Bona","BONA, L. C. E.","3","",9,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",9,,,,
"Maria Beatriz Felgar de Toledo","TOLEDO, M. B. F. de","1","",10,,,,
"Marcelo Fantinato","FANTINATO, M.","2","",10,,,,
