NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,RELATORIO-DE-PESQUISA_Id
"Pedro Jussieu de Rezende","REZENDE, P. J.","1","5746822816259454",0,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",0,,,,,
"Pedro Jussieu de Rezende","REZENDE, P. J.","1","5746822816259454",1,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",1,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",2,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","2","",2,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",3,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","2","",3,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","1","",4,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",4,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",5,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","2","",5,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",6,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","2","",6,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",7,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","2","",7,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",8,,,,,
"Gustavo Maciel Dias Vieira","VIEIRA, G. M. D.","2","",8,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","3","",8,,,,,
"Gustavo Maciel Dias Vieira","VIEIRA, G. M. D.","1","",9,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",9,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","3","",9,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",10,,,,,
"Tiemi Christine Sakata","SAKATA, T. C.","1","",11,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",11,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","3","",11,,,,,
"Tiemi Christine Sakata","SAKATA, T. C.","1","",12,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",12,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","3","",12,,,,,
"Tiemi Christine Sakata","SAKATA, T. C.","1","",13,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",13,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","3","",13,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",14,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","2","",14,,,,,
"Ulisses Furquim Freire da Silva","SILVA, U. F. F. DA","1","",15,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",15,,,,,
"SCHMIDT, R.","SCHMIDT, R.","1","",16,,,,,
"Islene Calciolari Garcia","GARCIA, I.C.","2","",16,,,,,
"Fernando Pedone","PEDONE, F.","3","",16,,,,,
"BUZATO, L.E.","BUZATO, L.E.","4","",16,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",17,,,,,
"Rodrigo Malta Schimidt","SCHIMIDT, R. M.","2","",17,,,,,
"Fernando Pedone","PEDONE, F.","3","",17,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","4","",17,,,,,
"Marcilio da Silva Oliveira","OLIVEIRA, M. S.","1","",18,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",18,,,,,
"Aminadab Nunes","NUNES, A.","3","",18,,,,,
"Tiemi Christine Sakata","SAKATA, T. C.","1","",19,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",19,,,,,
"Tiemi Christine Sakata","SAKATA, T. C.","1","",20,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",20,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","3","",20,,,,,
"Luciano Jerez Chaves","CHAVES, L. J.","1","",21,,,,,
"Neumar Costa Malheiros","MALHEIROS, N. C.","2","",21,,,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","3","1870389730408675",21,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","4","6947551604323520",21,,,,,
"Dzmitry Kliazovich","KLIAZOVICH, D.","5","",21,,,,,
"MENDERICO, RAPHAEL MARCOS","MENDERICO, RAPHAEL MARCOS","1","",22,,,,,
"Islene Calciolari Garcia","GARCIA, ISLENE CALCIOLARI","2","",22,,,,,
"Breno Henrique Leitão","LEITÃO, B. H.","1","",23,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",23,,,,,
"Neumar Costa Malheiros","MALHEIROS, N. C.","1","",24,,,,,
"Luciano Jerez Chaves","CHAVES, L. J.","2","",24,,,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","3","1870389730408675",24,,,,,
"Nelson Luis Saldanha da Fonseca","FONSECA, N. L. S.","4","",24,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","5","6947551604323520",24,,,,,
"ORIANI, ANDRE","ORIANI, ANDRE","1","",25,,,,,
"Islene Calciolari Garcia","GARCIA, ISLENE C.","2","",25,,,,,
"Luciano Jerez Chaves","CHAVES, L. J.","1","",26,,,,,
"Vítor Marge Eichemberger","EICHEMBERGER, V. M.","2","",26,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",26,,,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","4","1870389730408675",26,,,,,
