NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id
"Graduação","A Influência do projeto de lei 4376/93 que regula a falência já concordada prencitiva e a recuperação judicial das empresas que exercem atividades econômicas regidas pelas leis comerciais e das outras providências sobre o mercado de crédito brasileiro.","2004","Brasil","Português","","","",0
"Graduação","Mercado de Derivativos: Hedging no Brasil","2003","Brasil","Português","","","",1
"Graduação","Liberalização de Serviços Financeiros e a Inserção do Brasil na Economia Global","2003","Brasil","Português","","","",2
"Graduação","Restrição da Oferta de crédito de Longo Prazo para o Financiamento da Atividade Produtora no Brasil","2004","Canadá","Português","","","",3
"Graduação","Crises Econômicas e Mercado de Derivativos no Brasil - 1994-2003","2004","Brasil","Português","","","",4
"Graduação","O Mercado de Capitais como instrumento para o Desenvolvimento","2003","Brasil","Português","","","",5
"Graduação","Microfinanças no Brasil","2004","Brasil","Português","","","",6
"Graduação","Determinantes das Classificações de risco soberano: a relevância dos fundamentos macroeconômicos.","2004","Brasil","Português","","","",7
"Graduação","O Mercado de Ações no Brasil.","2004","Brasil","Português","","","",8
"Graduação","As linhas de financiamento à exportação no Brasil","2005","Brasil","Português","","","",9
"Graduação","Década de momento: Abertura Financeira e Impactos na Economia Brasileira","2005","Brasil","Português","","","",10
"Graduação","O promissor papel dos fundos de pensão como financiadores do desenvolvimento","2005","Brasil","Português","","","",11
"Graduação","Spread bancário e risco de crédito - As contribuições da inadimplência e do prêmio de risco","2006","Brasil","Português","","","",12
"Graduação","A abertura financeira de Países Emergentes e o ciclo de liquidez recente no Brasil","2006","Brasil","Português","","","",13
"Graduação","Liberalização financeira e autonomia de política monetária em economias emergentes","2006","Brasil","Português","","","",14
"Graduação","Banco Central do Brasil: para além da estabilidade de preços","2007","Brasil","Português","","","",15
"Graduação","Bancos de investimentos no Brasil e a nova institucionalidade no mercado de capitais (2000-2007)","2007","Brasil","Português","","","",16
"Graduação","A influência do governo chinês na formação de grupos empresariais de grande dimensão","2007","Brasil","Português","","","",17
"Graduação","A crise financeira recente: uma abordagem sob a ótica do risco sistêmico","2010","Brasil","Português","","","",18
"Graduação","Crise financeira global: uma comparação entre a atuação dos Bancos Centrais, FederalReserve e Banco Central Europeu durante esta crise e suas consequências","2011","Brasil","Português","","","",19
"Graduação","As Proposições de Política Macroeconômica do Mainstream para o pós-crise e a inserção do Pensamento Novo Keynesiano","2010","Brasil","Português","","","",20
"Graduação","Inter-relação entre juros, câmbio e expectativas de mercado (2004-2007)","2009","Brasil","Português","","","",21
"Graduação","O impacto da contabilização dos ativos fincanceiros na crise do subprime","2010","Brasil","Português","","","",22
"Graduação","A crise do Subprime e o papel do Big Bank","2010","Brasil","Português","","","",23
"Graduação","Instabilidade financeira - financiamento dos agentes e os ciclos econômicos","2011","Brasil","Português","","","",24
"Graduação","O mercado brasileiro de derivativos para empresas não-financeiras","2009","Brasil","Português","","","",25
"Graduação","Mecanismos de transmissão da Política Monetária: Fatores que condicionam os impactos dataxa de juros sobre a demanda agregada","2010","Brasil","Português","","","",26
"Graduação","Diferenças teóricas do capitalismo com dominância","2011","Brasil","Português","","","",27
"Graduação","Regime de câmbio flutuante no Brasil (1999-2008) e indicadores do medo de flutuar","2009","Brasil","Português","","","",28
"Graduação","Os impactos da Política Cambial recente no Brasil e o câmbio como mecanismo financeiro e oRisco de desindustrialização","2011","Brasil","Português","","","",29
"Graduação","Crise do subprime: Uma comparação entre a atuação do Federal Reserve e do Banco Central","2010","Brasil","Português","","","",30
"Graduação","O impacto da crise subprime sobre a dinâmica do mercado de crédito bancário brasileiro","2011","Brasil","Português","","","",31
"Graduação","O regime de metas de inflação em reforma: debate internacional e mudanças no Brasil","2011","Brasil","Português","","","",32
"Graduação","A VULNERABILIDADE EXTERNA DA ECONOMIA BRASILEIRA","2013","Brasil","Português","","","",33
"Graduação","O projeto islandês de financeirização nacional","2014","Brasil","Português","","","",34
"Graduação","Os Ciclos Internacionais de Liquidez Financeira dos anos 70 e 90 e a condução de Políticas Macroeconômicas no Brasil.","2004","Brasil","Português","","","",35
