NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id
"COMPLETO","A Volatilidade das Bolsas Americanas no primeiro semestre de 2000","2000","Brasil","Português","IMPRESSO","","NAO","","","NAO",0,
"COMPLETO","Convivendo com o câmbio flutuante","2000","Brasil","Português","IMPRESSO","","NAO","","","NAO",1,
"COMPLETO","Nem crash nem estabilidade","2000","Brasil","Português","IMPRESSO","","NAO","","","NAO",2,
"COMPLETO","Ativos na economia americana","1999","Brasil","Português","IMPRESSO","","NAO","","","NAO",3,
"COMPLETO","Derivativos Financeiros: Hedge, Especulação e Arbitragem.","1999","Brasil","Português","IMPRESSO","","NAO","","","NAO",4,
"COMPLETO","As Repercussões dos Mercados de Derivativos Financeiros","1999","Brasil","Português","IMPRESSO","","NAO","","","NAO",5,
"COMPLETO","Derivativos Financeiros: Estabilização Monetária, ataques Especulativos e Crise Cambial no Brasil","2000","Brasil","Português","IMPRESSO","","NAO","","","NAO",6,
"COMPLETO","Derivativos Financeiros: Estabilização Monetária, ataques Especulativos e Crise Cambial no Brasil","2001","Brasil","Português","IMPRESSO","","NAO","","","NAO",7,
"COMPLETO","Novos Instrumentos e práticas na Finança Internacional","2002","Brasil","Português","IMPRESSO","","NAO","","","NAO",8,
"COMPLETO","O acesso às informações: classificação de riscos, auditorias e contabilidade","2002","Brasil","Português","IMPRESSO","","NAO","","","NAO",9,
"COMPLETO","Dinâmica dos Ataques Especulativos e Regime Cambial","2002","Brasil","Português","IMPRESSO","","NAO","","","NAO",10,
"COMPLETO","Informação dos Investidores: Classificação de Riscos, Auditorias e Contabilidade","2002","Brasil","Português","IMPRESSO","","NAO","","","NAO",11,
"COMPLETO","Argentina: Contradicciones e Limites del Plan de Conversibilidad","2002","Brasil","Português","IMPRESSO","","NAO","","","NAO",12,
"COMPLETO","As contradições e os limites do Plano de Conversibilidade argentino: lições para os países latino-americanos","2002","Brasil","Português","IMPRESSO","","NAO","","","NAO",13,
"COMPLETO","Mercados Financeiros sob Suspeita","2002","Brasil","Português","IMPRESSO","","NAO","","","NAO",14,
"COMPLETO","As restrições de Capitais Estrangeiros aos Países Emergentes no Limiar do Século XXI","2002","Brasil","Português","IMPRESSO","http://www.sobeet.com.br","NAO","","","NAO",15,
"COMPLETO","O crash de 2002: da exuberência irracional à ganância infecciosa","2003","Brasil","Português","IMPRESSO","","NAO","","","NAO",16,
"COMPLETO","Os limites da inserção internacional dos países emergentes no limiar do século XXI","2003","Brasil","Português","IMPRESSO","","NAO","","","NAO",17,
"COMPLETO","Las restricciones de capitales extranjeros a los países emergentes en el umbral del siglo XXI","2003","","Português","IMPRESSO","","NAO","","","NAO",18,
"COMPLETO","A crise financeira e o global shadow banking system","2008","","Português","IMPRESSO","","SIM","","The Financial Crisis and the Global Shadow Banking System","NAO",19,
"COMPLETO","Operações com derivativos financeiros das corporações de economias emergentes","2009","","Português","IMPRESSO","","SIM","","","NAO",20,
"COMPLETO","The Financial Crisis and the Global Shadow Banking System: La crise financière et le Global Shadow Banking System","2009","","Inglês","MEIO_DIGITAL","[http://regulation.revues.org/index7473.html#text.]","SIM","","The Financial Crisis and the Global Shadow Banking System","NAO",21,
"COMPLETO","A arquitetura do sistema financeiro internacional contemporâneo","2009","","Português","IMPRESSO","","NAO","","","NAO",22,
"COMPLETO","A crise e os desafios para a nova arquitetura financeira internacional","2009","","Português","IMPRESSO","","NAO","","","NAO",23,
"COMPLETO","Crisis financiera internacional: contagio y respuestas regulatorias","2009","","Espanhol","MEIO_DIGITAL","[http://www.nuso.org]","NAO","","","NAO",24,
"COMPLETO","The shadow banking system and the new phase of the money manager capitalism","2015","","Inglês","VARIOS","[http://www.tandfonline.com/doi/pdf/10.1080/01603477.2015.1049925]","SIM","10.1080/01603477.2015.1049925","The shadow banking system and the new phase of the money manager capitalism","NAO",25,
"COMPLETO","Revelações da crise: moeda fiduciária e as relações Tesouro/Banco Central","2014","","Inglês","VARIOS","[http://www.scielo.br/pdf/rep/v34n3/v34n3a03.pdf]","NAO","10.1590/S0101-31572014000300003","Revelações da crise: moeda fiduciária e as relações Tesouro/Banco Central","NAO",26,
"COMPLETO","From IMF to the Troika: new analytical framework, same conditionalities","2015","","Inglês","MEIO_DIGITAL","[http://https://www.u-picardie.fr/CRIISEA/Revue%20Economie%20et%20Institutions/articles.php?id_no=19&id_art=117]","NAO","","","NAO",27,
"COMPLETO","The shadow banking system and the new phase of the money manager capitalism","2015","","Inglês","VARIOS","","NAO","","","NAO",28,
"COMPLETO","Macroeconomic theory in the aftermath of the crisis: mainstream and new Keynesianism","2015","","Inglês","VARIOS","[http://revistas.face.ufmg.br/index.php/novaeconomia/article/view/1737]","NAO","","","NAO",29,
"COMPLETO","Macroeconomic theory in the aftermath of the crisis: mainstream and new Keynesianism","2015","","Inglês","VARIOS","[http://revistas.face.ufmg.br/index.php/novaeconomia]","NAO","","","NAO",30,
"NAO_INFORMADO","Revelações da crise: Tesouro e Banco Central","2014","","Português","NAO_INFORMADO","","NAO","","","NAO",,0
