NATUREZA,TITULO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Artigos publicados na internet","Análise comparativa do regime de metas de inflação: pass-through, formatos e gestão nas economias emergentes","2007","Brasil","Português","MEIO_MAGNETICO","http://www.eco.unicamp.br/publicacoes/texto_disc.html","NAO","","","","NAO",0
"Relatório de Pesquisa","Os formatos do regime e os impactos dos choques exógenos","2006","Brasil","Português","IMPRESSO","","NAO","","","","NAO",1
"Relatório de Pesquisa","Política monetária, taxas de juros e taxas de câmbio","2007","Brasil","Português","IMPRESSO","","NAO","","","","NAO",2
"Artigos publicados na internet","Ativos brasileiros e liquidez internacional","2005","Brasil","Português","MEIO_MAGNETICO","http://www.eco.unicamp.br/pesquisa/CECON/index.php","NAO","","","","NAO",3
"Artigos publicados na internet","Os vínculos entre a taxa de juros, o risco país e a taxa de câmbio do real","2005","Brasil","Português","MEIO_MAGNETICO","http://www.eco.unicamp.br/pesquisa/CECON/index.php","NAO","","","","NAO",4
"Artigos publicados na internet","Mercados de câmbio offshore e moedas inconversíveis","2004","Brasil","Português","MEIO_MAGNETICO","http://www.eco.unicamp.br/pesquisa/CECON/index.php","NAO","","","","NAO",5
"Artigos publicados na internet","Metas de inflação e erros de gestão","2003","Brasil","Português","MEIO_MAGNETICO","http://www.eco.unicamp.br/pesquisa/CECON/index.php","NAO","","","","NAO",6
"Artigos publicados na internet","O crédito e a retomada do crescimento","2003","Brasil","Português","MEIO_MAGNETICO","http://www.eco.unicamp.br/pesquisa/CECON/index.php","NAO","","","","NAO",7
"Artigos publicados na internet","O debate em torno da criação de um Fundo Cambial no Brasil","2008","Brasil","Português","MEIO_DIGITAL","http://www.eco.unicamp.br/docdownload/publicacoes/textosdiscussao/texto152.pdf","NAO","","","","NAO",8
"Artigos publicados na internet","O debate em torno dos fundos cambiais: experiências internacionais","2008","Brasil","Português","MEIO_DIGITAL","http://www.eco.unicamp.br/docdownload/publicacoes/textosdiscussao/texto150.pdf","NAO","","","","NAO",9
"Artigos publicados na internet","A crise financeira internacional, o grau de investimento e a taxa de câmbio do real","2009","Brasil","Português","VARIOS","http://www.eco.unicamp.br/docdownload/publicacoes/textosdiscussao/texto164.pdf","NAO","","","","NAO",10
"Artigos publicados na internet","Mercado de câmbio: possíveis medidas contra a excessiva apreciação cambial","2008","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",11
"Artigos publicados na internet","O Debate em torno dos fundos cambiais","2008","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",12
"Artigos publicados na internet","Fundos cambiais e estratégias de intervenção no mercado brasileiro de câmbio","2007","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",13
"Artigos publicados na internet","A Crise e os desafios para a nova arquitetura financeira internacional. Dossiê da Crise","2008","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",14
"Artigos publicados na internet","Double Dip: A recuperação econômica em questão. Dossiê da Crise II","2010","Brasil","Português","MEIO_DIGITAL","www.ppge.ufrgs.br/akb","NAO","","","","NAO",15
"Texto para Discussão","Crise Financeira e Reformas da Supervisão e Regulação","2011","Brasil","Português","IMPRESSO","","NAO","","","","NAO",16
"Relatório de Pesquisa","Derivativos financeiros: estabilização monetária, ataques especulativos e crise cambial no Brasil","2000","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",17
"Relatório de Pesquisa","Derivativos financeiros: estabilização monetária, ataques especulativos e crise cambial no Brasil","2001","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",18
"Relatório de Pesquisa","Novos instrumentos e práticas na finança internacional","2002","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",19
"Boletim","A ineficácia da política monetária","2005","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",20
"Boletim","Repercussões da Política Monetária","2005","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",21
"Boletim","As economias emergentes e os ciclos de liquidez","2004","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",22
"Boletim","Metas de inflação e o medo de crescer","2004","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",23
"Boletim","As repercussões da volatibilidade financeira","2003","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",24
"Boletim","Crédito, mercados de capitais e perspectivas de crescimento","2003","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",25
"Texto para Discussão","Foreign exchange derivatives, banking competition and financial fragility in Brazil","2015","Brasil","Inglês","MEIO_DIGITAL","http://www.minds.org.br","NAO","","","","NAO",26
"Relatório de Pesquisa","Metas de inflação no Brasil: canais de transmissão e gestão da política monetária","2007","Brasil","Português","IMPRESSO","","NAO","","","","NAO",27
