NATUREZA,TITULO-DO-TRABALHO-TECNICO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-TECNICO-INGLES,TRABALHO-TECNICO_Id
"PARECER","Parecer para a Revista Economia e Sociedade","2006","Brasil","Português","IMPRESSO","","NAO","","",0
"PARECER","Parecer para a Revista Economia e Sociedade","2007","Brasil","Português","IMPRESSO","","NAO","","",1
"PARECER","Revista Brasileira de Finanças","2011","Brasil","Português","MEIO_DIGITAL","","NAO","","",2
"PARECER","Parecer para a Revista Economia e Sociedade","2009","Brasil","Português","NAO_INFORMADO","","NAO","","",3
"PARECER","Parecer para a Revista Economia e Sociedade","2008","Brasil","Português","NAO_INFORMADO","","NAO","","",4
"PARECER","Parecer para a Revista Economia e Sociedade","2010","Brasil","Português","NAO_INFORMADO","","NAO","","",5
"PARECER","Parecer para a Revista Economia e Sociedade","2011","Brasil","Português","NAO_INFORMADO","","NAO","","",6
"PARECER","Parcer para a revista Análise Econômica","2009","Brasil","Português","NAO_INFORMADO","","NAO","","",7
"PARECER","Parecer para a Revista Análise Econômica","2010","Brasil","Português","NAO_INFORMADO","","NAO","","",8
"PARECER","Parecer para a Revista Análise Econômica","2011","Brasil","Português","NAO_INFORMADO","","NAO","","",9
"PARECER","Parecer para a Editora Mackenzie","2011","Brasil","Português","NAO_INFORMADO","","NAO","","",10
"PARECER","Parecer para a Revista Economia e Sociedade","2004","Brasil","Português","NAO_INFORMADO","","NAO","","",11
"PARECER","Parecer para Revista Economia e Sociedade","2005","Brasil","Português","NAO_INFORMADO","","NAO","","",12
"PARECER","Parecerista da Revista Economia Política","2008","Brasil","Português","NAO_INFORMADO","","NAO","","",13
"PARECER","Parecerista da Revista Economia Política","2009","Brasil","Português","NAO_INFORMADO","","NAO","","",14
"PARECER","Parecerista da Revista Economia Política","2011","Brasil","Português","NAO_INFORMADO","","NAO","","",15
"PARECER","Parecerista da Revista Economia Política","2010","Brasil","Português","NAO_INFORMADO","","NAO","","",16
