NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","Regulamentação Prudencial e a Estabilidade do Sistema Financeiro","2004","Brasil","Português","","","",0
"Mestrado","ACADEMICO","A Política Monetária no fio da navalha - Ameaças de um ciclo de ativos.","2006","Brasil","Português","","","",1
"Mestrado","ACADEMICO","O Funcionamento do Regime de Metas de Inflação no Brasil","2006","Brasil","Português","","","",2
"Mestrado","ACADEMICO","Crises Cambiais X Fundamentos Macroeconômicos: A experiência Brasileira sob o regime de câmbio flutuante 1999-2002","2005","Brasil","Português","","","",3
"Mestrado","ACADEMICO","Regimes cambiais em países emergentes: o caso brasileiro recente 1994-2006","2007","Brasil","Português","","","",4
"Mestrado","ACADEMICO","Basiléia II e países em desenvolvimento","2008","Brasil","Português","","","",5
"Mestrado","ACADEMICO","Discricionariedade e mandatos de Bancos Centrais em contexto de desregulamentação financeira","2009","Brasil","Português","","","",6
"Mestrado","ACADEMICO","O FED antes da crise: análise das atas do FOMC e de falas de Greenspan e Bernanke","2011","Brasil","Português","","","",7
"Mestrado","ACADEMICO","A hipótese de fragilidade financeira de Minsky e a regulação financeira nos mercados de balcão","2011","Brasil","Português","","","",8
"Mestrado","ACADEMICO","Discricionariedade e mandatos de Bancos Centrais em contexto de desregulamentação financeira","2009","Brasil","Português","","","",9
"Mestrado","ACADEMICO","Avaliação de Modelos de Value-at-Risk para Ações","2005","Brasil","Português","","","",10
"Mestrado","ACADEMICO","Crises Cambiais X Fundamentos Macroeconômicos: A experiência Brasileira sob o regime de câmbio flutuante 1999-2002","2005","Brasil","Português","","","",11
"Mestrado","ACADEMICO","Regulamentação Prudencial e a Estabilidade do Sistema Financeiro","2004","Brasil","Português","","","",12
"Mestrado","ACADEMICO","Avaliação de Modelos de Value-at-Risk para Ações","2005","Brasil","Português","","","",13
