NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-ENCONTRO_Id
"Encontro","Debatedora do Texto: Exchange rates, Growth regimes and economic development: Theory and evidence for Brazil","2012","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",0
"Encontro","A crise e os dilemas da política econômica","2012","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",1
"Encontro","A crise e o global shadow banking system","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",2
"Encontro","The seventh stage of the evolution of the Banking System","2012","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",3
"Encontro","Os impactos macroeconômicos dos derivativos financeiros","1999","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",4
"Encontro","Operações com derivativos financeiros das corporações de economias emergentes no ciclo recente","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",5
"Encontro","O sétimo estágio de desenvolvimento do sistema bancário","2011","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",6
"Encontro","Internacionalização Bancária e derivativos financeiros no Brasil","2005","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",7
"Encontro","Presidente da Sessão Ordinária 58 - Mesa 7 - Inserção Internacional e Desenvolvimento","2012","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",8
"Encontro","Apreciação Cambial e Mercado de Derivativos no Brasil.","2010","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",9
"Encontro","Crise Financeira e reformas da supervisão e regulação","2010","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",10
"Encontro","A Fragilidade Financeira Global","2012","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",11
"Encontro","Políticas Macroeconômicas Pós-Crise, Mainstream e a Inserção do Pensamento Novo Keynesiano","2011","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",12
