ANO_INICIO,ANO_FIM,NOME,SITUACAO,NATUREZA,DESCRICAO
2011,2013,Acelerando sistemas de recuperação de imagens por conteúdo (CBIR) com GPUs e APUs,CONCLUIDO,PESQUISA,"Neste projeto, investigamos e desenvolvemos técnicas para a implementação e execução eficiente de algoritmos de ""re-ranking"" para classificação de imagens em arquiteturas paralelas heterogêneas, incluindo GPUs e APUs."
2011,2013,Algoritmos e suporte em hardware para projeto de máquinas virtuais eficientes,CONCLUIDO,PESQUISA,"Neste projeto, investigamos algoritmos e técnicas em hardware para auxiliar a implementação de máquinas virtuais eficientes. Máquinas virtuais são programas de computador que emulam uma interface para execução de outros programas, compilados para a interface sendo emulada. Esta tecnologia está presente em diversos sistemas computacionais e é utilizada desde o suporte à linguagens de programação de alto nível, como na máquina virtual Java, até a implementação de processadores com projeto integrado de hardware e software, como é o caso processador Efficeon da Transmeta. A maioria das máquinas virtuais existentes na literatura utiliza técnicas de emulação similares, como interpretação e tradução dinâmica de binários. De fato, as duas técnicas são muitas vezes utilizadas de forma colaborativa, em uma mesma máquina virtual, para acelerar o processo de emulação e tornar a máquina virtual eficiente. Dada a importância do processo de emulação nas máquinas virtuais, o objetivo deste projeto de pesquisa é investigar algoritmos e técnicas em hardware para acelerar o processo de emulação em máquinas virtuais."
2012,2014,Técnicas de Formação e Identificação de Regiões Quentes e Paralelização de Laços usando Software Pipeline Desacoplado,CONCLUIDO,PESQUISA,Este projeto tem por objetivo desenvolver novas técnicas na área de paralelização de regiões quentes em máquinas virtuais.
2012,2014,"ExaMind: Busca, Classificação e Visualização de Dados Complexos em Grande Escala Utilizando Processamento de Alto Desempenho",CONCLUIDO,PESQUISA,"At the avant-garde of scienti c and industrial computing, there are problems involving very large-scale streams and collections of complex data. Multimedia, multimodal, spatial-temporal or involving social networks, these data are beyond the models created for handling structured and textual information. Thus, two dimensions appear as immediate challenges: the volume of data and their complexity. At the front end of large-scale and high complexity, it is insu cient to work in isolation with algorithmic solutions or with execution environment improvements. Rather, it is necessary to conceive and synergistically combine those two lines of work. New massively parallel architectures, derived from the GPUs (graphics processing units) and APUs (advanced processing units), promise to disrupt the high-performance computing market. However, due to the large di erence between those architectures and those based on conventional CPUs, the concretization of their potential is far from trivial, involving intricate compromises ranging from algorithm design to online dynamic adjustments made at runtime. Advancing the state of the art at this vanguard is the goal of this ambitious project, which brings together a team with complementary skills: on one hand, in the elds of machine learning, multimedia search and classi cation, and processing of other complex data and streams; on the other hand, in the elds of parallel computing, high performance computing and new computing architectures. The versatility and relevance of the techniques studied will be demonstrated in bold applications of high impact: Information Retrieval, Multimedia Classi cation, and Visualization of Complex Data. The project encompasses data analysis and data mining, which have become a key activity for many organizations. It falls within the scope of two of the Grand Challenges in Computing: Information Management in Large Volumes of Distributed Multimedia Data, and Impacts on Computing of the Transition from"
2012,2016,Content-Based Image Retrieval (CBIR) on APU Clouds,CONCLUIDO,PESQUISA,"The usefulness of re-ranking approaches for CBIR systems depends not only on the
effectiveness, but also on the efficiency and scalability. While the effectiveness is related to the quality of retrieved images, the efficiency refers to the time spent to obtain the results.

Scalability considers the system capability of handling growing image collections. Although the effectiveness has been the focus of various recent works, dealing with those three requirements at the same time is essential in real-world applications. Our recent results (supported by AMD Research), show that image re-ranking algorithms can be accelerated using GPGPUs and has great potential to explore the features of the APUs architecture. However, for very large image collections, it is also important to ensure that these algorithms can scale well with the growth of the data set.

Aiming at computing the relationship among images, re-ranking algorithms often consider all the distances among images of a given dataset, which represent a large computational effort, hindering its use in searching services that deal with real-world image collections.

However, our recent findings indicate that re-ranking strategies can still improve the
effectiveness of the results even if only a small subset of the ranked list is taken into account when performing the re-ranking procedure. Such a observation allowed us to design image re-ranking algorithms with lower complexity. The next steps will be dedicated to make them scalable and, hence, well suited to large datasets."
2013,2015,Modelagem de consumo de energia em dispositivos móveis baseados em processadores ARM,CONCLUIDO,PESQUISA,"O principal objetivo neste projeto é entender como a energia é consumida pelos componentes de hardware como CPU, GPU, memória, e dispositivos periféricos, levando em consideração todas as camadas da plataforma do software. Os resultados esperados incluem modelos de consumo de energia, uma metodologia eficiente para gerar estes modelos e medidas de consumo de energia para sistemas modernos baseados nos processadores ARM, considerando-se diferentes modos de consumo de energia do processador."
2013,2015,Algoritmos e suporte em hardware para o projeto da máquina virtual Open-ISA VM,CONCLUIDO,PESQUISA,"Open-ISA é uma arquitetura de computador que está sendo desenvolvida no Laboratório de Sistemas de Computação da Unicamp como parte de uma estratégia para reduzir o déficit da balança comercial brasileira no setor de eletroeletrônicos. O seu desenvolvimento em conjunto com a máquina virtual Open-ISA VM permitirá que sistemas complexos, incluindo sistemas operacionais, ferramentas de produtividade e científicas sejam executados de forma transparente em diferentes arquiteturas, eliminando a vínculo do software nacional com as arquiteturas proprietárias de empresas estrangeiras.

Este projeto visa investigar o estado da arte e propor novos algoritmos e suporte em hardware para implementar a máquina virtual Open-ISA VM de forma que as aplica- ções compiladas para Open-ISA possam ser emuladas de forma eficiente em arquiteturas atuais."
2011,2015,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos,CONCLUIDO,PESQUISA,"O projeto consiste na pesquisa e desenvolvimento de técnicas para simulação numérica de fratura plana em meios heterogêneos com otimização para computadores paralelos. Nesse escopo, pretende-se realizar a simulação numérica do estado de tensão em torno do poço utilizando modelos elastoplásticos, a caracterização do comportamento não linear de rochas carbonáticas e a simulação de problemas multifísicos."
2014,2016,Algorithms and techniques to accelerate numerical simulation in the cloud,CONCLUIDO,PESQUISA,"Numerical computer simulation has become an important tool for the design of engineering products and services not only in the academia but also in high technology industries, such as aircraft, oil exploration, energy and others. 

In order to provide objective confidence levels in quantitative information obtained from numerical predictions it is important to account for the uncertainties related to the inputs of a computation attempting to represent a physical system. In this sense, stochastic analysis may be applied to measure the impact of the input parameters uncertainties on output data. However, this kind of analysis generally requires several hundreds or thousands of repeated simulations with a proper selection of the input values to provide reasonable confidence levels. These simulations, in turn, may consume a huge amount of computing power to be performed in a reasonable time frame. 

To acquire and manage a computing system with such computing power is not always feasible due to ownership cost and setup timing constraints. Moreover, the demand for resources when running simulation experiments generally varies with time leading to underutilization of the system when demand is low. Cloud computing, on the other hand, provides computing resources to consumers as a utility - consumers can access the IT resources easily and pay only for what they use. The goal of this project is to investigate algorithms and techniques for numerical computer simulation and stochastic analysis in the cloud."
2014,NULL,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance,EM_ANDAMENTO,PESQUISA,NULL
