PROJETO-DE-PESQUISA_Id,SEQUENCIA-PROJETO,ANO-INICIO,ANO-FIM,NOME-DO-PROJETO,SITUACAO,NATUREZA,NUMERO-GRADUACAO,NUMERO-ESPECIALIZACAO,NUMERO-MESTRADO-ACADEMICO,NUMERO-MESTRADO-PROF,NUMERO-DOUTORADO,DESCRICAO-DO-PROJETO,IDENTIFICADOR-PROJETO,DESCRICAO-DO-PROJETO-INGLES,NOME-DO-PROJETO-INGLES,FLAG-POTENCIAL-INOVACAO,NOME-COORDENADOR-CERTIFICACAO,DATA-CERTIFICACAO,NUMERO_TECNICO_NIVEL_MEDIO,PARTICIPACAO-EM-PROJETO_Id
0,"1","2012","","Um estudo sobre a produção em arte e tecnologia no curso de Licenciatura em Música do Instituto de Artes da Unicamp como embasamento para análise dos impactos das novas tecnologias na arte-educação","EM_ANDAMENTO","PESQUISA","2","","1","","","Projeto de pesquisa","","","Um estudo sobre a produção em arte e tecnologia no curso de Licenciatura em Música do Instituto de Artes da Unicamp como embasamento para análise dos impactos das novas tecnologias na arte-educação","NAO","","","",0
1,"2","2009","","Oficina de musicalização infantil","EM_ANDAMENTO","EXTENSAO","9","","","","","Orientação para alunos da licenciatura em música que ministram oficinas de musicalização para crianças de 7a 12 anos.","","","Oficina de musicalização infantil","NAO","","","",1
2,"3","2014","2014","PIBID","CONCLUIDO","OUTRA","15","","","","","Coordenação de Programa de Incentivo de Bolsas de Iniciação a Docência/Capes-coordenador do subprojeto Música Unicamp","","","PIBID","SIM","","","",2
3,"6","2014","2014","A Rítmica Dalcroze: uma educação por e para a música","CONCLUIDO","EXTENSAO","4","","","","","Dar a conhecer as bases filosóficas, pedagógicas e metodológicas do método Dalcroze e sua aplicabilidade a diferentes disciplinas, grupos e niveis de formação.","","","A RÍTMICA DALCROZE: UMA EDUCAÇÃO POR E PARA A MÚSICA","NAO","","","",3
4,"7","2012","2013","PIBID","CONCLUIDO","OUTRA","10","","","","","Coordenação de Programa de Incentivo de Bolsas de Iniciação a Docência/Capes-coordenador do subprojeto Música Unicamp","","","PIBID","SIM","","","",4
5,"8","2013","","LIFE","EM_ANDAMENTO","OUTRA","80","","10","","","Laboratório Interdisciplinar de Formação de Educadores","","","","NAO","","","",5
6,"9","2013","","PROCAD/Casadinho/CAPES","EM_ANDAMENTO","OUTRA","","","","","","Projeto Interinstitucional","","","","NAO","","","",5
7,"10","2014","","Educação Musical: Teoria e Prática","EM_ANDAMENTO","PESQUISA","","","4","","2","Projetos de pesquisa","","","Educação Musical: Teoria e Prática","NAO","","","",6
8,"11","2014","","Projeto Musical Primeira Nota","EM_ANDAMENTO","EXTENSAO","","","","","","O projeto musical Primeira Nota é uma parceria do Departamento de Música da Unicamp com a Secretaria de Educação da Prefeitura Municipal de Campinas, visando promover cursos de música para crianças e jovens de 6 a 14 anos no contraturno das escolas municipais de Campinas.","","","","NAO","","","",6
9,"12","2015","2016","Projeto PIBIC Ensino Médio-?Tecnologias aplicadas ao ensino e aprendizagem musical?","CONCLUIDO","PESQUISA","","","","","","O presente projeto propõe um estudo sobre a utilização de recursos tecnológicos por parte do licenciando em música durante sua formação na graduação. Tem como objetivo investigar o uso das novas tecnologias no fazer artístico e na atuação pedagógica de estudantes de cursos de licenciatura da área de Música da Unicamp. Pretende, ao final, a partir dos dados coletados, propor a aquisição paulatina de recursos tecnológicos para o laboratório de licenciatura em Música. O projeto será desenvolvido em três etapas. Inicialmente será realizada uma pesquisa documental (LÜDKE; ANDRÉ, 2005, p. 38) utilizando-se o Projeto Pedagógico do curso de licenciatura em Música, os registros acadêmicos da Diretoria Acadêmica (DAC) da Unicamp e coordenação de graduação em Música do IA, para identificar disciplinas com conteúdo tecnológico, bem como dados sobre número de alunos, etapas em que estão do curso e endereços para contato eletrônico. A seguir, será realizado um levantamento de informações sobre os recursos utilizados pelos alunos, com foco nos recursos tecnológicos que estes utilizam em suas práticas como músicos e educadores em formação. Essa etapa será realizada com o auxílio do Google Forms. Posteriormente, os dados obtidos serão organizados e analisados à luz da metodologia de análise de conteúdo (Idem, p.41). Propõe-se, finalmente, a formação de um banco de dados com os recursos tecnológicos coletados e aquisição progressiva de recursos, de forma a disponibilizá-los para os educadores musicais em formação e dar origem a publicações científicas sobre o assunto.","","","Projeto PIBIC Ensino Médio-?Tecnologias aplicadas ao ensino e aprendizagem musical?","NAO","","","",7
10,"14","2015","","Um estudo sobre a produção em arte e tecnologia no curso de Licenciatura em Música do Instituto de Artes da Unicamp como embasamento para análise dos impactos das novas tecnologias na arte-educação","EM_ANDAMENTO","PESQUISA","1","","1","","","Projeto de Pesquisa","","","Um estudo sobre a produção em arte e tecnologia no curso de Licenciatura em Música do Instituto de Artes da Unicamp como embasamento para análise dos impactos das novas tecnologias na arte-educação","NAO","","","",7
11,"15","2015","","Oficinas de música para crianças e adolescentes com deficiência cognitiva","EM_ANDAMENTO","EXTENSAO","","","","","","O projeto é desenvolvido no Centro de Atendimento Psicossocial Infanto-juvenil (CAPSi) ?Espaço Viver? de Sumaré com o propósito de desenvolver projeto musical para crianças e adolescentes gravemente comprometidos do ponto de vista psíquico","","","","NAO","","","",7
