NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"COMUNICACAO","?Atividades musicais na UNICAMP?","1996","Brasil","Português","NAO","","","NAO",0
"COMUNICACAO","?Uma experiência de musicalização de crianças desenvolvida em equipe?","1997","Brasil","Português","NAO","","","NAO",1
"COMUNICACAO","?Estudo sobre o curso de Educação Artística com Habilitação em Música: uma contribuição ao estudo da Educação Musical no Brasil?","1999","Brasil","Português","NAO","","","NAO",2
"COMUNICACAO","?A transmissão de conhecimentos em Educação Musical para professores de Arte do Ensino Fundamental- uma experiência dentro do projeto Teia do Saber da UNICAMP e da Secretaria de Estado da Educação?","2007","Brasil","Português","NAO","","","NAO",3
"COMUNICACAO","?O projeto Conexão do Saber da UNICAMP e sua contribuição para um ensino dinâmico?","2007","Brasil","Português","NAO","","","NAO",4
"COMUNICACAO","Aulas virtuais para trabalhar a escuta musical consciente de alunos do 5o ano do Ensino Fundamental","2008","Brasil","Português","NAO","","","NAO",5
"COMUNICACAO","Conexão do Saber: uma experiência prática de aprendizagem colaborativa implantada na rede de escolas municipais de São José do Rio Preto","2008","Brasil","Português","NAO","","","NAO",6
"COMUNICACAO","Ensino da escuta musical consciente para a escola regular através de aulas desenvolvidas para computador","2008","Brasil","Português","NAO","","","NAO",7
"COMUNICACAO","O impacto do projeto Conexão do Saber e sua contribuição para um ensino dinâmico","2008","Brasil","Português","NAO","","","NAO",8
"COMUNICACAO","Uma experiência de inclusão de alunos portadores de necessidades educacionais especiais","2008","Brasil","Português","NAO","","","NAO",9
"COMUNICACAO","Estrategias metodológicas para el aprendizaje de la Música","2008","Brasil","Português","NAO","","","NAO",10
"COMUNICACAO","Professores e alunos construindo atividades complementares por meio do projeto Conexão do Saber","2009","Brasil","Português","NAO","","","NAO",11
"COMUNICACAO","Módulos virtuais para auxiliar na EJA","2009","Brasil","Português","NAO","","","NAO",12
"OUTRA","A extensão como espaço de formação para o educador musical","2009","Brasil","Português","NAO","","","NAO",13
"OUTRA","Ampliando os laços com a escola - um projeto de extensão de educação musical em Várzea Paulista (SP)","2009","Brasil","Português","NAO","","","NAO",14
"OUTRA","Um estudo experimental a respeito da apreciação musical de alunos do ensino fundamental no ensino musical via computador","2009","Brasil","Português","NAO","","","NAO",15
"CONFERENCIA","Educador musical- formação, âmbitos de atuação e desafios a enfrentar","2009","Brasil","Português","NAO","","","NAO",16
"CONFERENCIA","Educação musical multicultural","2009","Brasil","Português","NAO","","","NAO",17
"COMUNICACAO","Jogos computacionais na educação: uma aplicação ao ensino de música","2011","Brasil","Português","NAO","","","NAO",18
"OUTRA","Implementação de coral e fanfarra na escola","2012","Brasil","Português","NAO","","","NAO",19
"CONFERENCIA","O ensino musical escolar e a Lei 11.769/2008","2013","Brasil","Português","NAO","","","NAO",20
"CONFERENCIA","Colóquio sobre Educação Musical na Educação Básica","2012","Brasil","Português","NAO","","","NAO",21
"CONFERENCIA","As possibilidades práticas da Educação Musical no Ensino Fundamental","2011","Brasil","Português","NAO","","","NAO",22
"CONFERENCIA","Desafios Atuais para o Educador Musical: sua Formação, Áreas de Atuação e o Ensino Musical Obrigatório nas Escolas Brasileiras","2009","Brasil","Português","NAO","","","NAO",23
"SIMPOSIO","Pensando a Educação Musical, o espaço escolar e o professor de música","2010","Brasil","Português","NAO","","","NAO",24
"SEMINARIO","O projeto Conexão do Saber","2010","Brasil","Português","NAO","","","NAO",25
"SEMINARIO","Estágio supervisionado e cotidiano escolar: uma integração necessária","2010","Brasil","Português","NAO","","","NAO",26
"CONGRESSO","Reflexões acerca do ensino de música escolar: trabalhando com multiplicidades","2011","Brasil","Português","NAO","","","NAO",27
"SIMPOSIO","Projeto Alfabetização Harmoniosa- parte 2","2011","Brasil","Português","NAO","","","NAO",28
"CONFERENCIA","O papel do jogo na Educação Musica","2011","Brasil","Português","NAO","","","NAO",29
"CONFERENCIA","Lei 11.769/2008","2011","Brasil","Português","NAO","","","NAO",30
"SEMINARIO","Roda entre ensino musical na escola e na universidade","2013","Brasil","Português","NAO","","","NAO",31
"CONGRESSO","O perfil do idoso no coral da terceira idade","2013","Brasil","Português","NAO","","","NAO",32
"CONGRESSO","Manual de brincadeiras - uma releitura para a aplicação das atividades nas aulas de música","2013","Brasil","Português","NAO","","","NAO",33
"CONGRESSO","Manual de brincadeiras - uma releitura para a aplicação das atividades nas aulas de música","2013","Brasil","Português","NAO","","","NAO",34
"CONFERENCIA","Listen to another school! Dialogues between schools and universities","2014","Brasil","Português","NAO","","","NAO",35
"CONGRESSO","Educação musical para crianças surdas como meio de inclusão social: instrumento na construção do conhecimento e desenvolvimento humano","2014","Brasil","Português","NAO","","","NAO",36
"SIMPOSIO","A aquisição de habilidades musicais: Caminhos para o desenvolvimento de crianças com deficiência","2016","Brasil","Português","NAO","","","NAO",37
"CONGRESSO","A música no contexto inclusivo do primeiro ciclo do ensino fundamental da cidade de Indaiatuba-SP: o perfil do arte-educador","2017","Brasil","Português","NAO","","","NAO",38
"CONGRESSO","Tecnologia assistiva e a proposta do uso de diferentes recursos tecnológicos aplicados à educação musical","2017","Brasil","Português","NAO","","","NAO",39
"CONGRESSO","A contribuição da música e das artes visuais na socialização de crianças e jovens que frequentam o Capsi !Espaço Viver'","2017","Brasil","Português","NAO","","","NAO",40
"CONFERENCIA","Multiculturalismo","2013","Brasil","Português","NAO","","","NAO",41
