OUTRAS-ORIENTACOES-CONCLUIDAS_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-CONCLUIDAS_Id
0,"73",0
1,"74",0
2,"75",0
3,"76",0
4,"78",0
5,"79",0
6,"80",0
7,"81",0
8,"95",0
9,"105",0
10,"106",0
11,"107",0
12,"108",0
13,"109",0
14,"110",0
15,"111",0
16,"112",0
17,"113",0
18,"114",0
19,"116",0
20,"117",0
21,"118",0
22,"119",0
23,"120",0
24,"159",0
25,"178",0
26,"179",0
27,"180",0
28,"181",0
29,"182",0
30,"201",0
31,"202",0
32,"203",0
33,"204",0
34,"205",0
35,"206",0
36,"207",0
37,"208",0
38,"209",0
39,"210",0
40,"211",0
41,"212",0
42,"213",0
43,"214",0
44,"215",0
45,"216",0
46,"217",0
47,"218",0
48,"219",0
49,"220",0
50,"221",0
51,"222",0
52,"223",0
53,"224",0
54,"326",0
55,"327",0
56,"328",0
57,"329",0
58,"330",0
59,"331",0
60,"332",0
61,"333",0
62,"334",0
63,"335",0
64,"336",0
65,"337",0
66,"344",0
67,"345",0
68,"346",0
69,"409",0
70,"410",0
71,"411",0
72,"412",0
73,"413",0
74,"414",0
75,"415",0
76,"416",0
77,"417",0
78,"418",0
79,"419",0
80,"420",0
81,"421",0
82,"422",0
83,"423",0
84,"424",0
85,"425",0
86,"426",0
87,"427",0
88,"428",0
89,"429",0
90,"430",0
91,"431",0
92,"432",0
93,"469",0
94,"470",0
95,"472",0
96,"495",0
97,"496",0
98,"497",0
99,"498",0
100,"499",0
101,"500",0
102,"501",0
103,"77",0
