SEQUENCIA-ESPECIFICACAO,DISCIPLINA_Text,ENSINO_Id
"1","Pedagogia e didática musical I",0
"2","Pedagogia e didática musical II",0
"1","Tópicos Especiais em Educação Musical MS108-A (Desenvolvimento Humano e Aprendizagem Musical)",1
"2","Tópicos Especiais em Educação Musical MS108-A (Aprendizagem Musical e Educação Inclusiva)",1
"1","Estágio Pedagógico I e II",2
"2","Fundamentos Filosóficos da Arte Educação",2
"3","Instrumento I, II, III e IV",2
"4","Introdução à Pesquisa",2
"5","Pedagogia e Didática musical I, II, III e IV",2
"6","Prática de Ensino I, II, III e IV",2
"7","Instrumento Complementar I, II, III e IV; Laboratório de Instrumentos Harmônicos; Tópicos Especiais em Música MU054, MU055, MU056 e MU057; Tópicos Especiais em Música MP170, MP270, MP370 e MP470.",2
"1","Pedagogia e Didática musical I e II",3
"2","Estágio Pedagógico I e II",3
"1","Estágio docente para as disciplinas Pedagogia e Didática Musical I e II",4
"2","Estágio Pedagógico I e II",4
"1","Estagio docente na disciplina Pedagogia",5
"2","Estagio docente na disciplina Didática Musical II",5
"1","Piano 120",6
"2","Piano 125",6
"1","Educação Musical Prática e Ensino II",7
"2","História Social da Música I",7
"3","Historia Social da Musica II",7
"4","Introdução à Leitura Musical",7
"5","Introdução à Pesquisa em Educação Musical",7
"6","Pesquisa em Educação Musical",7
"7","Projeto em Educação Musical",7
"1","Pianista Acompanhadora do Coral da Escola ",8
"1","Tópicos em Educação Musical",9
"2","; Metodologia e Prática do Ensino Musical",9
"3","Metodologia e Prática do Ensino Musical para o Curso de Regência de Coral com Capacitação para Docência.",9
"1","Estágio Supervisionado",10
"2","Elaboração de Projetos I e II",10
