PROJETO-DE-PESQUISA_Id,SEQUENCIA-PROJETO,ANO-INICIO,ANO-FIM,NOME-DO-PROJETO,SITUACAO,NATUREZA,NUMERO-GRADUACAO,NUMERO-ESPECIALIZACAO,NUMERO-MESTRADO-ACADEMICO,NUMERO-MESTRADO-PROF,NUMERO-DOUTORADO,DESCRICAO-DO-PROJETO,IDENTIFICADOR-PROJETO,DESCRICAO-DO-PROJETO-INGLES,NOME-DO-PROJETO-INGLES,FLAG-POTENCIAL-INOVACAO,NOME-COORDENADOR-CERTIFICACAO,DATA-CERTIFICACAO,NUMERO_TECNICO_NIVEL_MEDIO,PARTICIPACAO-EM-PROJETO_Id
0,"1","2001","","ArchC: Uma Linguagem de Descrição de Arquiteturas","EM_ANDAMENTO","PESQUISA","1","0","2","0","2","Desenvolvimento de uma Linguagem para Descricao de Arquiteturas baseada em SystemC","","","","NAO","","","",0
1,"1","2005","2008","ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados","CONCLUIDO","PESQUISA","3","0","1","0","0","Projeto de algoritmos e hardware que possibilitem a especialização de arquiteturas e criação de arquiteturas reconfiguráveis. 

Número do processo: 55.2117/2002-1
Grupo: Sistemas de Computação

Tipo do Projeto: Pesquisa Aplicada

Tipo de Envolvimento: Projeto Institucional","","","","NAO","","","",1
2,"1","2000","2004","Um Compilador Otimizante para Processadores Dedicados e Reconfiguráveis","CONCLUIDO","PESQUISA","1","0","2","0","6","A crescente demanda por  dispositivos  portáteis, combinado com  o
aumento na disponibilidade de transistores,  vem resultando em  um
aumento no interesse por arquiteturas especializadas em Computação. O
objetivo central deste projeto é viabilizar um esforço de pesquisa,
articulado através de uma plataforma de compilação comum, que sirva
como base  para realização de pesquisa pioneira em técnicas de
compilação para arquiteturas  dedicadas e  reconfiguráveis.  A
experiência internacional (ex.  projetos SPAM, SUIF e IMPACT)  tem
demonstrado que  sem  uma infra-estrutura sólida de  compilação os
resultados da pesquisa ficam restritos ao  meio acadêmico.  Estes
resultados freqüentemente são ignorados pela indústria, quer seja por
não terem sido validados em sua plenitude, através de {\it benchmarks}
realistas, quer seja por não virem  acompanhados de uma análise
criteriosa de sua interação com outras otimizações. Assim sendo, o
objetivo fundamental deste projeto é garantir que a infra-estrutura de
compilação resultante seja extremamente estável,  de modo a permitir
uma base sólida sob a qual novos algoritmos possam ser pesquisados.","","","","NAO","","","",2
3,"1","2006","2009","Projetos baseados em Plataformas: Estabelecendo um Ambiente Comum para Pesquisas e Desenvolvendo Novas Metodologias de Projeto","EM_ANDAMENTO","PESQUISA","0","0","7","0","4","Projeto de Cooperação Nacional (PROCAD) entre Unicamp, UFCG e UFPE.
O objetivo é a criação de metodologias e infra-estrutura para o aumento da capacidade de exploração de alternativas de projeto de plataformas SoCs, visando a possibilidade de simular não só o processador executando um dado software, mas também todos os componentes envolvidos no sistema tais como memórias, sistemas de interconexão e IP-cores de aplicação específica projetados como módulos em alguma linguagem de descrição de hardware.","","","","NAO","","","",3
4,"1","2006","2008","Uma Infraestrutura para Pesquisa, Projeto e Simulação de Sistemas Dedicados","EM_ANDAMENTO","PESQUISA","10","0","8","0","4","O projeto tem como objetivos a ampliação e o aprimoramento de ferramentas da ADL ArchC voltadas à automação de projeto e a formação de pessoal capacitado a trabalhar projetos de sistemas dedicados com boa experiência em ferramentas de automação e metodologias de projeto, aptos a atuar tanto na indústria quanto na academia.
1. Valor: 50.000,00
2. Início: 01/2006 Término: 01/2008
3. Grupos: Sistemas de Computação/Projeto integrado de sofware e hardware
4. Projeto Institucional","","","","NAO","","","",4
5,"1","2006","2008","Projeto Casadinho Edital 007/2006 CNPq","EM_ANDAMENTO","PESQUISA","10","0","3","0","0","Projeto de colaboração intra-regional entre equipes de programas de pós-graduação consolidados e do DCT-UFMS, visando a consolidação do programa de mestrado do DCT-UFMS.

Estarei atuando como membro da equipe do IC-UNICAMP, em colaboração com o Grupo de Sistemas de Computação da UFMS.

Além disso, existe a participação de grupos já consolidados nas seguintes áreas
Teoria de Computação, Sistemas de Informação e Processamento Geográfico.

As instituições envolvidas são: DCT-UFMS, IC-UNICAMP, PUC-Rio, IME-USP, ICMC USP","","","","NAO","","","",5
6,"1","2006","2008","Interoperabilidade Open Source e a Plataforma Microsoft","EM_ANDAMENTO","EXTENSAO","4","0","0","0","0","A Microsoft Brasil e a Unicamp ampliaram acordo para desenvolvimento de projetos de interoperabilidade entre plataforma Microsoft e de código-fonte aberto em laboratório de pesquisa próprio. Localizado no Instituto de Computação da Universidade Estadual de Campinas, interior de São Paulo, o laboratório ganha novos desenvolvedores e um gerente de projeto que juntos coordenarão os trabalhos com alunos bolsistas para realização de atividades de integração entre Windows Server 2003 e Linux.
Valor: 64.000,00 financiados pela Microsoft Brasil","","","","NAO","","","",6
7,"1","2006","2009","Automação de Projeto de Sistemas Dedicados Usando uma Linguagem de Descrição de Arquiteturas","CONCLUIDO","PESQUISA","","","","","2","Projeto de colaboração PROCAD entre UNICAMP e UFSC que tem como objetivos a ampliação e o aprimoramento das ferramentas da ADL ArchC voltadas à automação de projeto, tais como geradores de simuladores, gerador de montadores, interfaces de depuração, interfaces de comunicação e integração com sistemas operacionais e técnicas de síntese automática de modelos em SystemC RTL (usando ferramentas de Behavioral Synthesis orientadas à exploração do espaço de projeto). ArchC vem sendo desenvolvida por integrantes das equipes que assinam este projeto como uma ferramenta de domínio público para a geração de modelos de processadores escritos em SystemC.","","","","NAO","","","",7
8,"1","2007","2009","e-Farms: Uma estrada de mão dupla de pequenas fazendas para o mundo em rede","EM_ANDAMENTO","PESQUISA","","","","","","e-Farms é um projeto multidisciplinar que combina pesquisa em CC e em CA. Visa resolver
problemas teóricos e aplicados envolvendo gerenciamento de dados agrícolas gerados por sensores,
e comunicação de dados, via redes sem fio, em áreas rurais no Brasil. Está voltado, assim, a duas
necessidades da população brasileira: investigaçãoo de soluções de baixo custo para a comunica
ção nas áreas rurais em que a transmissão de dados ainda é limitada (por razões econômicas
e/ou topológicas); e prover modelos, métodos e algoritmos para o gerenciamento, a integração
e a análise de dados provenientes de sensores, visando apoio à decisão em gerenciamento de
safras e planejamento agrícola.
Valor: 130000 FAPESP
Bolsas: 5 IC mais 1 de mestrado","","","","NAO","","","",8
9,"3","2008","2010","Desenvolvimento de Técnicas de Hardware e Software para Otimização de Desempenho em Arquiteturas Modernas de Processadores","CONCLUIDO","PESQUISA","","","10","","8","Projeto Universal. Valor R$97.500,00","","","","NAO","","","",9
10,"2","2008","2010","Memórias Transacionais: Desafios no Projeto e na Programação","CONCLUIDO","PESQUISA","1","","1","","2","Atualmente os modelos de programação, as linguagens e ferramentas disponíveis para o desenvolvimento de programas paralelos podem ser, de forma simplificada, resumidos em: (a) data parallelism -- que é um modelo baseado em aplicar uma operação em um conjunto de dados e (b) task parallelism -- que executa computações sobre threads concorrentes coordenadas por mecanismos de sincronização explicitos tais como locks, semaphores, queues, etc. Um mecanismo de sincronização alternativo que vem despertando bastante interesse por parte de pesquisadores nos últimos anos é a Memória Transacional (Transactional Memory, ou TM). O modelo transacional usa como base o conceito de transação para garantir sincronismo entre threads concorrentes. Uma transação é uma seqüência de instruções com garantia de atomicidade e isolamento. Durante sua execução, uma transação armazena localmente os acessos de leitura e escrita feitos aos dados compartilhados e, caso não ocorra nenhum conflito, torna visível instantaneamente suas alterações locais para o restante do sistema. Caso contrário, a transação é cancelada, suas alterações locais são descartadas e sua execução reiniciada. Esta característica otimista proporciona que sistemas transacionais explorem mais paralelismo, aumentando seu desempenho e escalabilidade. O uso de Memória Transacional também facilita a programação multi-threaded porque o programador não precisa se preocupar em garantir a sincronização como nas abordagens baseadas em bloqueios. Todo o controle de acesso à memória compartilhada é feito automaticamente pelo sistema que implementa Memória Transacional.","","","","NAO","","","",9
11,"3","2008","2010","Interoperabilidade Open Source e a Plataforma Microsoft - Projeto Interop Router","CONCLUIDO","PESQUISA","","","","","","A Microsoft Brasil e a Unicamp ampliaram acordo para desenvolvimento de projetos de interoperabilidade entre plataforma Microsoft e de código-fonte aberto em laboratório de pesquisa próprio. Este projeto trabalha com interoperabilidade entre clusters Linux e Windws.
Valor: 100.000,00 financiados pela Microsoft Brasil","","","","NAO","","","",10
12,"4","2010","2013","Interoperabilidade Open Source e a Plataforma Microsoft - Projeto Vicos","CONCLUIDO","PESQUISA","","","","","","A Microsoft Brasil e a Unicamp ampliaram acordo para desenvolvimento de projetos de interoperabilidade entre plataforma Microsoft e de código-fonte aberto em laboratório de pesquisa próprio. Este Projeto pesquisa sobre infraestrutura para computação em nuvem.
Valor: 50.000,00 financiados pela Microsoft Brasil","","","Interoperabilidade Open Source e a Plataforma Microsoft - Projeto Vicos","NAO","","","",11
13,"5","2011","2013","Análise, Modelagem e Otimização de Potência e Desempenho em Data-centers","CONCLUIDO","PESQUISA","","","","","","Projeto Universal. Valor R$60.000,00","","","Análise, Modelagem e Otimização de Potência e Desempenho em Data-centers","NAO","","","",12
14,"7","2012","","Te&#769;cnicas de Formac&#807;a&#771;o e Identificac&#807;a&#771;o de Regio&#771;es Quentes e Paralelizac&#807;a&#771;o de Lac&#807;os usando Software Pipeline Desacoplado","EM_ANDAMENTO","PESQUISA","","","","","","","","","","NAO","","","",13
