NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","4","2046981671187343",0,,,
"Paulo César Centoducatte","CENTODUCATTE, Paulo César","1","0758877444698557",0,,,
"Ricardo Luís de Freitas","FREITAS, Ricardo Luís de","3","",0,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",0,,,
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","1","2046981671187343",1,,,
"Ivan Luiz Marques Ricarte","RICARTE, Ivan Luiz Marques","2","",1,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","3","8308517667746974",1,,,
"Bruno Muller Junior","MULLER JUNIOR, Bruno","2","",2,,,
"Roberto Hexsel","HEXSEL, Roberto","3","",2,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",2,,,
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","2","2046981671187343",3,,,
"Omar Carvalho Branquinho","BRANQUINHO, Omar Carvalho","3","",3,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",3,,,
"Wang Jiang Chau","CHAU, W. J.","2","",4,,,
"Sergio Takeo Kofuji","KOFUJI, S. T.","3","",4,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",4,,,
"Guido Araújo","ARAÚJO, Guido","1","8683914780987242",5,,,
"Cristiano Araújo","ARAÚJO, Cristiano","2","9638500605562489",5,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","3","8308517667746974",5,,,
"Roberto Hexsel","HEXSEL, Roberto","2","",6,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",6,,,
"Luiz Claudio Villar dos Santos","SANTOS, L. C. V.","1","7115792628126490",7,,,
"Flávio Rech Wagner","Wagner, F. R.","3","",7,,,
"Carlos Barros Montez","MONTEZ, C. B.","4","",7,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",7,,,
"Luiz Claudio Villar dos Santos","SANTOS, L. C. V.","3","7115792628126490",8,,,
"Olinto José Varella Furtado","FURTADO, O. J. V.","1","9156645330801555",8,,,
"Rômulo Silva de Oliveira","OLIVEIRA, R. S.","4","",8,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",8,,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","1","2046981671187343",9,,,
"Sergio Takeo Kofuji","KOFUJI, S. T.","2","",9,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","3","8308517667746974",9,,,
"Sandro Rigo","RIGO, S.","2","",10,,,
"Luiz Claudio Villar dos Santos","SANTOS, L. C. V.","1","7115792628126490",10,,,
"Olinto José Varella Furtado","FURTADO, O. J. V.","3","9156645330801555",10,,,
"Djones Vinicius Lettnin","LETTNIN, D. V.","4","",10,,,
"Sandro Rigo","RIGO, S.","1","",11,,,
"Ney Calazans","CALAZANS, N.","2","",11,,,
"César Marcon","MARCON, C.","3","",11,,,
"Fernando Moraes","MORAES, F.","4","",11,,,
"Sandro Rigo","RIGO, S.","4","",12,,,
"Paulo Cesar Centoducatte","CENTODUCATTE, Paulo Cesar","1","0758877444698557",12,,,
"Abel Guilhermino Filho","GUILHERMINO FILHO, Abel","3","",12,,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","2","2046981671187343",12,,,
"Guido Araújo","ARAÚJO, Guido","1","8683914780987242",,0,,
"Cristiano Araújo","ARAÚJO, Cristiano","2","9638500605562489",,0,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","5","2046981671187343",,0,,
"Luiz Claudio Villar dos Santos","SANTOS, L. C. V.","3","7115792628126490",,0,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","4","8308517667746974",,0,,
"Edmundo Madeira","MADEIRA, Edmundo","4","",,1,,
"Cláudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.","1","",,1,,
"Altigran Soares da Silva","SILVA, A. S.","2","",,1,,
"Antonio Alfredo Ferreira Loureiro","LOUREIRO, A. A. F.","3","",,1,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","5","8308517667746974",,1,,
"Roberto Ierusalimschy","Ierusalimschy, R.","1","",,2,,
"Noemi Rodrigues","RODRIGUES, N.","3","",,2,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",,2,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","1","2046981671187343",,3,,
"Luiz Claudio Villar dos Santos","SANTOS, L. C. V.","3","7115792628126490",,3,,
"Luigi Carro","CARRO, L.","5","",,3,,
"Reinaldo Bergamaschi","BERGAMASCHI, R.","4","",,3,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",,3,,
"Sandro Rigo","RIGO, S.","4","",,4,,
"Guido Araújo","ARAÚJO, Guido","1","8683914780987242",,4,,
"Luiz Eduardo Buzato","BUZATO, L. E.","2","",,4,,
"Fabio Kon","KON, F.","3","",,4,,
"Nicolas Bruno Maillard","MAILLARD, N. B.","5","",,4,,
"Sandro Rigo","RIGO, S.","5","",,5,,
"Ricardo Felipe Custódio","CUSTODIO, R. F.","2","",,5,,
"Marco Aurélio Amaral Henriques","HENRIQUES, M. A. A.","4","",,5,,
"Ricardo Dahab","DAHAB, R.","1","",,5,,
"Anderson Clayton Alves Nascimento","NASCIMENTO, A. C. A.","3","",,5,,
"Guido Araújo","ARAÚJO, Guido","1","8683914780987242",,,0,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","2","2046981671187343",,,0,
"Roberto da Silva Bigonha","BIGONHA, R. S.","3","",,,0,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","4","8308517667746974",,,0,
"Paulo Lício de Geus","GEUS, P. L.","2","",,,1,
"Ricardo Felipe Custódio","CUSTODIO, R. F.","3","",,,1,
"Marco Aurélio Amaral Henriques","HENRIQUES, M. A. A.","4","",,,1,
"José Raimundo de Oliveira","OLIVEIRA, J. R.","5","",,,1,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,1,
"Sandro Rigo","RIGO, S.","1","",,,2,
"Olinto José Varella Furtado","FURTADO, O. J. V.","2","9156645330801555",,,2,
"Flávio Rech Wagner","Wagner, F. R.","3","",,,2,
"Carlos Barros Montez","MONTEZ, C. B.","4","",,,2,
"Paulo César Centoducatte","CENTODUCATTE, Paulo César","2","0758877444698557",,,3,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","1","2046981671187343",,,3,
"Siang Song","SONG, S.","4","",,,3,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","3","8308517667746974",,,3,
"Mário Jino","JINO, M.","1","",,,,0
"Gisele Busichia Baioco","BAIOCO, G. B.","3","",,,,0
"Luiz Camolesi Júnior","CAMOLESI JUNIOR, L.","4","",,,,0
"Marco Antônio Garcia de Carvalho","CARVALHO, M. A. G.","5","",,,,0
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",,,,0
"Ivan Luiz Marques Ricarte","RICARTE, Ivan Luiz Marques","1","",,,,1
"Ricardo Torres","TORRES, R.","3","",,,,1
"Marcos Augusto Francisco Borges","BORGES, M. A. F.","4","",,,,1
"Varese Salvador Timóteo","TIMOTEO, V. S.","5","",,,,1
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",,,,1
"Mario Dantas","DANTAS, M.","1","",,,,2
"Lúcia Helena Martins Pacheco","PACHECO, L. H. M.","2","",,,,2
"Eduardo Luiz Ortiz Batista","BATISTA, E. L. O.","3","",,,,2
"Marcelo de Oliveira Johann","JOHANN, M. O.","4","",,,,2
"Sandro Rigo","RIGO, S.;Rigo, Sandro","5","8308517667746974",,,,2
"Sandro Rigo","RIGO, S.","1","",,,,3
"Jeronimo Pelegrini","PELEGRINI, J.","2","",,,,3
"Thiago Pardo","PARDO, T.","3","",,,,3
