NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id
"COMPLETO","A Retargetable Compiler Framework for DSPs With Instruction-Level Paralelism","2001","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",0
"COMPLETO","Platform Designer: An Approach for Modeling Multiprocessor Platforms based on SystemC","2005","","Inglês","VARIOS","[doi:10.1007/s10617-006-0655-8]","NAO","10.1007/s10617-006-0655-8","","NAO",1
"COMPLETO","An Open-Source Binary Utility Generator","2008","","Inglês","VARIOS","","NAO","10.1145/1344418.1344423","","NAO",2
"COMPLETO","Data center power and performance optimization through global selection of P-states and utilization rates","2012","","Inglês","MEIO_DIGITAL","","NAO","10.1016/j.suscom.2012.10.001","Data center power and performance optimization through global selection of P-states and utilization rates","NAO",3
"COMPLETO","Computational reflection and its application to platform verification","2012","","Inglês","MEIO_DIGITAL","[doi:10.1007/s10617-011-9082-6]","SIM","10.1007/s10617-011-9082-6","","NAO",4
"COMPLETO","Adaptive global power optimization for Web servers","2014","","Inglês","VARIOS","","SIM","10.1007/s11227-014-1141-x","Adaptive global power optimization for Web servers","NAO",5
"COMPLETO","Empirical and analytical approaches for web server power modeling","2014","","Inglês","NAO_INFORMADO","","NAO","10.1007/s10586-014-0373-0","Empirical and analytical approaches for web server power modeling","NAO",6
"COMPLETO","Assessing the influence of data access patterns and contention management policies on the performance of software transactional memory systems","2011","","Inglês","MEIO_DIGITAL","","NAO","10.1504/ijhpsa.2011.040464","","NAO",7
"COMPLETO","HybridVerifier: A Cross-platform Verification Framework for Instruction Set Simulators","2016","","Português","MEIO_DIGITAL","","NAO","10.1109/les.2016.2626980","HybridVerifier: A Cross-platform Verification Framework for Instruction Set Simulators","NAO",8
"COMPLETO","The ArchC Architecture Description Language and Tools","2005","Estados Unidos","Inglês","IMPRESSO","http://dx.doi.org/10.1007/s10766-005-7301-0","SIM","","","NAO",9
