FINALIDADE,DURACAO-EM-MESES,NUMERO-DE-PAGINAS,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,CIDADE-DO-TRABALHO,FINALIDADE-INGLES,TRABALHO-TECNICO_Id
"Membro do Comitê de Programa - Trilha de Relatos de Experiência","","","NAO_INFORMADO","","Curitiba, Paraná","",0
"Membro de Comitê de Programa - Trilha Relato de Experiência","","","NAO_INFORMADO","","Fortaleza, Ceará","",1
"Membro do Comitê de Programa - Trilha de Relatos de Experiência","","","NAO_INFORMADO","","Salvador, Bahia","",2
"Membro do Comitê de Programa - Trilha de Relatos de Experiência","","","NAO_INFORMADO","","Blumenau, Santa Catarina","",3
"Membro do Comitê de Programa - Trilha de Relatos de Experiência","","","NAO_INFORMADO","","Manaus, Amazonas","",4
"Membro do Comitê de Programa. Trilha de Trabalhos Técnicos","","","NAO_INFORMADO","","","",5
"Membro do Comitê de Programa. Trilha de Relatos de Experiência","","","NAO_INFORMADO","","","",6
"Membro do Comitê de Programa - Software Engineering Track","","","NAO_INFORMADO","","","",7
"Membro do Comitê de Programa","","","NAO_INFORMADO","","","",8
"Membro do Comitê de Programa","","","NAO_INFORMADO","","","",9
"Membro do Comitê de Programa. Software Engineering Track","","","NAO_INFORMADO","","","",10
