NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id
"COMPLETO","Aprendendo Geometria Junto Com A Tartaruga.","1984","Brasil","Português","IMPRESSO","","NAO","","","NAO",0
"COMPLETO","Logo Tridimensional Como Estratégia Para A Exploração da Geometria Espacial","1994","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"COMPLETO","Observational Studies About Novices Interacting In A Prolog Environment Based On Tools","1995","","Inglês","IMPRESSO","","SIM","","","NAO",2
"COMPLETO","Entrenamiento Y Enseñanza En Las Industrias Brasileñas","1997","Brasil","Espanhol","IMPRESSO","","NAO","","","NAO",3
"COMPLETO","A User-Centred Approach To The Design Of An Expert System For Training","1998","Inglaterra","Inglês","IMPRESSO","","NAO","","","NAO",4
"COMPLETO","Learning About Manufacture Process Control Through The Target Game","1999","Inglaterra","Inglês","IMPRESSO","","SIM","","","NAO",5
"COMPLETO","Semiotics as a Basis for Educational Software Design","2000","Inglaterra","Inglês","IMPRESSO","","NAO","","","NAO",6
"COMPLETO","Gaming at Work: a Learning Environment for Synchronized Manufacturing","2000","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",7
"COMPLETO","The Theatre through the Computer","2000","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",8
"COMPLETO","Learning at work through a multi-user synchronous simulation game","2001","","Inglês","IMPRESSO","","NAO","","","NAO",9
"COMPLETO","Towards a communication model applied to the interface design process","2001","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",10
"COMPLETO","Designing and Learning: joining the concepts in work practices","2003","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",11
"COMPLETO","CollabSS: a Tool to Help the Facilitator in Promoting Collaboration among Learners","2003","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",12
"COMPLETO","Supporting the Facilitator in a Collaborative Learning Environment","2003","Inglaterra","Inglês","IMPRESSO","","NAO","","","NAO",13
"COMPLETO","Interface de Usuário sob a Lente de Abordagens Semióticas","2004","","Português","IMPRESSO","[http://www.designisfels.net]","NAO","","","NAO",14
"COMPLETO","Usabilidade de Aplicações SIG Web na Perspectiva do Usuário: um Estudo de Caso","2006","","Português","IMPRESSO","","NAO","","","NAO",15
"COMPLETO","Design - Indicating Through Signs","2008","","Inglês","IMPRESSO","[http://www.mitpressjournals.org/loi/desi]","SIM","","Design - Indicating Through Signs","NAO",16
"COMPLETO","Design com Crianças: da Prática a um Modelo de Processo","2008","","Português","IMPRESSO","[http://https://www.sbc.org.br/bibliotecadigital/?module=Public&action=PublicationObject&subject=0&publicationobjectid=103]","NAO","","Design com Crianças: da Prática a um Modelo de Processo","NAO",17
"COMPLETO","Design de um Espaço Web-Acessível para Apoio à Comunicação de Grupo","2008","","Português","MEIO_DIGITAL","[http://https://www.sbc.org.br/bibliotecadigital/]","NAO","","Design de um Espaço Web-Acessível para Apoio à Comunicação de Grupo","NAO",18
"COMPLETO","Accessibility and interoperability in e-government systems: outlining an inclusive development process","2009","","Inglês","NAO_INFORMADO","","SIM","10.1007/s10209-009-0157-0","Accessibility and interoperability in e-government systems: outlining an inclusive development process","NAO",19
"COMPLETO","Norms-Based Simulation for Personalized Service Provision","2009","","Inglês","IMPRESSO","","NAO","10.1515/semi.2009.055","Norms-Based Simulation for Personalized Service Provision","NAO",20
"COMPLETO","Aprendendo sobre Acessibilidade e Construção de Websites para Todos","2008","","Português","IMPRESSO","","NAO","","","NAO",21
"COMPLETO","SOO Brasileiro: Aprendizagem e Diversão no XO","2008","","Português","IMPRESSO","","NAO","","","NAO",22
"COMPLETO","Prospecting the Appropriation of the Digital TV in a Brazilian Project","2009","","Inglês","IMPRESSO","","NAO","","","NAO",23
"COMPLETO","Aprendizaje Colaborativo Basado en Problemas (ACBP): un modelo conceptual","2008","","Espanhol","IMPRESSO","","NAO","","","NAO",24
"COMPLETO","Resolução de Problemas e Colaboração a Distância: Modelo, Artefatos e Sistema","2009","","Português","IMPRESSO","","NAO","","","NAO",25
"COMPLETO","Um Caderno Digital nos laptops educacionais: proposta conceitual e ferramenta","2009","","Português","IMPRESSO","","NAO","","","NAO",26
"COMPLETO","Towards a Design Rationale for Inclusive eGovernment Services","2011","","Inglês","IMPRESSO","","NAO","10.4018/IJEGR","","NAO",27
"COMPLETO","Collective Construction of Meaning and System for Inclusive Social Network","2011","","Inglês","IMPRESSO","","NAO","10.4018/IJISSC","","NAO",28
"COMPLETO","Adjustable interactive rings for iDTV","2010","","Inglês","IMPRESSO","","NAO","10.1109/TCE.2010.5606356","","NAO",29
"COMPLETO","GWIDO ? Games With Interaction Design Objective","2010","","Inglês","MEIO_DIGITAL","","NAO","","","NAO",30
"COMPLETO","Navigating through Video Stories using Clustering Sets","2011","","Inglês","NAO_INFORMADO","","NAO","10.4018/IJMDEM","","NAO",31
"COMPLETO","A Discussion on Social Software: Concept, Building Blocks and Challenges","2010","","Inglês","MEIO_DIGITAL","","NAO","","","NAO",32
"COMPLETO","A Semiotic-Based Approach for Search Mechanism in Social Network Services","2011","","Inglês","NAO_INFORMADO","","NAO","10.4018/IJWP","","NAO",33
"COMPLETO","Aprendizagem em empresas na era das tecnologias digitais","2011","","Português","MEIO_DIGITAL","","NAO","","","NAO",34
"COMPLETO","The Affectibility Concept in Systems for Learning Conbtexts","2011","","Inglês","NAO_INFORMADO","","NAO","","","NAO",35
"COMPLETO","Towards a Culturally Aware Design for Social Software","2012","","Inglês","IMPRESSO","","NAO","","","NAO",36
"COMPLETO","Data Driven Research at LIS: the Laboratory of Information Systems at UNICAMP","2011","","Inglês","IMPRESSO","","NAO","","","NAO",37
"COMPLETO","Designing tailorable software systems with the users participation","2012","","Inglês","IMPRESSO","[doi:10.1007/s13173-012-0070-x]","NAO","10.1007/s13173-012-0070-x","","NAO",38
"COMPLETO","Addressing universal access in social networks: an inclusive search mechanism","2013","","Inglês","NAO_INFORMADO","","NAO","10.1007/s10209-013-0290-7","","NAO",39
"COMPLETO","O uso de Ferramentas de Mineração de Texto para Modelar Significados em Redes Sociais Inclusivas","2011","","Português","IMPRESSO","","NAO","","","NAO",40
"COMPLETO","Laptops Educacionais em Escolas Públicas: Primeiros Resultados de uma Abordagem Socio-Técnica","2012","","Português","VARIOS","","NAO","10.5753/RBIE.2012.20.2.31","","NAO",41
"COMPLETO","Affectibility in Educational Technologies: a Socio-Technical Perspective for Design","2013","","Inglês","NAO_INFORMADO","","NAO","","","NAO",42
"COMPLETO","Paying Attention to Values and Culture: An Artifact to Support the Evaluation of Interactive Systems.","2013","","Inglês","NAO_INFORMADO","","NAO","","","NAO",43
"COMPLETO","An ontological model for supporting intention-based information sharing on collaborative problem solving","2013","","Inglês","IMPRESSO","","NAO","10.1504/ijcent.2013.053292","","NAO",44
"COMPLETO","Perspectives on the evaluation of affective quality in social software","2013","","Inglês","IMPRESSO","","NAO","","","NAO",45
"COMPLETO","Addressing structural and dynamic features of scientific social networks through the lens of Actor-Network Theory","2013","","Inglês","MEIO_DIGITAL","[doi:10.1007/s13278-013-0139-3]","NAO","10.1007/s13278-013-0139-3","","NAO",46
"COMPLETO","Social awareness in HCI","2014","","Inglês","MEIO_DIGITAL","","SIM","10.1145/2621933","Social awareness in HCI","NAO",47
"COMPLETO","WELFIT: A remote evaluation tool for identifying Web usage patterns through client-side logging","2015","","Inglês","VARIOS","[doi:10.1016/j.ijhcs.2014.12.005]","NAO","10.1016/j.ijhcs.2014.12.005","","NAO",48
"COMPLETO","A value-oriented and culturally informed approach to the design of interactive systems","2015","","Inglês","MEIO_DIGITAL","[doi:10.1016/j.ijhcs.2015.04.001]","NAO","10.1016/j.ijhcs.2015.04.001","","NAO",49
"COMPLETO","A systematic review on multi-device inclusive environments","2015","","Inglês","MEIO_DIGITAL","","NAO","10.1007/s10209-015-0422-3","A systematic review on multi-device inclusive environments","NAO",50
"COMPLETO","Thinking about Culture in iDTV Projects","2014","","Português","NAO_INFORMADO","","NAO","","","NAO",51
"COMPLETO","Bringing universal design and the web of things into the supermarket","2015","","Inglês","MEIO_DIGITAL","","NAO","10.1504/IJTIS.2015.074645","Bringing universal design and the web of things into the supermarket","NAO",52
"COMPLETO","A socially inspired energy feedback technology: challenges in a developing scenario","2016","","Inglês","MEIO_DIGITAL","","NAO","10.1007/s00146-016-0653-8","A socially inspired energy feedback technology: challenges in a developing scenario","NAO",53
"COMPLETO","A informática na educação: o que revelam os trabalhos publicados no Brasil","2016","","Português","VARIOS","","NAO","10.5753/RBIE-2016-24-01-142","","NAO",54
"COMPLETO","Desafios e Possibilidades da Interação Tangível Móvel no Contexto da Educação de Crianças Autistas","2016","","Português","MEIO_DIGITAL","","NAO","","","NAO",55
"COMPLETO","A Kinect-Based Wearable Face Recognition System to Aid Visually Impaired Users","2016","","Português","IMPRESSO","","NAO","10.1109/thms.2016.2604367","A Kinect-Based Wearable Face Recognition System to Aid Visually Impaired Users","NAO",56
"COMPLETO","Social Software and Educational Technology: Informal, Formal and Technical Values","2013","","Inglês","NAO_INFORMADO","","NAO","","","NAO",57
