NATUREZA,TITULO-DO-TRABALHO,ANO-DO-TRABALHO,PAIS-DO-EVENTO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,TRABALHO-EM-EVENTOS_Id
"COMPLETO","O Projeto Logo da Unicamp: Historico e Perspectivas.","1984","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",0
"COMPLETO","The Brazilian Version Of Logo.","1985","Estados Unidos","Inglês","NAO_INFORMADO","","NAO","","","NAO",1
"COMPLETO","Elaboracao de Texto de Apoio Para Treinamento de Professores Em Logo Sem Monitoramento.","1986","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",2
"COMPLETO","Estudo Sobre Estilos de Programacao Em Logo.","1989","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",3
"COMPLETO","Analise da Avaliacao Feita Pelos Professores Envolvidos No Projeto Educom - Campinas.","1986","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",4
"COMPLETO","Logo e Geometria: Um Experimento.","1979","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",5
"COMPLETO","Bralogo: Uma Linguagem Voltada Pra O Ensino.","1982","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",6
"COMPLETO","Traducao de Logo Para O Portugues.","1983","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",7
"COMPLETO","Conceitos Fundamentais de Geometria Usando Logo.","1979","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",8
"COMPLETO","'O Computador Como Instrumento Auxiliar de Ensino.","1982","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",9
"COMPLETO","Estratégias Para Design de Ambientes Computacionais Para Modelagem","1994","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",10
"COMPLETO","Da Simulação À Criação de Modelos: Um Contexto Para Aprendizagem Na Empresa","1995","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",11
"COMPLETO","Domain-Oriented Modelling: A Balance Between Simulation And Programming","1994","Inglaterra","Inglês","NAO_INFORMADO","","NAO","","","NAO",12
