NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"COMUNICACAO","Global City São Paulo: Financial Foundations of a Mirage","2006","México","Inglês","NAO","","","NAO",0
"SIMPOSIO","Finanças e Imóveis: alguns nexos de um jogo sem fim","2007","Brasil","Português","NAO","","International Colloquium Urban Challenges in Brazil and South Africa","NAO",1
"OUTRA","Direito perdido nas ruas (uma discussão sobre o direito à cidade e os conflitos urbanos)","2007","Brasil","Português","NAO","","","NAO",2
"CONFERENCIA","Um edifício, uma favela e uma ponte","2007","Brasil","Português","NAO","","","NAO",3
"OUTRA","(I)mobilidade em São Paulo","2007","Brasil","Português","NAO","","","NAO",4
"OUTRA","São Paulo Cidade Global?","2007","Brasil","Português","NAO","","","NAO",5
"CONGRESSO","Finanças, política e território","2007","Brasil","Português","NAO","","","NAO",6
"SEMINARIO","A cidade no teatro de grupo","2008","Brasil","Português","NAO","","","NAO",7
"OUTRA","A bolha imobiliária nos Estados Unidos","2008","Brasil","Português","NAO","","","NAO",8
"SEMINARIO","A expansão do padrão metropolitano de urbanização: o caso das cidades médias","2008","Brasil","Português","NAO","","","NAO",9
"OUTRA","O despejo como rotina: a expulsão da população do centro para a periferia","2008","Brasil","Português","NAO","","","NAO",10
"SEMINARIO","A crise (do crédito subprime) e o urbano","2008","Brasil","Português","NAO","","","NAO",11
"SEMINARIO","A terra como ativo financeiro: o caso da Operação Urbana Faria Lima e dos Cepacs em São Paulo","2009","Brasil","Português","NAO","","","NAO",12
"OUTRA","Direito à cidade e à moradia","2009","Brasil","Português","NAO","","","NAO",13
"CONGRESSO","A escalada da ?revitalização? urbana. Novos instrumentos da ofensiva imobiliária: concessões urbanísticas e business improvement districts brasileiros","2009","Brasil","Português","NAO","","","NAO",14
"OUTRA","Segregação urbana","2009","Brasil","Português","NAO","","","NAO",15
"CONFERENCIA","Uma ponte para a especulação (ou A arte da renda nas margens do Rio Pinheiros)","2009","Brasil","Português","NAO","","","NAO",16
"CONGRESSO","Finances and real estate: new connections in an unending game?","2009","Brasil","Português","NAO","","Finances and real estate: new connections in an unending game?","NAO",17
"COMUNICACAO","DIreito à cidade e especulação imobiliária","2010","Brasil","Português","NAO","","","NAO",18
"SEMINARIO","Habitação e Reforma Urbana","2010","Brasil","Português","NAO","","Social Housing and Urban Land Reform","NAO",19
"SEMINARIO","Novos instrumentos da ofensiva imobiliária: concessões urbanísticas e business improvement districts brasileiros","2009","Brasil","Português","NAO","","","NAO",20
"OUTRA","Projetos urbanos e seus modelos","2011","Brasil","Português","NAO","","","NAO",21
"OUTRA","Segregação Urbana no Centro de São Paulo","2011","Brasil","Português","NAO","","","NAO",22
"OUTRA","Direto à cidade","2010","Brasil","Português","NAO","","","NAO",23
"SEMINARIO","Parceiros da exclusão","2010","Brasil","Português","NAO","","","NAO",24
"OUTRA","The staging of a "global city" in São Paulo: Financial foundations of a mirage","2010","Brasil","Português","NAO","","","NAO",25
"CONFERENCIA","O Estado e o Capital nas Margens do Rio Pinheiros","1997","Brasil","Português","NAO","","","NAO",26
"CONFERENCIA","Estado e Capital nas margens do Pinheiros","1996","Brasil","Português","NAO","","","NAO",27
"OUTRA","Gráficos Brasileiros. Editorial Alternativa","1993","Brasil","Português","NAO","","","NAO",28
"OUTRA","Como (des)organizar os planejadores progressistas? Encontro com a Planners Network Planners:Planejadores urbanos e justiça social","1999","Brasil","Português","NAO","","","NAO",29
