NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de doutorado","Intervenções em centros urbanos e conflitos distributivos: modelos regulatórios, circuitos de valorização e estratégias discursivas.","2013","Brasil","Português","","","",0
"Exame de qualificação de mestrado","Direito, financeirização e espaço urbano","2013","Brasil","Português","","","",1
"Exame de qualificação de mestrado","Uma análise do programa PRIH (Perímetros de reabilitação integrada do habitat) para a habitação no centro da cidade de São Paulo","2014","Brasil","Português","","","",2
"Exame de qualificação de mestrado","Avanços e limites das políticas de desenvolvimento urbano no Brasil","2014","Brasil","Português","","","",3
"Exame de qualificação de mestrado","Campo de poder dos grandes projetos urbanos em Belo Horizonte e Região Metropolitana","2014","Brasil","Português","","","",4
"Exame de qualificação de mestrado","FRONTEIRA E REESTRUTURAÇÃO PRODUTIVA NA AMAZÔNIA BRASILEIRA: A CENTRALIDADE DO MUNICÍPIO DE ARAGUAÍNA-TO NA AMAZÔNIA ORIENTAL","2014","Brasil","Português","","","",5
"Exame de qualificação de mestrado","CONTRIBUIÇÃO PARA ANÁLISE DO PROGRAMA MINHA CASA MINHA VIDA: UM ESTUDO DO PROGRAMA EM SÃO JOSÉ DO RIO PRET","2014","Brasil","Português","","","",6
"Exame de qualificação de mestrado","Abrigar a América Latina? Novas configurações das políticas habitacionais e do mercado imobiliário residencial na era da acumulação financeira no Brasil e no México","2015","Brasil","Português","","","",7
"Exame de qualificação de doutorado","AS POLI&#769;TICAS HABITACIONAIS NO SUBDESENVOLVIMENTO: OS CASOS DO BRASIL, COLO&#770;MBIA, ME&#769;XICO E VENEZUELA (1980/2013)","2015","Brasil","Português","","","",8
"Exame de qualificação de doutorado","Real Estate Financialization, Public-Private Partnerships and Affordable Housing","2015","Brasil","Português","","","",9
"Exame de qualificação de doutorado","Real Estate Financialization, Public-Private Partnerships and Affordable Housing","2012","Brasil","Português","","","",10
"Exame de qualificação de mestrado","Produção Social do Espaço e Crise Urbana: A produção imobiliária sob dominância do capital financeiro","2015","Brasil","Português","","","",11
"Exame de qualificação de mestrado","O IMPACTO DAS OPERAÇÕES URBANAS NA IMPLANTAÇÃO DE HABITAÇÃO DE INTERESSE SOCIAL","2015","Brasil","Português","","","",12
"Exame de qualificação de mestrado","Marcado de trabalho na construção civil: o subsetor de edificações do BNH ao PMCMV","2015","Brasil","Português","","","",13
"Exame de qualificação de mestrado","CIRCUITO IMOBILIÁRIO E A CIDADE: O ESPAÇO INTRA-URBANO DE BELÉM ENTRE ALIANÇAS DE CLASSES E DINÂMICAS DE ACUMULAÇÃO","2011","Brasil","Português","","","",14
"Exame de qualificação de doutorado","A territorialidade do capital: da fazenda ao condomi&#769;nio, desenhando a cidade.","2016","Brasil","Português","","","",15
"Exame de qualificação de doutorado","DA TERRA RURAL A TERRA URBANA: A trajeto&#769;ria da riqueza industrial em Bele&#769;m (1920 ? 1985)","2017","Brasil","Português","","","",16
"Exame de qualificação de doutorado","A financeirização urbana à maneira do Brasil","2017","Brasil","Português","","","",17
"Exame de qualificação de mestrado","Concesso&#771;es rodovia&#769;rias em Sa&#771;o Paulo na de&#769;cada de 1990: uma ana&#769;lise das relac&#807;o&#771;es entre Estado, capital e infraestrutura","2017","Brasil","Português","","","",18
"Exame de qualificação de mestrado","DINÂMICA DOS PREÇO IMOBILIÁRIOS E SEUS DETERMINANTES: UMA ABORDAGEM DO PERÍODO RECENTE","2017","Brasil","Português","","","",19
"Exame de qualificação de doutorado","Queima e estoque","2015","Brasil","Português","","","",20
