NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Workshop Fondecyt 1141157 "Nueva Geografía de la Urbanización y Vulnerabilidad social-territorial. Hacia la configuación de una región urbana en Santigao de Chile?","","","","Santiago do Chile","",0
"O espetáculo da arquitetura (Casa da Saber)","","","","São Paulo","",1
"Latin American Modernism","","","","Bryn Mawr, PA","",2
"Urban Restructuring and social polarization ? the case of São Paulo, Brasil","","","","Viena","",3
"Curso de Políticas Públicas e Projetos de Intervenção Social","","","","São Paulo","",4
"Questão urbana","","","","São Paulo","",5
"Experiências de reabilitações arquitetônicas em Barcelona","","","","São Paulo","",6
"3 Jornada da Moradia Digna: O impacto dos megaprojetos e as violações do direito à cidade","","","","","",7
"Wohnungsfrage","","","","Berlim","",8
"Mobilidade Urbana em São Paulo","","","","São Paulo","",9
"Financing Urban Development: the Millennium Challenge. Habitat III Thematic Meeting","","","","Cidade do México","",10
"Semana de Ciências Sociais (FFLCH-USP)","","","","São Paulo","",11
"Operações urbanas: direito à cidade?","","","","São Paulo","",12
"Como o capital imobiliário desenha a cidade: o entorno do Rio Pinheiros em São Paulo","","","","São Paulo","",13
"A crise do capital e as perspectivas do socialismo","","","","São Paulo","",14
"Plenária do Departamento de Projeto da FAUUSP","","","","São Paulo","",15
