NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SEMINARIO_Id
"Mananciais e Urbanização: há sustentabilidade nisso","","","","São Paulo","",0
"VIII Seminário Interacional da Rede Ibero-Americana de Investigadores sobre Globalização e Território","","","","Rio de Janeiro","",1
"Cidades Rebeldes: debate sobre a obra de David Harvey","","","","São Paulo","",2
"Teatro sobre a cidade","","","","São Paulo","",3
"Sociedade e Reforma do Estado","","","","São Paulo","",4
"Crisis mundial y financiarización: impactos urbanos y territoriales","","","","Monterrey","",5
"Operações Urbanas Consorciadas: como garantir transformações urbanísticas com participação?","","","","São Paulo","",6
"Grandes Projetos Urbanos: O que se pode aprender com a experiência brasileira?","","","","Rio de Janeiro","",7
"A Questão fundiária e as Políticas Sociais","","","","São Paulo","",8
"O arquiteto, a universidade e a moradia social","","","","São Paulo","",9
"Wohnungsfrage Academy Housing System","","","","Berlim","",10
"Brésil: La montée des paradoxes","","","","Paris","",11
"Semana de Arquitetura da Unicamp","","","","Campinas","",12
"Seminário Nacional lutas e experiências pela moradia digna nas áreas centrais","","","","São Paulo","",13
"Desenvolvimento local, trabalho e políticas públicas: a realidade das cidades médias brasileiras","","","","Caxias do Sul","",14
"Terceiro ciclo de palestras - Impressões de um arquiteto","","","","São Paulo","",15
"As cidades e suas margens","","","","São Paulo","",16
"XIX Semana de Planejamento Urbano e Regional 2013 Planejamento, Desigualdade e Justiça Espacial: desafios para as cidades e regiões","","","","Rio de Janeiro","",17
"Hegemonia às avessas: economia, poítica e cultura na era da servidão financeira","","","","São Paulo","",18
"Segregação Espacial na Cidade de São Paulo","","","","São Paulo","",19
"Cooperativismo habitacional: uma novidade no mercado residencial paulista nos anos 1990","","","","São Paulo","",20
"Segunda Jornada: Moradia e Meio Ambiente","","","","São Paulo","",21
"II Encontro da Rede de Planejamento Urbano, Democracia e Justiça Social,","","","","Belém","",22
"A produção social do urbano no Brasil contemporâneo","","","","Campinas","",23
"Seminário Internacional: Políticas Culturais e Intervenção Urbana, Patrimônio Edificado: Perspectivas para as Metrópoles Contemporâneas","","","","São Paulo","",24
"Formação e Desmanche de um Sistema Visual Brasileiro Moderno?","","","","São Paulo","",25
"Moradia é central","","","","Rio de Janeiro","",26
"Teatro de rua em movimento II: Teatro sobre a cidade","","","","São Paulo","",27
"3. Seminário de História da Cidade e do Urbanismo promovido pelo mestrado em arquitetura da EESC-USP","","","","São Carlos","",28
"Centro Cultural, seu Próprio","","","","São Paulo","",29
"São Paulo S.A. Práticas sociais, estéticas e políticas: situações 2: abordagens urbanas","","","","São Paulo","",30
"Apresentação das pesquisas sobre o Programa Minha Casa Minha Vida - Ministério das cidades (25/5/2014)","","","","São Paulo","",31
"São Paulo: poder e dinheiro","","","","São Paulo","",32
"Curso de Introdução à obra de David Harvey","","","","São Paulo","",33
"A prática e o conceito de projeto: referências para um debate.","","","","Campinas","",34
"Quando a ocupação dos mananciais é promovida por uma ação da Prefeitura: o caso da remoção das favelas do novo pólo empresarial de São Paulo","","","","Santo André","",35
"Operação Urbana Centro e Plano Diretor: como vão afetar a habitação no centro de São Paulo?","","","","São Paulo","",36
"Operações Urbanas no projeto do novo Plano Diretor de São Paulo","","","","São Paulo","",37
