NATUREZA,TITULO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Relatório","Habitação na área central: Relatório Final da Comissão de Estudos","2001","Brasil","Português","VARIOS","","NAO","","","","NAO",0
"Cartilha","São Paulo: Plano Diretor Estratégico: cartilha de formação","2003","Brasil","Português","VARIOS","","NAO","","","","NAO",1
"Relatório","How the Lula Government Claims do Solve the Housing Problem","2009","Brasil","Português","IMPRESSO","","NAO","","","","NAO",2
"Relatório","Como o governo Lula pretende resolver o problema da habitação","2009","Brasil","Português","NAO_INFORMADO","http://br.boell.org/downloads/relatorio-DH-2009.pdf","NAO","","","","NAO",3
"Entrevista","Mike Davis (entrevista)","2008","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",4
"Trabalho de conclusão de curso","O estado e o capital nas margens do Rio Pinheiros","1990","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",5
"Tese de doutorado","Financeirização e transformações recentes no circuito imobiliário no Brasil","2011","Brasil","Português","VARIOS","","SIM","","","","NAO",6
"Artigo publicado em website","Notas a partir da conferência de David Harvey no Centro Cultural São Paulo, em 26/11/2013","2014","Brasil","Português","MEIO_DIGITAL","http://www.centrocultural.sp.gov.br/CCSP+_especial_texto_mariana_fix_david_harvey_2014.html","NAO","","","","NAO",7
"Apostila","Cidade Global e os Limites do Capital","2015","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",8
"Dissertação de mestrado","São Paulo Cidade Mundial: Fundamentos Financeiro de uma Miragem","2004","Brasil","Português","IMPRESSO","","NAO","","","","NAO",9
