NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,DEMAIS-TRABALHOS_Id
"Roberto Rocco","Rocco, Roberto","7","",,,,,15,,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,16,,,,,,,,,
"Estela Aranha","ARANHA, E.","1","",,,,,17,,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","2","",,,,,17,,,,,,,,,
"Pedro Fiori Arantes","ARANTES, P. F.","3","7983341512092040",,,,,17,,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,18,,,,,,,,,
"Estela Aranha","ARANHA, E.","2","",,,,,18,,,,,,,,,
"Pedro Fiori Arantes","ARANTES, P. F.","3","7983341512092040",,,,,18,,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,19,,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,20,,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,21,,,,,,,,,
"Pedro Fiori Arantes","ARANTES, P. F.","1","7983341512092040",,,,,22,,,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","2","",,,,,22,,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,23,,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,0,,,,,,,,
"Angela Amaral","AMARAL, A.","2","",,,,,,0,,,,,,,,
"Nabil Bonduki","BONDUKI, N.","3","",,,,,,0,,,,,,,,
"Estela Aranha","ARANHA, E.","4","",,,,,,0,,,,,,,,
"Luciana Royer","ROYER, L.","5","",,,,,,0,,,,,,,,
"Tomás Moreira","MOREIRA, T.","6","",,,,,,0,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,1,,,,,,,,
"Angela Amaral","AMARAL, A.","2","",,,,,,1,,,,,,,,
"Nabil Bonduki","BONDUKI, N.","3","",,,,,,1,,,,,,,,
"Adriana Rolim","ROLIM, A.","4","",,,,,,1,,,,,,,,
"José Carlos Gomes Alves","ALVES, J. C. G.","5","",,,,,,1,,,,,,,,
"Juliana Brandão","BRANDAO, J.","6","",,,,,,1,,,,,,,,
"Rossella Rossetto","ROSSETTO, R.","7","",,,,,,1,,,,,,,,
"Anderson Kazuo Nakano","NAKANO, A. K.","8","",,,,,,1,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,2,,,,,,,,
"Pedro Fiori Arantes","ARANTES, P. F.","2","7983341512092040",,,,,,2,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,3,,,,,,,,
"Pedro Fiori Arantes","ARANTES, P. F.","2","7983341512092040",,,,,,3,,,,,,,,
"Otília Beatriz Fiori Arantes","ARANTES, O. B. F.","1","",,,,,,4,,,,,,,,
"Ermínia Maricato","Maricato, Ermínia","2","",,,,,,4,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","3","",,,,,,4,,,,,,,,
"Michael Löwy","LOWY, M.","4","",,,,,,4,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,5,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,6,,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,7,,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,8,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,9,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,0,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,1,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,2,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,3,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,4,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,5,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,6,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,7,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,8,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,9,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,10,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,11,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,12,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,13,,,,,,,
"Pedro Fiori Arantes","ARANTES, P. F.","2","7983341512092040",,,,,,,13,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,14,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,15,,,,,,,
"Tiarajú Pablo D'Andrea","D'Andrea, T. P.","2","",,,,,,,15,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,16,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,17,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,18,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,19,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,20,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,21,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,22,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,23,,,,,,,
"Pedro Fiori Arantes","ARANTES, P. F.","2","7983341512092040",,,,,,,23,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,24,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,25,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,26,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,27,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,28,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,29,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,30,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,31,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,32,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,33,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,34,,,,,,,
"Anderson Kazuo Nakano","NAKANO, A. K.","2","",,,,,,,34,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,35,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,36,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,37,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,38,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,39,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,40,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,41,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,42,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,43,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,44,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,45,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,46,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,47,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,48,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,49,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,50,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,51,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,52,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,53,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,54,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,55,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,56,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,57,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,58,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,59,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,60,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,61,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,62,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,63,,,,,,,
"Luciana Royer","ROYER, L.","2","",,,,,,,63,,,,,,,
"Estela Aranha","ARANHA, E.","3","",,,,,,,63,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,64,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,65,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,66,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,67,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,68,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,69,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,70,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,71,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,72,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,73,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,74,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,75,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,76,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,77,,,,,,,
"Luciana Royer","ROYER, L.","2","",,,,,,,77,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,78,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,79,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,80,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,81,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,82,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,83,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,84,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,85,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,86,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,87,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,88,,,,,,,
"Luciana Royer","ROYER, L.","2","",,,,,,,88,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,89,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,90,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,91,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,92,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,93,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,94,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,95,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,96,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,97,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,98,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,99,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,100,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,101,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,102,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,103,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,104,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,105,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,106,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,107,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,108,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,109,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,110,,,,,,,
"Leda Maria Paulani","Paulani, Leda","2","",,,,,,,110,,,,,,,
"Melissa Ronconi de Oliveira","Oliveira, Melissa Ronconi","1","",,,,,,,111,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","2","",,,,,,,111,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,112,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,113,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,114,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,115,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,116,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,117,,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,118,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,119,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,0,,,,,,
"Gerardo Mosquera","Mosquera, Gerardo","2","",,,,,,,,0,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,1,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,2,,,,,,
"Pedro Fiori Arantes","ARANTES, P. F.","2","7983341512092040",,,,,,,,2,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,3,,,,,,
"Pedro Fiori Arantes","ARANTES, P. F.","2","7983341512092040",,,,,,,,3,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,,4,,,,,,
"Pedro Fiori Arantes","ARANTES, P. F.","2","7983341512092040",,,,,,,,4,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,,5,,,,,,
"Pedro Fiori Arantes","ARANTES, P. F.","2","7983341512092040",,,,,,,,5,,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,,6,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,7,,,,,,
"Pedro Fiori Arantes","ARANTES, P. F.","2","7983341512092040",,,,,,,,7,,,,,,
"Ermínia Maricato","Maricato, Ermínia","1","",,,,,,,,,0,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","2","",,,,,,,,,0,,,,,
"João Sette Whitaker Ferreira","FERREIRA, J. S. W.","3","",,,,,,,,,0,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,1,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,2,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,3,,,,,
"Ermínia Maricato","Maricato, Ermínia","1","",,,,,,,,,4,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","2","",,,,,,,,,4,,,,,
"João Sette Whitaker Ferreira","FERREIRA, J. S. W.","1","",,,,,,,,,5,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","2","",,,,,,,,,5,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,6,,,,,
"Denise Morado","Morado, Denise","1","",,,,,,,,,7,,,,,
"Fernanda Furtado","Furtado, Fernanda","2","",,,,,,,,,7,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","3","",,,,,,,,,7,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,8,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,,,9,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,,,10,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,,,11,,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,,,12,,,,,
"Humberto Miranda do Nascimento","Nascimento, H. M.","2","",,,,,,,,,12,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,13,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,14,,,,,
"Luciana Royer","ROYER, L.","2","",,,,,,,,,14,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,0,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,1,,,,
"Elizabeth Carvalho (entrevistadora)","Carvalho, E.","2","",,,,,,,,,,1,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,2,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,,0,,,
"Cláudio Schuller Maciel","MACIEL, C. S.","1","",,,,,,,,,,,1,,,
"Humberto Miranda do Nascimento","Nascimento, H. M.","2","",,,,,,,,,,,1,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","3","",,,,,,,,,,,1,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,,,,,,,,0,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,,,1,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,,,,0,
"Pedro Fiori Arantes","ARANTES, P. F.","2","7983341512092040",,,,,,,,,,,,,0,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,,,,1,
"Pedro Fiori Arantes","ARANTES, P. F.","2","7983341512092040",,,,,,,,,,,,,1,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,,,,2,
"Pedro Fiori Arantes","ARANTES, P. F.","2","7983341512092040",,,,,,,,,,,,,2,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,,,,3,
"Pedro Fiori Arantes","ARANTES, P. F.","2","7983341512092040",,,,,,,,,,,,,3,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,,,,,0
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,,,,,1
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,,,,,2
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,,,,,3
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,,,,,4
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,,,,,5
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,,,,,,,,,,6
