NOME-DO-EVENTO,INSTITUICAO-PROMOTORA,LOCAL-DA-APRESENTACAO,CIDADE-DA-APRESENTACAO,NOME-DO-EVENTO-INGLES,APRESENTACAO-DE-TRABALHO_Id
"","WSPC","México","Cidade do México","",0
"Colóquio internacional Desafios Urbanos no Brasil e na África do Sul","ETTERN/IPPUR/UFRJ, Labhab/FAUUSP, PPG/FA/UFBA","Fórum de Ciência e Tecnologia, Universidade Federal do Rio de Janeiro.","Rio de Janeiro","",1
"Semana Jurídica Universitária - SEJU III","Faculdades de Direito da GV, Mackenzie, PUC e USP.","Mackenzie","São Paulo","",2
"Formação e Desmanche de um Sistema Visual Brasileiro Moderno","Departamento de Artes Plásticas (ECA)/ Programa de Pós-Graduação em Artes Visuais (PPGAV) ? Escola de Comunicações e Artes da Universidade de São Paulo (ECA-USP); CENEDIC - FFLCH-USP; Pinacoteca","Estação Pinacoteca","São Paulo","",3
"Mobilidade Urbana em São Paulo","Movimento Passe Livre","Espaço dos estudantes, FFLCH - USP","São Paulo","",4
"Ciclo de debates do Curso de Arquitetura e Urbanismo da Unicamp","Unicamp","Unicamp","Campinas","",5
"XII Encontro Nacional da Anpur","Anpur","Hotel Hilton, 22 de maio","Belém do Para","",6
"Teatro sobre a cidade","Sesc e Tablado de Arruar","Sesc Consolação","São Paulo","",7
"Mercado imobiliário internacional","Labhab","Fauusp, Cidade Universitária","São Paulo","",8
"Desenvolvimento local, trabalho e políticas públicas: a realidade das cidades médias brasileiras","UCS e Dieese","UCS","Caxias do Sul","",9
"Oficina preparatória para a 2 Jornada pela moradia digna","Defensoria pública","Defensoria Pública, Rua Boa Vista, 103, 7º andar.","São Paulo","",10
"Seminário Internacional Hegemonia às Avessas","Cenedic","USP","São Paulo","",11
"XXVIII International Congress of the Latins American Studies Association","LASA","UFRJ","Rio de Janeiro","",12
"I Curso de defensores populares","Escola da Defensoria Pública do Estado de São Paulo e Escritório Modelo "Dom Paulo Evaristo Arns"","Sede da Defensoria Pública da União","São Paulo","",13
"XIII ENAnpur","Anpur","Universidade Ferderal de Santa Catarina","Florianópolis","",14
"2ª jornada: Mordia e Meio Ambiente","Defensoria Pública do Estado de São Paulo","Uninove","São Paulo","",15
"Marx + Artes","Centro de estudos Desmanche e Formação de Sistemas Simbólicos","FFLCH USP","São Paulo","",16
"2009 ISA-RC21 Sao Paulo Conference: Inequality, Inclusion and the Sense of Belonging","ISA-RC21","Centro Cultural Vergueiro","São Paulo","",17
"Semana de Ciências Sociais da USP","CEUPES","Faculdade de Filosofia Ciências e Letras da USP","São Paulo","",18
"Encontro Regional de Estudantes de Arquitetura e Urbanismo","FENEA","Sambódromo","Rio de Janeiro RJ","",19
"VI Viver Metrópole","Universidade Presbiteriana Mackenzie","Mackenzie","São Paulo","",20
"3 Jornada da Moradia Digna: O impacto dos megaprojetos e as violações do direito à cidade","Defensoria Pública do Estado de São Paulo, Centro Gaspar Garcia de Direitos Humanos e União dos Movimentos de Moradia","Pontifícia Universidade Católica de São Paulo (PUC) - Campus Ipiranga","São Paulo","",21
"Segregação Urbana na Cidade de São Paulo","Comissão de Centro do Centro Acadêmico XI de Agosto","Faculdade de Direito da USP","São Paulo","",22
"II Curso de Defesores Populares","Defensoria Pública do Estado de São Paulo","Auditório da Defensoria Pública do Estado de São Paulo","São Paulo","",23
"Intolerância ou Respeito? Xenofobia e Segregação: marcas de um processo espacial, 2010.","IFSP","IFSP","São Paulo","",24
"Politics of International Placemaking, professora Clara Irazábal","Columbia University","Graduate School of Architecture, Planning and Preservation, Columbia University","Nova York","",25
"","Associação dos Servidores da SEMPLA - ASSEMPLA","SEMPLA","São Paulo","",26
"","Comissão Especial de Proteção aos Mananciais - Cepm-Billings, da Coordenadoria de Licenciamento Ambiental e de Proteção de Recursos Naturais, Secretaria do Meio Ambiente, Governo do Estado de São Paulo","Câmara Municipal de Santo André","Santo André","",27
"Gráficos Brasileiros. Editoria Alternativa","Museu da Imagem e do Som","Museu da Imagem e do Som","São Paulo","",28
"Encontro com a Planners Network Planners:Planejadores urbanos e justiça social","Labhab-FAUUSP, NAPPLAC-FAUUSP, INFURB-FAUUSP, LABFAU, ANPUR, L'Habitat PUCCAMP, Pós-Grad. PUCCAMP, Dep. Arq. EESC-USP, UNITRABALHO, FAU-Mackenzie, NEPUR-PUC-SP, NHDU-UNITAU, FENEA-SP","Cidade Universitária, USP","São Paulo","",29
"","Grupo de Estudos de Moradia, Faculdade de Direito da USP, Labhab FAUUSP","Faculdade de Direito da USP","São Paulo","",30
"Curso de Formação de Agente Comunitário","Prefeitura Municipal de São Paulo e LabHab FAUUSP","Guaianazes, São Paulo","São Paulo","",31
"Ciclo Habitação e Cidade (Curso de extensão para estudantes de graduação)","LabHab FAUUSP","Faculdade de Arquitetura e Urbanismo da USP","São Paulo","",32
"Space as a cathegory of analisys: new perspectives","Brown University","Brown University","Providence","",33
"Financeirização e transformações recentes no circuito imobiliário no Brasil: debate com Kazuo Nakano","Casa da Cidade","Casa da Cidade","São Paulo","",34
"Disciplina Habitação e meio ambiente","Pós-graduação em Urbanismo da PUC Campinas","PUC Campinas","Campinas","",35
"Curso Produção da teoria - pensamento político brasileiro","Escola Nacional Florestan Fernandes","ENFF","Guararema","",36
"A produção habitacional do programa Minha Casa Minha Vida e sua viabilização na Região Metropolitana de Belém","Universidade Federal do Pará","UFPA","São Paulo","",37
"Congresso comemorativo aos 10 anos do Estatuto da Cidade","Escola Superior de Direito Municipa, Procuradoria Geral do Município de Porto Alegre, Fundação Escola Superior do Ministério Público, Comissão de Direito Urbanístico da OAB-RS, Associação dos Produradores do Município de Porto Alegre","Centro de Eventos São José do Hotel Plaza São Rafael","Porto Alegre","",38
"Seminário nacional lutas e experiências pela moradia digna nas áreas centrais","Centro Gaspar de Direitos Humanos e movimentos de moradia: ULC, MMC, MMRC, MSTC, GARMIC","Centro de Formação Sagrada Família","São Paulo","",39
"Centro Cultura seu próprio.","Centro Cultural São Paulo","CCSP","São Paulo","",40
"Ciência e utopia: por uma geografia do possível","Universidade Federal de Minas Gerais","UFMG","Belo Horizonte","",41
"Terceira jornada pela moradia digna: O impacto dos megaprojetos e as violações do direito à cidade.","Defensoria Pública do Estado de São Paulo","PUC Campus Ipiranga","São Paulo","",42
"A crise do capital e as perspectivas do socialismo.","Editora Boitempo","PUC","São Paulo","",43
"David Harvey no Brasil","Labhab FAUUSP, Fauusp, Editora Boitempo","Faculdade de Arquitetura e Urbanismo da USP","São Paulo","",44
"Operações Urbanas: Direito à cidade?","Centros de Estudos Geográficos Capistrano de Abre - CEGE, Associação de Geógrafos Brasileiros -AGB-SP, GFAU","Faculdade de Arquitetura e Urbanismo da USP","São Paulo","",45
"Seminário Internacional as cidades e suas margens","","Itau Cultural","São Paulo","",46
"Encontro nacional da ANPUR","ANPUR","Florianópolis","São Paulo","",47
"IV Semana de Geografia da Unicamp: Pensando a América Latina","Centro Acadêmico de Geografia e Ciências da Terra (CACT)","Unicamp","Campinas","",48
"Latin American Modernism","Bryn Mawr, PA","Bryn Mawr, PA","Philadelphia","",49
"Brésil: La montée des paradoxes.","Centre George Pompidou","Centre George Pompidou","Paris","",50
"Teatro de rua em movimento II","Tablado de Arruar","","São Paulo","",51
"II Debate: 7 Prêmio Jovens Arquitetos","IAB-SP","Museu da Casa Brasileira","São Paulo","",52
"Grandes projetos de desenvolvimento urbano: o que se pode aprender da experiência brasileira","IPPUR","","Rio de Janeiro","",53
"Encontro Nacional de Estudantes de Arquitetura - ENEA","FENEA","Palácio da Indústria","São Paulo","",54
"São Paulo S.A. Práticas sociais, estéticas e políticas: situações 2: abordagens urbanas","Exo","Exo","São Paulo","",55
"VIII Seminário Internacional da Rede Ibero-Americana de Investigadores sobre Globalização e Território","Rede Ibero-Americana de Investigadores sobre Globalização e Território","","Rio de Janeiro","",56
"Seminário Plano Diretor de São Paulo em debate","Emurb e Gabinete do Vereador Nabil Bonduki","Câmara Municipal de São Paulo","São Paulo","",57
"Encontro nacional da ANPUR","ETTERN-IPPUR-UFRJ, Lincoln Institute of Land Polity, ANPUR","","Belo Horizonte","",58
"Projeto urbano","","PUC Campinas","Campinas","",59
"O Estatuto da Cidade e a habitação na área central de São Paulo","Labhab FAUUSP, Secretaria Municipal de Habitação e Desenvolvimento Urbano, Prefeitura Municipal de São Paulo, FINEP, FAUUSP","","São Paulo","",60
"7 Encontro Estadual de Moradia Popular","União dos Movimentos de Moradia","","Praia Grande","",61
"Interdisziplinarer lehrgang fur hohere lateinamerika-sudien","Lateinamerika-Institut","Lateinamerika-Institut","Viena","",62
"II encontro da Rede de Planejamento Urbano, Democracia e Justiça Social.","Prefeitura Municipal de Belém, IPPUR, Labhab FAUUSP, LILP","","Belém do Para","",63
"FAUUSP debate o Plano Diretor de São Paulo","FAUUSP","FAUUSP","São Paulo","",64
"A cidadade que queremos","Folias d´Arte","Biblioteca Mário de Andrade","São Paulo","",65
"Cidade das Águas","","","","",66
"A Cracolândia","Escola de Sociologia e Política","Escola de Sociologia e POlítica","São Paulo","",67
"?Dinâmica Interna: convivência e reorganização da cidade brasileira?","Museu de Artes do Espírito Santo (MAES)","Museu de Arantes do Espírito Santo","Vitória","",68
"Seminário Observatório das Metrópoles: Território, coesão social e governança democrática","INCT Observatório das Metrópoles","Scorial Rio Hotel","Rio de Janeiro","",69
"XII Seminário da Rede Iberoamericana de Pesquisadores sobre Globalização e Território","Rede Iberoamericana de Pesquisadores sobre Globalização e Território","UFMG","Belo Horizonte","",70
"As transformações da cidade","NPGAU - UFMG","UFMG","Belo Horizonte","",71
"Financialization of Home and City: From the United States to Brazil","The College of Architecture and Urban Studies? Diversity Committee","Virginia Tech","Alexandria","",72
"","Latin Lab e the Buell Center (Columbia University)","Columbia University","New York","",73
"Lectures Series","Georgia Tech, School of Regional and Urban Planning","Georgia Tech","Atlanta","",74
"XV Encontro Nacional da ANPUR","ANPUR","","Recife","",75
"XIX Semana de Planejamento Urbano e Regional 2013 Planejamento, Desigualdade e Justiça Espacial: desafios para as cidades e regiões","IPPUR","UFRJ","Rio de Janeiro","",76
"Beyond Resilience: Actions for a Just Metropolis","Planners Network","Pratt Institute","Nova York","",77
"","TU Delft","TU Delft","Delft","",78
"Seminário de Planejamento Urbano, da pós-graduação da FAU,","FAUUSP","FAUUSP, Pós-Graduação","São Paulo","",79
"Royal Geographic Society Annual Conference","RGS-IBG","Royal Geographic Society e Imperial College","Londres","",80
"Track Changes, Bienal de Arquitetura","X Bienal de Arquitetura de Sao Paulo, The New Institute","Centro Cultural São Paulo","São Paulo","",81
"Reunião do Núcleo de Direito Urbanístico da EPM","Núcleo de Direito Urbanístico da Escola Paulista de Magistratura","Escola Paulista de Magistratura","São Paulo","",82
"X Bienal de Arquitetura de São Paulo","X Bienal de Arquitetura de São Paulo","Sesc Pompéia","São Paulo","",83
"Seminário Economia Política da questão urbano-regional: desintegração, financeirização e dominação do espaço nacional pelas frações do capital.","Revista Leituras de Economia Política - LEP","Instituto de Economia da Unicamp","Campinas","",84
"Calourada Unificada da USP","DCE USP","Faculdade de Filosofia, Letras e Ciências Humanas da USP","São Paulo","",85
"","curso de Bacharelado em Arquitetura e Urbanismo do Centro Universitário SENAC","SENAC Santo Amaro","São Paulo","",86
"A luta é contínua","Bibliotecas Públicas da cidade de São Paulo","Biblioteca Prefeito Prestes Maia","São Paulo","",87
"XVIII ISA World Congresso of Sociology","Insternational Sociological Association, ISA","Japão","Yokohama","",88
"Land Value Capture for Infraestrucuture: towards the redistributive city","The Bartlett Development Planning Unit University College London","The Bartlett Development Planning Unit University College London","Londres","",89
"Públic-private partnerships and the Real Estate/Financial Complex","Ford Foundation, LabCidade, FAUUSP","Faculdade de Arquitetura e Urbanismo da USP","São Paulo","",90
"Primeira Semana de Economia da UNIFESP","Escola Paulista de Política Economia e Negócios da UNIFESP","Escola Paulista de Política Economia e Negócios da UNIFESP","Osasco","",91
"Pensando a Metrópole Contemporânea","NEPO-Unicamp, Cebrap","IFCH Unicamp","Campinas","",92
"XV Semana de Arquitetura e Urbanismo","","FEC Unicamp","Campinas","",93
"Wohnungsfrage Opening Events","Haus der Kulturen der Welt","Haus der Kulturen der Welt","Berlim","",94
"Wohnungsfrage Academy Housing System","Haus der Kulturen der Welt","Haus der Kulturen der Welt","Berlim","",95
"Encontro Estadual de Arquitetos e Urbanistas","SASP","Praça das Artes","São Paulo","",96
"Nueva geografia de la urbnaización y vulnerabilidad socio-territorial. Hacia la configuración de una región urbana en Santiago de Chile?","Instituto de Estudos Urbanos Y Territoriales, Faculda de Arquitectura, Diseño y Estudios Urbanos","Campus Lo Contador UC","Santiago do Chile","",97
"A produção social do urbano no Brasil contemporâneo","Departamento de Sociologia do IFCH","Unicamp","Campinas","",98
"Confronting Informality","TU Delft","TU Delft","Delft","",99
"Urban Justice and Equity","Governo da Cidade do México e UCLG Commite on Social Inclusion, Participative Democracy and Human Rights","","Cidade do México","",100
"Financing Urban Development: the Millennium Challenge. Habitat III Thematic Meeting","ONU (Organização das Nações Unidas), Governo da Cidade do México","Cidade do México","Cidade do México","",101
"XIV Seminario Internacional de la RII: ?Crisis mundial y financiarización: impactos urbanos y territoriales?","RII e UANL (Universidad Autonoma de Nuevo León)","Hotel Sede Crown Plaza Monterrey","Monterrey","",102
"Circuito Unicamp da 5 Mostra Ecofalante de Cinema Ambientadl","CEDE Unicamp","UNICAMP","Campinas","",103
"Political Economy: international trends and national differences","Iniciativa Internacional para a Promoção da Economia Política","InatItuto SuperIor de economIa e gestão (ISEG)","Lisboa","",104
"Cidades Rebeldes","Editora Boitempo","SESC","São Paulo","",105
"The trangressive city","RC-21","El Colegio de México","Cidade do México","",106
"Disciplina AUP 5703 Dseenho do Ambiente Urbano","Curso de Pós-Graduação da Faculdade de Arquitetura e Urbanismo da USP","Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo","São Paulo","",107
"PROGRAMAC&#807;A&#771;O I CONGRESSO DIREITO A&#768; CIDADE E DIREITO A&#768; MORADIA EM CENA&#769;RIO DE CRISE: REFLEXO&#771;ES, SIGNIFICADO E PROPOSTAS","Grupo de pesquisa em Economia Urbana e Direito à Moradia - UFRGS","UFRSG","Porto Alegre","",108
"","Faculdade de Arquitetura e Urbanismo da USP","USP","São Paulo","",109
"Encontro Nacional da ANPUR","ANPUR","Hotel Jaraguá","São Paulo","",110
"Encontro Nacional da ANPUR","ANPUR","Hotel Jaraguá","São Paulo","",111
"Semana do Planejamento Territorial","Universidade Federal do ABC","Universidade Federal do ABC","São Bernardo","",112
"Semana de Economia","CAECO","Instituto de Economia da Unicamp","Campinas","",113
"Dependência na América Latina: um museu de grandes novidades","","SESC","São Paulo","",114
"50 anos del Centro de Investigaciones de La Faculdad de Arquitectura","Centro de Investigaciones de La Faculdad de Arquitectura da UNAM","Universidad Nacional Autónoma de México","Cidade do México","",115
"RC21 - Rethinking Urban Glogal Justice","International Sociology Association","University of Leeds","Leeds","",116
"Palestra a estudantes da UNAM","Centro de Investigaciones en Arquitectura, Urbanismo y Paisaje (CIAUP) e Programa de Maestria u Doctorado en Urbanismo da UNAM","UNAM","Cidade do México","",117
"Semana de Arquitetura e Urbanismo (SEMANAU)","IAU-USP","IAU-USP - Campus São Carlos","São Carlos","",118
"Curso de Geografia Urbana","Instituto de Geografia da Unicamp","Unicamp","Campinas","",119
