NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-SEMINARIO_Id
"Seminário","","1999","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",0
"Seminário","São Paulo: metrópole periférica no capitalismo financeirizado","2004","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",1
"Seminário","Cidades Rebeldes: debate sobre a obra de David Harvey","2014","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",2
"Seminário","A cidade no teatro de grupo","2008","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",3
"Seminário","","1998","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",4
"Seminário","A questão da habitação na mundialização: o caso do Brasil.","2016","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",5
"Seminário","Operações Urbanas Consorciadas","2003","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",6
"Seminário","Grandes projetos urbanos: o caso da Operação Urbana Faria Lima","2006","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",7
"Seminário","","2000","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",8
"Seminário","","1997","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",9
"Seminário","Seminar in dialogue with Abdoulmalique Simone","2015","Brasil","","NAO_INFORMADO","","NAO","Simposista","Convidado","","Mapping the Housing System? Evidences from a Peripheral Capitalist Country","NAO",10
"Seminário","Sao Paulo: Ville Global? Fondements financiers d? un mirage","2005","França","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",11
"Seminário","Cidade da especulação","2013","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",12
"Seminário","A luta pelo direito à moradia e os negócios imobiliários: novos elementos de uma antiga disputa.","2011","Brasil","","NAO_INFORMADO","","NAO","Simposista","Convidado","","","NAO",13
"Seminário","A expansão do padrão metropolitano de urbanização: o caso das cidades médias","2008","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",14
"Seminário","","1993","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",15
"Seminário","A cidade e suas margens: uma ponte para a especulação","2009","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",16
"Seminário","O Brasil na economia internacional:novas dinâmicas e desigualdades regionais e urbanas","2013","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",17
"Seminário","A crise (do crédito subprime) e o urbano","2008","Brasil","","NAO_INFORMADO","","NAO","Simposista","Convidado","","","NAO",18
"Seminário","Segregação espacial na cidade de São Paulo","2011","Brasil","","NAO_INFORMADO","","NAO","Simposista","Convidado","","","NAO",19
"Seminário","","1998","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",20
"Seminário","Segregação Sócio-Espacial","2009","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",21
"Seminário","Consessão de uso especial para fins de moradia","2001","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",22
"Seminário","A produção social do urbano no Brasil contemporâneo","2015","Brasil","","NAO_INFORMADO","","NAO","Simposista","Convidado","","","NAO",23
"Seminário","Cultura, diversidade e urbanidade: um horizonte possível","2011","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",24
"Seminário","Um edifício, uma favela e uma ponte","2007","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",25
"Seminário","Novos instrumentos da ofensiva imobiliária nos centros urbanos: Concessões Urbanísticas e Areas de Revitalização Econômica","2009","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",26
"Seminário","Cidade Ideal / Cidade Real","2005","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",27
"Seminário","","1994","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",28
"Seminário","Sociabilidade e convívio na arte [algumas experiências do teatro]","2011","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",29
"Seminário","São Paulo: cidade global?","2004","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",30
"Seminário","AVALIAÇÃO DOS IMPACTOS DO PROGRAMA MINHA CASA, MINHA VIDA EM DINÂMICAS URBANO-REGIONAIS DIFERENCIADAS OS CASOS DE CAMPINAS E SÃO JOSÉ DO RIO PRETO NA REGIÃO SUDESTE E RECIFE E CARUARU NA REGIÃO NORDESTE DO BRASIL","2014","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",31
"Seminário","A cidade que queremos: Trabalho e Pobreza, Poder e Dinheiro na Cidade de São Paulo","2001","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",32
