NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-ENCONTRO_Id
"Encontro","","1994","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",0
"Encontro","São Paulo Cidade Global","2007","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",1
"Encontro","Parceiros da exclusão: duas histórias da construção de uma","2001","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",2
"Encontro","Imóveis e Finanças: Alguns nexos de um jogo de fim","2007","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",3
"Encontro","Insurgent Planning, Globalization and Local Democracy: São Paulo e Rio: novos paradigmas de intervenção urbana","2000","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",4
"Encontro","Ascenção e queda da casa como ativo financeiro: de lastro da valorização da riqueza a estopim da crise mundial","2009","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",5
"Encontro","","2000","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",6
"Encontro","Grandes projetos urbanos. Um novo modo de planejar as cidades?","2003","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",7
"Encontro","Sonhou ou pesadelo para quem?","2013","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",8
"Encontro","","1994","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",9
"Encontro","Novos instrumentos da ofensiva imobiliária: concessões urbanísticas e business improvement districts brasileiros","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",10
"Encontro","Trabalho na construção civil durante a retomada do financiamento habitacional no Brasil","2017","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",11
"Encontro","The housing question under neoliberalism in Brazil and the US","2016","Portugal","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","The housing question under neoliberalism in Brazil and the US","NAO",12
"Encontro","Ascensão e queda da casa como ativo financeiro: de lastro da valorização da riqueza a estopim da crise mundial","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",13
"Encontro","Habitação e Reforma Urbana","2010","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",14
"Encontro","Operações Urbanas: uma fórmula-mágica?","2005","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",15
"Encontro","Three cases of local resistance to private-public partnerships in São Paulo during the last decade","2000","Estados Unidos","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",16
"Encontro","Limeira: trabalhos de estudantes da FAUUSP em debate","2005","Brasil","","NAO_INFORMADO","","NAO","Simposiasta","Convidado","","","NAO",17
