TIPO,NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ORGANIZACAO-DE-EVENTO_Id
"OUTRO","ORGANIZACAO","Encontro com a Planners Network","1999","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",0
"OUTRO","ORGANIZACAO","Ato Político-Cultura do Fórum Centro Vivo","2005","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",1
"OUTRO","ORGANIZACAO","Ato Político-Cultural de um ano do Fórum Centro Vivo","2001","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",2
"OUTRO","ORGANIZACAO","Ato político-cultural de fundação do Fórum Centro Vivo","2000","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",3
"OUTRO","ORGANIZACAO","Cidades e populações urbanas","2001","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",4
"OUTRO","ORGANIZACAO","Encontro da Rede Planejamento Urbano, Democracia e Justiça Social na Anpur","2001","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",5
"OUTRO","ORGANIZACAO","Encontro Internacional Democracia, Igualdade e Qualidade de Vida. O desafio para as cidades do século XXI","1999","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",6
"CONGRESSO","ORGANIZACAO","Membro do Comitê Científico do XVI ENANPUR, sessão temática 7: Dinâmica Imobiliária, habitação e regulação urbana","2015","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",7
"CONGRESSO","ORGANIZACAO","Coordenadora na ST 7-1: Economia política da urbanização: a produção caplitalista da casa e da cidade na mundialização financeira","2015","Brasil","Português","VARIOS","","NAO","","","NAO",8
"CONGRESSO","ORGANIZACAO","Coodernadora na ST7-4: O programa Minha Casa Minha Vida: oferta e demanda habitacional","2015","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",9
"CONGRESSO","ORGANIZACAO","Coordenadora na ST7-6: Propriedade da terra, lutas sociais e desigualdades no centro e na periferia I","2015","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",10
"CONGRESSO","ORGANIZACAO","Coordenadora na ST7-10: O programa Minha Casa Minha Vida: oferta e demanda habitacional II","2015","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",11
"OUTRO","ORGANIZACAO","Os limites da urbanização (palestra de David Harvey na Unicamp)","2015","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",12
"FESTIVAL","ORGANIZACAO","Circuito Unicamp da 5a. Mostra Ecofalante de Cinema Ambiental","2016","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",13
"OUTRO","ORGANIZACAO","ELEA São Paulo","1993","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",14
