NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","Fast and Accurate Holistic Face Recognition using Optimum-Path Forest","2009","Grécia","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","Fast and Accurate Holistic Face Recognition using Optimum-Path Forest","NAO",0
"Congresso","Fast interactive segmentation of natural images using the Image Foresting Transform","2009","Grécia","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","Fast interactive segmentation of natural images using the Image Foresting Transform","NAO",1
"Congresso","Automated Diagnosis of Intestinal Parasites using Optical Microscopy Images","2013","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",2
"Congresso","Improving Atlas-Based Medical Image Segmentation with a Relaxed Object Search","2014","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",3
"Congresso","Design of Optimum-Path Forest Classifiers and their Applications in Image Analysis","2010","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",4
"Congresso","Fast and Robust Mid-Saggital Plane Location in 3D MR Images of the Brain","2008","Portugal","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",5
"Congresso","Optimizing Optimum-Path Forest Classification for Huge Datasets","2010","Turquia","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",6
"Congresso","Interactive Machine Learning for Automatic Image Annotation: What can machines and specialists learn from each other?","2016","Brasil","","NAO_INFORMADO","http://gibis.unifesp.br/sibgrapi16/","NAO","Conferencista","Convidado","","Interactive Machine Learning for Automatic Image Annotation: What can machines and specialists learn from each other?","NAO",7
"Congresso","Medical image segmentation using object shape models: A critical review on recent trends, and alternative directions","2015","Espanha","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",8
"Congresso","Active Semi-Supervised Learning using Optimum-Path Forest","2014","Suécia","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",9
"Congresso","Comparisson of Fuzzy Connectedness and Graph-Cut Segmentation Algorithms","2011","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",10
"Congresso","Detection of tooth fractures in CBCT images by using attention index estimation","2014","Estados Unidos","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",11
"Congresso","3-D examination of dental fractures with minimum user intervention","2013","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",12
"Congresso","Differential and Relaxed Image Foresting Transform for Graph-Cut Segmentation of Multiple 3D Objects","2014","Estados Unidos","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",13
"Congresso","FCD Segmentation using Texture Asymmetry of MR-T1 Images of the Brain","2008","França","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",14
"Congresso","A Discrete Approach for Supervised Pattern Recognition.","2008","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",15
"Congresso","Supervised Pattern Classification by Optimum Path Forest","2007","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",16
"Congresso","The Image Foresting Transform: Recent Advances and Perspectives","2009","Grécia","","NAO_INFORMADO","http://www.dsp2009.org/default.asp?pg=speakers&lng=en","NAO","Conferencista","Convidado","","The Image Foresting Transform: Recent Advances and Perspectives","NAO",17
"Congresso","Desenvolvimento de um sistema computacional para o diagnóstico de enteroparasitoses","2006","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",18
"Congresso","A Linear-Time Approach for Image Segmentation using Graph-Cut Measures","2006","Bélgica","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",19
