SEQUENCIA-ESPECIFICACAO,DISCIPLINA_Text,ENSINO_Id
1,Introdução à Inteligência Artificial (MC906),0
1,"Introdução ao Processamento de Imagem Digital (tópicos, aberta à graduação)",1
1,Processamento e Análise de Imagens,2
1,Processamento e Análise de Imagens,3
1,Visualização de Imagens Médicas (tópico),4
1,Processamento de Imagens usando Grafos (tópico),5
1,Introdução à Inteligência Artificial,6
1,Algoritmos e Programação de Computadores,7
1,Algoritmos e Programação de Computadores,8
1,Algoritmos e Estruturas de Dados,9
1,Computação Gráfica,10
2,Introdução ao Processamento de Dados,10
1,Algoritmos e Estruturas de Dados,11
1,Estrutura de Arquivos,12
1,Visualização de Imagens Médicas (tópico),13
1,Introdução ao Processamento de Imagem Digital,14
1,Estrutura de Arquivos,15
1,Algoritmos e Programação de Computadores,16
1,Processamento de Imagens usando Grafos (tópico),17
1,Estruturas de Arquivos,18
1,Computação Gráfica,19
1,Introdução ao Processamento Digital de Imagens,20
1,Análise de Imagens,21
1,Introdução ao Processamento de Imagem Digital,22
1,Estruturas de Arquivos,23
1,Processamento e Análise de Imagens,24
1,Análise de Imagens,25
