SEQUENCIA-ORIENTACAO,TITULO-ORIENTACAO,TIPO-ORIENTACAO,TITULO-ORIENTACAO-INGLES,ORIENTACOES_Id
"81","Classificação Água, Vegetaçcão e Zonas Urbanas pelo Método do Paralelepípedo","Monografia de conclusão de curso	de especialização","",0
"40","Representação e Recuperação Eficientes em Grandes Bancos de Dados de Imagens Heterogêneas","Tese de doutorado","",1
"77","Segmentação de Imagens de Parasitos Intestinais do Homem","Dissertação de mestrado","",2
"78","Classificação supervisionada de padrões por florestas de caminhos ótimos","Tese de doutorado","",2
"79","Processamento de Amostras Fecais e Desenvolvimento da Tecnica de Analise de Imagens por Computador, para o Diagnostico das Enteroparasitoses","Tese de doutorado","",2
"169","","Orientação de outra natureza","",2
"171","Análise de Imagens de Parasitos Intestinais do Homem","Orientação de outra natureza","",2
"13","Um Método Rápido para Rendering de Volumes com Perspectiva Digital","Dissertação de mestrado","",3
"22","Visualização 3D em Medicina usando Estereogramas Holográficos","Dissertação de mestrado","",3
"23","Segmentação de Imagens Tomográficas usando Contornos Deformáveis com Segmentos de Custo Mínimo","Dissertação de mestrado","",3
"30","Projeto de Operadores de Processamento e Análise de Imagens baseados na Transformada Imagem-Floresta","Dissertação de mestrado","",3
"30","Projeto de Operadores de Processamento e Análise de Imagens baseados na Transformada Imagem-Floresta","Dissertação de mestrado","",4
"41","Shell Rendering com Fatoração Shear-Warp","Dissertação de mestrado","",4
"46","Visualização de Imagens Médicas em Superfícies de Corte","Iniciação científica","",4
"42","Ambiente de Gerenciamento de Imagens e Dados Espaciais para Desenvolvimento de Aplicações Ambientais","Tese de doutorado","",5
"43","Segmentação Interativa de Volumes baseada em Regiões","Dissertação de mestrado","",5
"44","Segmentação e Visualização Tridimensional Interativa de Imagens de Ressonância Magnética","Dissertação de mestrado","",5
"45","Ambiente Computacional para Comparação de Descritores de Imagem","Iniciação científica","",5
"46","Visualização de Imagens Médicas em Superfícies de Corte","Iniciação científica","",5
"47","Segmentação Interativa de Imagens Médicas por Perseguição de Bordas","Iniciação científica","",5
"63","Detecção de displasias corticais focais através da caracterização do córtex humano em imagens cerebrais de RM para auxílio na diagnose de epilepsia","Orientação de outra natureza","",5
"64","Visualização 3D de Imagens Médicas","Orientação de outra natureza","",5
"81","Classificação Água, Vegetaçcão e Zonas Urbanas pelo Método do Paralelepípedo","Monografia de conclusão de curso	de especialização","",5
"82","Projeto de Interfaces Gráficas","Iniciação científica","",5
"67","Segmentação de Displasias Corticais Focais em Imagens de Ressonância Magnética do Cérebro Humano","Tese de doutorado","",6
"76","Análise de Assimetria dos Ventrículos Laterais a partir de Imagens de Ressonância Magnética","Dissertação de mestrado","",6
"84","Segmentação de substâncias cinza e branca do cérebro humano em imagens de ressonância magnética e sua avaliação","Tese de doutorado","",6
"75","Descritores de forma baseados em tensor scale","Dissertação de mestrado","",7
"80","Análise de Plantações por Índices de Vegetação obtidos de Imagens de Satélite","Iniciação científica","",7
"67","Segmentação de Displasias Corticais Focais em Imagens de Ressonância Magnética do Cérebro Humano","Tese de doutorado","",8
"76","Análise de Assimetria dos Ventrículos Laterais a partir de Imagens de Ressonância Magnética","Dissertação de mestrado","",8
"78","Classificação supervisionada de padrões por florestas de caminhos ótimos","Tese de doutorado","",8
"83","Um modelo discreto para reconhecimento e delineamento de objetos em imagens","Tese de doutorado","",8
"105","Registro de imagens 3D do Cérebro Humano","Dissertação de mestrado","",8
"141","Agrupamento por Floresta de Caminhos Ótimos com Aplicações em Análise de Imagens","Tese de doutorado","",8
"67","Segmentação de Displasias Corticais Focais em Imagens de Ressonância Magnética do Cérebro Humano","Tese de doutorado","",9
"76","Análise de Assimetria dos Ventrículos Laterais a partir de Imagens de Ressonância Magnética","Dissertação de mestrado","",9
"78","Classificação supervisionada de padrões por florestas de caminhos ótimos","Tese de doutorado","",9
"79","Processamento de Amostras Fecais e Desenvolvimento da Tecnica de Analise de Imagens por Computador, para o Diagnostico das Enteroparasitoses","Tese de doutorado","",9
"83","Um modelo discreto para reconhecimento e delineamento de objetos em imagens","Tese de doutorado","",9
"84","Segmentação de substâncias cinza e branca do cérebro humano em imagens de ressonância magnética e sua avaliação","Tese de doutorado","",9
"105","Registro de imagens 3D do Cérebro Humano","Dissertação de mestrado","",9
