PROJETO-DE-PESQUISA_Id,SEQUENCIA-PROJETO,ANO-INICIO,ANO-FIM,NOME-DO-PROJETO,SITUACAO,NATUREZA,NUMERO-GRADUACAO,NUMERO-ESPECIALIZACAO,NUMERO-MESTRADO-ACADEMICO,NUMERO-MESTRADO-PROF,NUMERO-DOUTORADO,DESCRICAO-DO-PROJETO,IDENTIFICADOR-PROJETO,DESCRICAO-DO-PROJETO-INGLES,NOME-DO-PROJETO-INGLES,FLAG-POTENCIAL-INOVACAO,NOME-COORDENADOR-CERTIFICACAO,DATA-CERTIFICACAO,NUMERO_TECNICO_NIVEL_MEDIO,PARTICIPACAO-EM-PROJETO_Id
0,"1","2009","","Controle da Produção Bruta em Poços de Óleo que utilizam &#147;Gás-Lift&#148; Intermitentemente por meio de sensor de Golfadas","EM_ANDAMENTO","PESQUISA","","","","","","Desenvolvimento de uma instrumentação de campo para otimizar a produção de poços operando com &#147;Gás Lift Intermitente&#148; GLI","","","","NAO","","","",0
1,"3","2009","2010","Otimização do potencial de geração de unidades hidrelétricas","CONCLUIDO","PESQUISA","","","","","","Implementação de um modelo matemático para otimização do potencial de geração de unidades hidrelétricas.","","","","NAO","","","",1
2,"2","2009","2010","Otimização da programação operacional de unidades","CONCLUIDO","PESQUISA","","","","","","Implementação de um modelo matemático para otimização da programação operacional de unidades.","","","","NAO","","","",1
3,"3","2010","2012","Otimização do Despacho Interligado Nacional - ODIN","CONCLUIDO","PESQUISA","","","","","","O objetivo do projeto é implementar e testar uma política operativa baseada em modelo determinístico a usinas individualizadas alimentado por previsão de vazões para a operação energética de médio prazo do Sistema Interligado Nacional (SIN). O modelo, denominado ODIN (Otimização do Despacho Interligado Nacional), se baseia assim em modelagem determinística, individualizada e não-linear, sendo uma alternativa metodológica ao modelo NEWAVE que é estocástico, equivalente e linearizado. A implementação do modelo ODIN atenderá todas as premissas básicas listadas na chamada 001/2008 - "Modelo de Otimização do Despacho Hidrotérmico" - dos projetos estratégicos da ANEEL. Ver http://www.cose.fee.unicamp.br/odin","","","","NAO","","","",2
4,"4","2000","2004","Planejamento e Programação da Operação de Sistemas de Energia Elétrica","CONCLUIDO","PESQUISA","","","","","","Projeto Temático de Equipe da FAPESP para o estudo do Planejamento e Programação da Operação de Sistemas de Energia Elétrica","","","","NAO","","","",3
5,"5","2001","2001","Previsão de carga horária, diária, semanal e mensal","CONCLUIDO","PESQUISA","","","","","","Trabalho técnico e científico na área de sistemas de energia elétrica, com desenvolvimento de um programa computacional para a previsão de carga em base horária, diária, semanal e mensal.","","","","NAO","","","",4
6,"6","2004","2007","Planejamento e Programação da Operação do Sistema Interligado Nacional","CONCLUIDO","PESQUISA","","","","","","Projeto com financiamento FINEP entre o Operador Nacional do Sistema Elétrico (ONS) e a Universidade Estadual de Campinas (UNICAMP) para avaliação e aprimoramento da cadeia de planejamento e programação da operação de sistemas hidrotérmicos desenvolvida pelo grupo de pesquisa da Faculdade de Engenharia Elétrica e de Computação (FEEC). Desenvolvimento de um sistema computacional para simulação da operação energética das usinas pertencentes ao Sistema Interligado Nacional.","","","","NAO","","","",5
7,"8","2007","2009","Sistema de Suporte à Decisão para o Despacho Ótimo de Unidades Geradoras das Usinas da CESP","CONCLUIDO","PESQUISA","","","","","","Trabalho técnico e científico na área de sistemas de energia elétrica visando o desenvolvimento de um sistema computacional de apoio a decisão para o despacho ótimo de unidades geradoras das usinas hidrelétricas da CESP.","","","","NAO","","","",6
8,"9","2008","2012","Técnica para Validação Automática dos Dados de Pós-operação das Usinas da Duke Energy e Aperfeiçoamento dos Modelos de Suporte à Decisão da Operação","CONCLUIDO","PESQUISA","","","","","","Técnica para Validação Automática dos Dados de Pós Operação das Usinas da Duke Energy e Aperfeiçoamento dos Modelos de Suporte à Decisão da Operação" visa desenvolver, implementar e testar novas metodologias e ferramentas para o sistema computacional de suporte a decisão para o planejamento e programação da operação da Duke Energy.","","","","NAO","","","",7
9,"10","2010","2011","Otimização do despacho de usinas hidroelétricas do grupo Energias do Brasil","CONCLUIDO","PESQUISA","","","","","","A presente proposta de P&D da FEEC-UNICAMP teve por objetivo a modelagem e a especificação de um sistema de suporte para a programação das usinas hidrelétricas do Grupo Energias do Brasil, baseados nas metodologias desenvolvidos pela equipe do laboratório COSE da FEEC-UNICAMP. O sistema é constituído de um modelo de previsão de vazões de curto prazo e um modelo específico de despacho ótimo de unidades geradoras hidrelétricas. Os aspectos inovadores do projeto são: a aplicação destes modelos para usinas PCH, unidades estas ainda não modeladas, pois até o momento só foram simuladas usinas hidrelétricas de porte; e a implementação computacional será executada pelos técnicos do Grupo Energias do Brasil, diferentemente dos outros projetos no qual a implementação ficou a cargo do Grupo da UNICAMP.","","","","NAO","","","",8
10,"11","1999","2000","Despacho de Máquinas","CONCLUIDO","PESQUISA","","","","","","Desenvolvimento de programa computacional para otimização do despacho de máquinas das usinas do rio paranapanema.","","","","NAO","","","",9
11,"7","2005","2006","Novas Abordagem Metodológica nos Estudos de Mercado a Curto, Médio e Longo Prazo","CONCLUIDO","PESQUISA","","","","","","Desenvolvimento de trabalho técnico e científico na área de sistemas de energia elétrica com o objetivo de implementar um sistema de previsão de mercado de energia, com horizonte de previsão de até cinco anos em base mensal para a CPFL. O projeto permitiu o estudo do mercado a médio prazo, assim como a sua relação com outras variáveis explicativas (econômicas, populacionais, etc) viabilizando um maior entendimento do problema e a realização das previsões de médio prazo do mercado da CPFL.","","","","NAO","","","",10
