NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id
"COMPLETO","Optimal active power dispatch by network flow approach","1988","","Inglês","MEIO_DIGITAL","","NAO","10.1109/59.192975","Optimal active power dispatch by network flow approach","NAO",0,
"COMPLETO","A short term hydrothermal scheduling approach for dominantly hydro systems","1991","","Inglês","MEIO_DIGITAL","","SIM","10.1109/59.76707","A short term hydrothermal scheduling approach for dominantly hydro systems","NAO",1,
"COMPLETO","Hydro-Dominated Short Term Hydrothermal Scheduling Via Hybrid Simulation-Optimisation Approach: A Case Study","1995","Brasil","Inglês","IMPRESSO","","SIM","","","NAO",2,
"COMPLETO","Uma metodologia de pré-despacho AC com base em um modelo de FPO Newton","2000","Brasil","Português","IMPRESSO","","NAO","","","NAO",3,
"COMPLETO","A Hydrothermal Optimal Power Flow Problem Solved by Lagrangian Relaxation Approach","2003","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",4,
"COMPLETO","Unit Commitment of Hydro Dominated Systems","2008","","Inglês","MEIO_DIGITAL","","NAO","10.2202/1553-779X.1904","Unit Commitment of Hydro Dominated Systems","NAO",5,
"COMPLETO","Performance comparison of artificial neural networks and expert systems applied to flow pattern identification in vertical ascendant gas-liquid flows","2010","","Inglês","MEIO_DIGITAL","","NAO","10.1016/j.ijmultiphaseflow.2010.05.001","Performance comparison of artificial neural networks and expert systems applied to flow pattern identification in vertical ascendant gas-liquid flows","NAO",6,
"COMPLETO","Sistema inteligente para monitoramento e detecção de regimes de escoamento bifásico gás-líquido","2009","","Português","NAO_INFORMADO","","NAO","","","NAO",7,
"COMPLETO","MODELO BASEADO EM COMBINAÇÃO DE PREVISORES PARA PREVISÃO DE SÉRIES TEMPORAIS DE CARGA ELÉTRICA","2011","","Português","MEIO_DIGITAL","","NAO","10.7198/s2237-07222011000200003","MODELO BASEADO EM COMBINAÇÃO DE PREVISORES PARA PREVISÃO DE SÉRIES TEMPORAIS DE CARGA ELÉTRICA","NAO",8,
"COMPLETO","A Short-Term Bus Load Forecasting System","2011","","Português","MEIO_DIGITAL","[http://A Short-Term Bus Load Forecasting System]","NAO","","","NAO",9,
"COMPLETO","Uma metodologia para melhorar o perfil de tensão de sistemas elétricos de potência","2013","","Português","VARIOS","[http://sare.anhanguera.com/index.php/rcger/article/view/4493]","NAO","","","NAO",10,
"COMPLETO","Intelligent Models to Identification and Treatment of Outliers in Electrical Load Data","2016","","Inglês","VARIOS","[doi:10.1109/tla.2016.7786306]","NAO","10.1109/tla.2016.7786306","","NAO",11,
"COMPLETO","Otimização da exportação da soja brasileira: uma aplicação de um modelo de design de rede","2016","","Português","VARIOS","","NAO","","","NAO",12,
"COMPLETO","Design network model applied to the soybean chain in Brazil: from transportation, warehouse up to exportation","2016","","Português","MEIO_DIGITAL","[http://www.journalcra.com/article/design-network-model-applied-soybean-chain-brazil-transportation-warehouse-exportation]","NAO","","","NAO",13,
"COMPLETO","Optimal dispatch of generating units of the Itaipu hydroelectric plant","2002","","Inglês","MEIO_DIGITAL","","NAO","10.1109/59.982207","Optimal dispatch of generating units of the Itaipu hydroelectric plant","NAO",14,
"NAO_INFORMADO","Analysis of Two-Phase Flow Pattern Identification Methodologies for Embedded Systems","2017","","Inglês","NAO_INFORMADO","","NAO","","","NAO",,0
