NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"OUTRA","Acelerando Calculos de Elementos Finitos","1993","Brasil","Português","NAO","","","NAO",0
"COMUNICACAO","Object Oriented Programming Techniques Applied To Fluid Flow Simulations","1991","Brasil","Inglês","NAO","","","NAO",1
"SEMINARIO","Development Of Finite Element Algorithms For Convection Diffusion Problems","1990","Brasil","Inglês","NAO","","","NAO",2
"SEMINARIO","Discretization Vs. Modeling Error For A Class Of Beam Elements.","1989","Brasil","Inglês","NAO","","","NAO",3
"CONGRESSO","Aplicacoes de Programacao Orientada Para Objetos Em Computacao CientíFica","1991","Brasil","Português","NAO","","","NAO",4
"CONGRESSO","Sobre a implementação do método h-p adaptativo num ambiente orientado para objetos","1999","Brasil","Português","NAO","","","NAO",5
"CONGRESSO","A Three Dimensional Adaptive Finite Element Method","1988","Argentina","Inglês","NAO","","","NAO",6
"CONGRESSO","On the use of the object oriented programming philosophy in scientific computing","1991","Argentina","Inglês","NAO","","","NAO",7
"SEMINARIO","Advanced iterative methods for symmetric matrix inverstions","1984","Bélgica","Inglês","NAO","","","NAO",8
"SEMINARIO","On an h-p adaptive finite element technique","1985","Brasil","Inglês","NAO","","","NAO",9
"SEMINARIO","Implementation of boundary conditions in finite element computations with iterative solvers","1986","Estados Unidos","Inglês","NAO","","","NAO",10
"SEMINARIO","An h-p adaptive finite element method for steady state compressible navies stokes equations","1987","Bélgica","Inglês","NAO","","","NAO",11
"SEMINARIO","An h-p adaptive finite element method for steady state compressible navier stokes equations","1988","Brasil","Inglês","NAO","","","NAO",12
"SEMINARIO","An h-p adaptive finite element method for steady compressible flow","1988","Brasil","Inglês","NAO","","","NAO",13
"SEMINARIO","A three dimensional adaptive finite element technique","1988","Brasil","Inglês","NAO","","","NAO",14
"COMUNICACAO","An h-p adaptive finite element method for steady state compressible navier stokes equations","1988","Brasil","Inglês","NAO","","","NAO",15
"SEMINARIO","Adaptive algorithms for the finite element method","1989","Brasil","Inglês","NAO","","","NAO",16
"SEMINARIO","Adaptive Refinement strategies for the finite element method","1989","Estados Unidos","Inglês","NAO","","","NAO",17
"SEMINARIO","Estimadores de erro a posteriori para cálculos de elementos finitos","1990","Brasil","Português","NAO","","","NAO",18
"SEMINARIO","Introduction au C++, Aplications au calcul scientifique","1990","França","Francês","NAO","","","NAO",19
"SEMINARIO","Sur quelques problèmes de méchanique de fluides computacionelle","1990","França","Francês","NAO","","","NAO",20
