NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","Participação no VI World Congress on Computational Mechanics","2004","China","Inglês","NAO_INFORMADO","","NAO","","","","","NAO",0
"Congresso","Apresentação de trabalho: Análise e Automação das Ações Dinâmicas de Vento em Torres Metálicas","2005","Brasil","Português","NAO_INFORMADO","","NAO","","","","","NAO",1
"Congresso","Hierarchical high order finite element approximation spaces for H(div) and H(curl)","2010","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",2
"Congresso","Participação no Fourteenth Southwestern Graduate Research Conference in Applied Mechanics","1983","Estados Unidos","Inglês","NAO_INFORMADO","","NAO","","","","","NAO",3
"Congresso","Um modelo numérico para a simulação de injeção de vapor em reservatórios","2011","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",4
"Congresso","Construction of Hdiv finite elements spaces for three-dimensional geometries","2015","Argentina","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","1st. Pan-American Congress on Computational Mechanics","NAO",5
"Congresso","Participação no VI International Conference on Finite Elements in Flow Problems","1986","França","Português","NAO_INFORMADO","","NAO","","","","","NAO",6
"Congresso","Simulação numérica do problema do traçador passivo em contexto multifísica","2014","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","XXXV CILAMCE - Congresso Ibero Latino Americano de Métodos Computacionais em Engenharia","NAO",7
"Congresso","On the Numerical Simulation of Well Stability","2014","Espanha","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","11th. WCCM - World Congress on Computational Mechanics","NAO",8
"Congresso","A sistematic way for generating p-adaptive HDiv HCurl and Tensorial approximation spaces","2009","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",9
"Congresso","Participação no XV Congresso Brasileiro de Engenharia Mecânica","1999","Brasil","Português","NAO_INFORMADO","","NAO","","","","","NAO",10
"Congresso","Desenvolvimento de ferramenta computacional para cálculo de índice de proditividade em pocos verticais e horizontais","2008","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",11
"Congresso","Orientação de Trabalho: Auto-Adaptatividade e Estimadores de Erro","2002","Brasil","Português","NAO_INFORMADO","","NAO","","","","","NAO",12
"Congresso","Participação no XV Congresso Ibero Latino-Americano sobre Métodos Computacionais para Engenharia / Simpósio Mineiro de Mecânica Computacional","1994","Brasil","Português","NAO_INFORMADO","","NAO","","","","","NAO",13
"Congresso","On the Numerical Simulation of Multiphysics Phenomena with the NeoPZ Environment","2013","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",14
"Congresso","Apresentação de trabalho: On an Object Oriented Implementation of Plasticity Models","2005","Brasil","Inglês","NAO_INFORMADO","","NAO","","","","","NAO",15
"Congresso","Estimativa a posteriori do erro em termos de quantidade de interesse","2008","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",16
