NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,OUTRA-PRODUCAO-TECNICA_Id
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","3","6051486998967925",101,,,,,,,,,,,
"FARIAS,A.M. (Agnaldo Monteiro Farias)","Agnaldo Monteiro Farias","1","",102,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","2","6051486998967925",102,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",103,,,,,,,,,,,
"Francisco Antonio Menezes","MENEZES, F. A.","2","7334895542373360",103,,,,,,,,,,,
"Thiago Dias dos SAntos","SANTOS, T. D.","3","3618128074442916",103,,,,,,,,,,,
"Nathan Shauer","SHAUER, N.","4","5762871737832497",103,,,,,,,,,,,
"FARIAS,A.M. (Agnaldo Monteiro Farias)","Agnaldo Monteiro Farias","1","",104,,,,,,,,,,,
"Jorge Diaz Calle","CALLE, J. D.","2","2049910703027682",104,,,,,,,,,,,
"Sonia Maria Gomes","GOMES, S. M.","3","6979417654874483",104,,,,,,,,,,,
"LUCCI,P.C.A. (Paulo Cesar de Alvarenga Lucci)","LUCCI,P.C.A (Paulo Cesar de Alvarenga)","4","",104,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","5","6051486998967925",104,,,,,,,,,,,
"FARIAS,A.M. (Agnaldo Monteiro Farias)","Agnaldo Monteiro Farias","1","",105,,,,,,,,,,,
