NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","Desenvolvimento de Algoritmos de Subestruturação para Elementos Finitos.","1996","Brasil","Português","","","",0
"Mestrado","ACADEMICO","Elementos Infinitos para Tratamento de Problemas das Viscoelastodinâmica Estacionária pelo Método dos Elementos Finitos","1996","Brasil","Português","","","",1
"Mestrado","ACADEMICO","Análise Dinâmica de Placas Laminadas de Materiais Compostos pelo Método dos Elementos Finitos","2000","Brasil","Português","","","",2
"Mestrado","ACADEMICO","Exame de Qualificação","2000","Brasil","Português","","","",3
"Mestrado","ACADEMICO","Implementação Paralela do Método de Resolução Frontal de Sistemas de Equações","2001","Brasil","Português","","","",4
"Mestrado","ACADEMICO","Estudo de Formulações de Placas Laminadas Apoiadas Sobre Base Elástica","2001","Brasil","Português","","","",5
"Mestrado","ACADEMICO","Método dos Volumes Finitos para Leis de Conservação","2002","Brasil","Português","","","",6
"Mestrado","ACADEMICO","Avaliação de Tensões em Peças de Alumínio Pré-Fissuradas Usando o Método dos Elementos de Contorno.","2002","Brasil","Português","","","",7
"Mestrado","ACADEMICO","Formulação Variacional e Aproximação por Elementos Finitos dos Modelos de Placa de Kirchhoff e Reissner: Mindlin","2002","Brasil","Português","","","",8
"Mestrado","ACADEMICO","Estudo Comparativo de Técnicas de Solicitações na Associação Tridimensional de Painéis de Contraventamento em Edifícios Altos sob Ações Laterais, Levando em Conta a Rigidez Efetiva dos Lintéis.","2002","Brasil","Português","","","",9
"Mestrado","ACADEMICO","Automação do Processo de Modelamento e Detalhamento de Estruturas Pré-Moldadas de Concreto Armado Via Tecnologia CAD e Programação Orientada a Objeto.","2002","Brasil","Português","","","",10
"Mestrado","ACADEMICO","Adaptatividade h-p Aplicada em Malhas Bi e Tri-Dimensionais.","2002","Brasil","Português","","","",11
"Mestrado","ACADEMICO","Avaliação de Tensões em Peças Pré-Fissuradas Usando o Método dos Elementos de Contorno","2003","Brasil","Português","","","",12
"Mestrado","ACADEMICO","Integração de Métodos Numéricos ao AutoCAD.","2003","Brasil","Português","","","",13
"Mestrado","ACADEMICO","Efeito Arco Sobre as Vigas de Transição dos Edifícios em Alvenaria Estrutural, Considerando o Comportamento Tridimensional das Estruturas.","2004","Brasil","Português","","","",14
"Mestrado","ACADEMICO","Estudo da Teoria de Placas Multicamada e Proposta de uma Teoria Geral para Material Ortotrôpico: Implementação e Resultados Numéricos num Programa (PZ) Orientado a Objetos C++.","2004","Brasil","Português","","","",15
"Mestrado","ACADEMICO","O Método de Galerkin Descontínuo Aplicado a Problemas de Convecção/Difusão.","2004","Brasil","Português","","","",16
"Mestrado","ACADEMICO","Avaliação de Simuladores de Fraturamento Hidráulico.","2004","Brasil","Português","","","",17
"Mestrado","ACADEMICO","Exame de Qualificação de Mestrado","1995","Brasil","Português","","","",18
"Mestrado","ACADEMICO","Métodos Variacionais para Sistemas Lineares Esparsos: Uma Aolica&#263;ão a Superfícies Livres de Capilaridade","1993","Brasil","Português","","","",19
"Mestrado","ACADEMICO","Analise Dinamica Linear de Porticos Planos","2005","Brasil","Português","","","",20
"Mestrado","ACADEMICO","Automação de Projetos de Estruturas Planas Treliçadas Tubulares de Aço em Estudo Comparativo Entre Treliças Compostas por Barras com Ligações Rotuladas e Rigidas","2006","Brasil","Português","","","",21
"Mestrado","ACADEMICO","Análise Dinâmica Linear de Pósticos Pelo Método dos Elementos Finitos","2006","Brasil","Português","","","",22
"Mestrado","ACADEMICO","Técnica de Elementos Finitos para Análise Limite de Pórticos Planos Associada à Automação do Processo de Modelagem 3D de Estruturas Reticuladas Via CAD","2006","Brasil","Português","","","",23
"Mestrado","ACADEMICO","Técnica de Elementos Finitos para Análise Limite de Pórticos Planos Associada à Automação do Processo de Modelagem 3D de Estruturas Reticuladas Via CAD","2006","Brasil","Português","","","",24
"Mestrado","ACADEMICO","Solução Numérica do Modelo de Maxwell para Escoamentos Tridimensionais com Superfícies Livres","2007","Brasil","Português","","","",25
"Mestrado","ACADEMICO","Simulações Numéricas de Combustão in situ em Escala Laboratorial","2009","Brasil","Português","","","",26
"Mestrado","ACADEMICO","Desenvolvimento e teste de esquemas "upwind" de alta resolução e suas aplicações em escoamentos incompreensíveis com superfícies livres","2009","Brasil","Português","","","",27
"Mestrado","ACADEMICO","Utilização de modelo de fluxo substituto na análise de risco de reservatórios de petróleo","2012","Brasil","Português","","","",28
"Mestrado","ACADEMICO","Um método para solução de sistemas lineares através do gradiente conjugado cooperativo","2012","Brasil","Português","","","",29
"Mestrado","ACADEMICO","Ambiente Matlab: Elementos Finitos para Eletromagnetismo","2001","Brasil","Português","","","",30
