SEQUENCIA-FINANCIADOR,CODIGO-INSTITUICAO,NOME-INSTITUICAO,NATUREZA,FINANCIADORES-DO-PROJETO_Id
"1","028700000003","Petróleo Brasileiro - Rio de Janeiro - Matriz","AUXILIO_FINANCEIRO",0
"1","028700000003","Petróleo Brasileiro - Rio de Janeiro - Matriz","AUXILIO_FINANCEIRO",1
"1","028700000003","Petróleo Brasileiro - Rio de Janeiro - Matriz","AUXILIO_FINANCEIRO",2
"2","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","AUXILIO_FINANCEIRO",3
"1","017500000004","Empresa Brasileira de Aeronáutica","AUXILIO_FINANCEIRO",3
"1","002700000999","CNPq","BOLSA",4
"1","001100000990","Agencia Nacional do Petroleo","COOPERACAO",5
"1","869700000001","Financiadora de Estudos e Projetos","AUXILIO_FINANCEIRO",6
"1","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","BOLSA",7
"1","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","BOLSA",8
"1","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","BOLSA",9
