PROJETO-DE-PESQUISA_Id,SEQUENCIA-PROJETO,ANO-INICIO,ANO-FIM,NOME-DO-PROJETO,SITUACAO,NATUREZA,NUMERO-GRADUACAO,NUMERO-ESPECIALIZACAO,NUMERO-MESTRADO-ACADEMICO,NUMERO-MESTRADO-PROF,NUMERO-DOUTORADO,DESCRICAO-DO-PROJETO,IDENTIFICADOR-PROJETO,DESCRICAO-DO-PROJETO-INGLES,NOME-DO-PROJETO-INGLES,FLAG-POTENCIAL-INOVACAO,NOME-COORDENADOR-CERTIFICACAO,DATA-CERTIFICACAO,NUMERO_TECNICO_NIVEL_MEDIO,PARTICIPACAO-EM-PROJETO_Id
0,"1","2011","2015","Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos","CONCLUIDO","PESQUISA","7","","2","","4","Consideram-se novas técnicas numéricas para o estudo do estado de tensão em torno de um poço, utilizando modelos elastoplásticos, visando a caracterização do comportamento não linear de rochas carbonáticas, bem como para a simulação de propagação de fraturas planas em meios heterogêneos.","","Consideram-se novas técnicas numéricas para o estudo do estado de tensão em torno de um poço, utilizando modelos elastoplásticos, visando a caracterização do comportamento não linear de rochas carbonáticas, bem como para a simulação de propagação de fraturas planas em meios heterogêneos.","Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos","NAO","","","",0
1,"2","2005","2007","Desenvolvimento de Simulador para Fraturamento Hidráulico em Poços Horizontais","CONCLUIDO","PESQUISA","","","","","1","É composto de quatro módulos: 1) modelagem da formação de uma fratura através da evolução de seu contorno no tempo; 2) simulação numérica do escoamento dentro da fratura; 3) acoplamento entre a pressão do fluido e a abertura da fratura; 4) simulação da propagação da fratura. O desenvolvimento desses módulos requer a utilização de técnicas específicas nos seguintes tópicos: geração de malhas, elementos de contorno, elementos finitos, computação paralela, pós-processamento","","","Desenvolvimento de Simulador para Fraturamento Hidráulico em Poços Horizontais","NAO","","","",1
2,"4","2002","2004","Desenvolvimento de algoritmos nume&#769;ricos de perda de carga de poc&#807;os e propagac&#807;a&#771;o de fratura hidra&#769;ulicas (SP3D e PROPAG))","CONCLUIDO","PESQUISA","","","1","","","O objetivo principal é desenvolver um simulador de propagação e fechamento de fraturas tridimensionais de forma a permitir um melhor dimensionamento de operações em formações de alta permeabilidade. Baseando-se em um modelo de elementos finitos Pseudo3d desenvolvido em projeto anterior, desenvolvem-se dois produtos com o objetivo de aprimorar os aplicativos SP3d (utilizado na análise de resultados de aplicações mini-frac) e PROPAG (utilizado na previsão de propagação de fratura em poços operantes). Os produtos são projetados para utilização em tempo real, acoplados a uma interface gráfica","","","Desenvolvimento de algoritmos nume&#769;ricos de perda de carga de poc&#807;os e propagac&#807;a&#771;o de fratura hidra&#769;ulicas (SP3D e PROPAG))","NAO","","","",2
3,"3","2002","2004","Advanced Application of Computational Fluid Dynamics for High Performance Aircraft","CONCLUIDO","PESQUISA","","","","","","O Prof. Devloo (coordenador do pacote A6) foi um dos pesquisadores principais do projeto entre a Embraer e a FAPESP. Neste projeto desenvolveu-se um software de Meca&#770;nica dos Fluidos Computacional para uso da Embraer. O projeto contou com a colaborac&#807;a&#771;o de pesquisadores de um grande nu&#769;mero de instituic&#807;o&#771;es, nas quais incluem-se ITA, USP, USP/Sa&#771;o Carlos, Unicamp, PUC-Rio, UFSC, UFU e outras. O grupo do Prof. Devloo, incluindo a equipe do LabMeC, foi encarregada de integrac&#807;a&#771;o de software e paralelizac&#807;a&#771;o dos algoritmos contribui&#769;dos pelos va&#769;rios grupos de pesquisa. Na vige&#770;ncia deste projeto, aprendeu-se muito sobre administrac&#807;a&#771;o de software (svn, cvs), te&#769;cnicas de validac&#807;a&#771;o (unit testing) e documentac&#807;a&#771;o de co&#769;digo (UML, doxygen). As te&#769;cnicas de refinamento directional de malhas integradas no NeoPZ foram desenvolvidas durante o projeto.","","","Módulo Aerodinâmico - Pacoter A6 - Esquema implícito de integração temporal + dual time step","NAO","","","",2
4,"5","1994","2002","Hp-adaptatividade para leis de conservação baseada nos coeficientes wavelets","CONCLUIDO","PESQUISA","","","","","1","Pretende-se identificar os coeficientes wavelets significativos na solução numérica de uma lei de conservação decomposta em dois níveis, para automatizar os elementos finitos a refinar em h e os elementos finitos na região suave incrementar o p, se necessário","","","","NAO","","","",3
5,"6","2013","","Elementos Finitos Aplicados a Problemas Multifísicos","EM_ANDAMENTO","PESQUISA","","","","","","O projeto tem como objetivo implementar simulações multi-físicas no ambiente NeoPZ. A técnica utilizada para tal é o acoplamento de espaços de aproximação apropriados para cada varíavel de estado, aproveitando a capacidade de NeoPZ de gerar espaços H1, descontínuos, HDiv","","","","NAO","","","",4
6,"7","2007","2011","Simulação de Fraturamento Hidráulico por Injeção de Vapor","CONCLUIDO","PESQUISA","","","2","","5","Neste projeto simula-se a interação entre a injeção de vapor e a resposta mecânica do meio poroso.","","","Simulação de Fraturamento Hidráulico por Injeção de Vapor","NAO","","","",5
7,"9","2007","2011","Estudo de Técnicas Avançadas de Estimulação de Carbonatos Sujeitos a Elevadas Tensões de Confinamento com Ênfase nas Formações Pré-Sal","CONCLUIDO","PESQUISA","","","","","4","Desenvolveu-se uma célula para medir experimentalmente a perda de injetividade de um carbonato estimulado por acidificação devido as tensões de confinamento. A célula foi projetada, executada e testada no laboratório LabFrac da Faculdade de Engenharia Civil, Arquitetura e Urbanismo. A mesma foi transferida para o CENPES e é utilizada para avaliar viabilidade de operação de fraturamento ácido.","","","","NAO","","","",6
8,"8","2007","2011","Desenvolvimento de uma ferramenta de auxi&#769;lio no dimensionamento de sistemas de contenc&#807;a&#771;o de areia","CONCLUIDO","PESQUISA","","","","","3","Tomando por base a formulac&#807;a&#771;o e crite&#769;rios atualmente utilizados pela indu&#769;stria, esta
ferramenta, chamada de SandMan (sand management), faz parte das
aplicac&#807;o&#771;es de uso conti&#769;nuo na Petrobras","","Tomando por base a formulac&#807;a&#771;o e crite&#769;rios atualmente utilizados pela indu&#769;stria, esta
ferramenta, chamada de SandMan (sand management), faz parte das
aplicac&#807;o&#771;es de uso conti&#769;nuo na Petrobras","Desenvolvimento de uma ferramenta de auxi&#769;lio no dimensionamento de sistemas de contenc&#807;a&#771;o de areia","NAO","","","",6
9,"14","2014","2015","Construçã o de espaços de elementos finitos em Hdiv para geometrias tridimensionais","CONCLUIDO","PESQUISA","","","","","","O projeto considera uma nova construção de espaços de elementos finitos do tipo H(div) em malhas tridimensionais formadas por tetraedros ou hexaedros, tendo como finalidade aplicaçõ es na simulação de escoamento de fluidos em meios porosos. A implementação e validaçã o dos espaços Hdiv foram feitas no ambiente de computação científica NeoPZ","","","","NAO","","","",7
