NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id,BANCA-JULGADORA-PARA-AVALIACAO-CURSOS_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Denis José Schiozer","SCHIOZER, Denis José","1","",28,,,,,,,
"Marco Antonio Cardoso","CARDOSO, M. A.","3","",28,,,,,,,
"Philippe Remy Bernard Devloo","Devloo, P. R. B.","2","",29,,,,,,,
"Amit Bhaya","BHAYA, A.","1","",29,,,,,,,
"João Carlos dos Santos Basílio","BASILIO, J. C. S.","3","",29,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",30,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,0,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,1,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,2,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,3,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,4,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,5,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,6,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,7,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,8,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,9,,,,,,
"Carlos Magluta","MAGLUTA, Carlos","2","",,10,,,,,,
"Fernando Luiz Bastos Ribeiro","RIBEIRO, F. L.B.","3","",,10,,,,,,
"Webe João Mansur","MANSUR, W. J.","4","",,10,,,,,,
"José Claudio de Faria Telles","TELLES, J. C. F.","5","",,10,,,,,,
"Paulo Batista Gonçalves","GONÇALVES, P. B.","6","",,10,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,10,,,,,,
"Philippe Remy Bernard Devloo","Devloo, P. R. B.","3","",,11,,,,,,
"Maria Cristina Cunha","CUNHA, M. C.","2","",,11,,,,,,
"Jorge Stolfi","STOLFI, J.","1","",,11,,,,,,
"Eduardo Filpo Ferreira da Silva","SILVA, E. F. F.","4","",,11,,,,,,
"Jessé Carvalho Costa","COSTA, J. C.","5","",,11,,,,,,
"Anamaria Gomide","GOMIDE, A.","6","",,11,,,,,,
"Philippe Remy Bernard Devloo","Devloo, P. R. B.","4","",,12,,,,,,
"Alvaro Luiz Gayoso de Azeredo Coutinho","COUTINHO, A. L. G. A., Alvaro L.G.A. Coutinho","1","6402361744624287",,12,,,,,,
"Armando Miguell Awruch","AWRUCH, A. M.","2","",,12,,,,,,
"José Luis Drummond Alves","ALVES, J. L. D.","3","",,12,,,,,,
"Philippe Remy Bernard Devloo","Devloo, P. R. B.","5","",,13,,,,,,
"Ruy Marcelo de Oliveira Pauletti","PAULETTI, R. M. O.","1","",,13,,,,,,
"Osni Aparecido Marques","MARQUES, O. A.","2","",,13,,,,,,
"João Batista Aparecido","APARECIDO, J. B.","3","",,13,,,,,,
"Dimas Betioli Ribeiro","RIBEIRO, D. B.","4","",,13,,,,,,
"Philippe Remy Bernard Devloo","Devloo, P. R. B.","5","",,14,,,,,,
"Frederic Gerard Christian Valentin","VALENTIN, F. G. C.","1","",,14,,,,,,
"Abimael Fernando Dourado Loula","LOULA, A. F. D.","2","",,14,,,,,,
"Alexandre Loureiro Madureira","MADUREIRA, A. L.","3","",,14,,,,,,
"Fernando Alves Rochinha","ROCHINHA, F. A.","4","",,14,,,,,,
"Rodolfo Antonio Araya Durán","DURAN, R. A. A.","6","",,14,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,0,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,1,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,2,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,3,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,4,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,5,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,6,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,7,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,8,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,9,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,0,,,,
"Philippe Remy Bernard Devloo","Devloo, P. R. B.","1","",,,,1,,,,
"Philippe Remy Bernard Devloo","Devloo, P. R. B.","1","",,,,2,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,0,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,1,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,,0,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.","1","",,,,,,1,,
"Paulo de Mattos Pimenta","PIMENTA, P. M.","2","",,,,,,1,,
"Emílio Carlos Nélli Silva","SILVA, E.C.N","3","",,,,,,1,,
"Nelson Francisco Favilla Ebecken","EBECKEN, N. F. F.","4","",,,,,,1,,
"Gray Farias Moita","MOITA, G. F.","5","",,,,,,1,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,,2,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,,,0,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,,,,0
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,,,,1
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,,,,2
"Erick Slis Raggio Santos","SANTOS, E. S. R.","3","6586851137916033",,,,,,,,3
"José Luiz de Antunes de Oliveira e Sousa","SOUSA, J. L. A. O. E.","2","",,,,,,,,3
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,,,,3
"Mário Conrado Cavichia","CAVICHIA, M. C.","2","",,,,,,,,4
"Romis Ribeiro de F. Attux","ATTUX, R. R. F.","3","",,,,,,,,4
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,,,,4
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,,,,5
