FINALIDADE,DURACAO-EM-MESES,NUMERO-DE-PAGINAS,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,CIDADE-DO-TRABALHO,FINALIDADE-INGLES,TRABALHO-TECNICO_Id
"TICOM Report 85-13","12","18","IRRESTRITA","","Austin, Texas","",0
"TICOM Report 86-3","12","0","IRRESTRITA","University of Texas/Austin","Austin","",1
"TICOM Report 89-10","3","16","IRRESTRITA","The University of Texas/Austin","Austin","",2
"INPE RPE 4953-RPE/601","12","52","IRRESTRITA","INPE","São José dos Campos","",3
"INPE-5024 RPE/617","12","68","IRRESTRITA","INPE","São José dos Campos","",4
"relatorio de pós doutoramento","3","65","NAO_INFORMADO","FAPESP - INRIA","Antebes","",5
"Relatorio INRIA No 1698","3","47","IRRESTRITA","FAPESP - INRIA","Antebes","",6
"","","","NAO_INFORMADO","","","",7
"","3","14","IRRESTRITA","","Campinas, SP","",8
"","3","12","IRRESTRITA","","Campinas, SP","",9
"","3","22","IRRESTRITA","","Campinas, SP","",10
"","3","19","IRRESTRITA","","Campinas, SP","",11
"","3","22","IRRESTRITA","","Campinas, SP","",12
"","3","","NAO_INFORMADO","","Campinas, SP","",13
"","","9","IRRESTRITA","","Campinas, SP","",14
"","3","22","IRRESTRITA","","Campinas, SP","",15
"","3","3","IRRESTRITA","","Campinas, SP","",16
