PARTICIPACAO-DOS-AUTORES,INSTITUICAO-PROMOTORA-DO-CURSO,LOCAL-DO-CURSO,CIDADE,DURACAO,UNIDADE,UNIDADE-INGLES,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"DOCENTE","LNCC","LNCC","Rio de Janeiro","1","","",0
"DOCENTE","Universidade Federal de Mato Grosso","Departamento de Informática","Cuiabá","1","","",1
"DOCENTE","Faculdade de Engenharia Civil - UNICAMP","UNICAMP","Campinas","2","","",2
"DOCENTE","Faculdade de Engenharia Civil","UNICAMP","Campinas","2","","",3
"NAO_INFORMADO","","Universidade Federal do Mato Grosso","","","","",4
"DOCENTE","UFSC","Escola de Verão - UFSC","Florianópolis","","","",5
"DOCENTE","FEM - Unicamp","Universidade Estadual de Campinas","Campinas","","","",6
"DOCENTE","Laboratório Nacional de Computação Científica","LNCC","Petrópolis","5","dias","",7
"DOCENTE","Universidade Federal de Pernambuco - Departamento de Engenharia Mecânica","","Recife","1","","",8
"DOCENTE","FEC","UNICAMP","Campinas","","","",9
