NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",0,,,
"Leandro Helgueira de Andrade","ANDRADE, L. H.","1","",0,,,
"Cintia Duarte de Freitas Milagre","MILAGRE, C. D. F.","2","",0,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",1,,,
"Paulo José Samenho Moran","Moran, P. J. S.","2","",1,,,
"Cintia Duarte de Freitas Milagre","MILAGRE, C. D. F.","1","",1,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",2,,,
"Claudio Francisco Tormena","TORMENA, C. F.","1","",2,,,
"Antonio Gilberto Ferreira","FERREIRA, A. G.","2","",2,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",3,,,
"Fabio Cesar Gozzo","Gozzo, F. C.","2","",3,,,
"Monica Tallarico Pupo","PUPO, M. T.","3","",3,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",4,,,
"Anete Pereira de Souza","Souza, A. P.","2","",4,,,
"Ljubica Tassic","TASSIC, L.","3","",4,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",5,,,
"Fabio Cesar Gozzo","Gozzo, F. C.","3","",5,,,
"Maria Fátima das Graças Fernandes da Silva","SILVA, M. F. G. F.","2","",5,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",6,,,
"Ljubica Tassic","TASSIC, L.","1","",6,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",7,,,
"José Augusto Rosário Rodrigues","Rodrigues JAR","1","",7,,,
"Hiroshi Aoyama","AOYAMA, H.","2","",7,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",,0,,
"José Augusto Rosário Rodrigues","Rodrigues JAR","3","",,0,,
"Paulo José Samenho Moran","Moran, P. J. S.","1","",,0,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",,1,,
"Massuo Jorge Kato","Kato, M. J.","2","",,1,,
"Sayuri Miyamoto","MIYAMOTO, S.","3","",,1,,
"Walmir Silva Garcez","GARCEZ, W. S.","4","",,1,,
"Ian Castro-Gamboa","CASTRO-GAMBOA, I.","5","",,1,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","4","",,2,,
"Edson Rodrigues Filho","RODRIGUES FILHO, E.","1","",,2,,
"Dulce Helena Ferreira de Souza","SOUZA, D. H. F.","2","",,2,,
"Maysa Furlan","FURLAN, M.","3","",,2,,
"Maria das Graças das G. F. da Silva","SILVA, M. G. G. F.","5","",,2,,
"Luciana Gonzaga de Oliveira","OLIVEIRA, LUCIANA GONZAGA DE","4","",,3,,
"Roberto Gomes de Souza berlinck","BERLINCK, R. G. S.","1","",,3,,
"Antônio Aprigio da Silva Curvelo","CURVELO, A. A. S.","2","",,3,,
"Octavio Henrique Thiemann","THIEMANN, O. H.","5","",,3,,
"Daniel Rodrigues Cardoso","CARDOSO, D. R.","3","",,3,,
"Luciana Gonzaga de Oliveira","OLIVEIRA, LUCIANA GONZAGA DE","5","",,4,,
"Maysa Furlan","FURLAN, M.","1","",,4,,
"Isabele Rodrigues Nascimento","NASCIMENTO, I. R.","2","",,4,,
"Carlos Alberto Labate","LABATE, C. A.","3","",,4,,
"Maria Fátima das Graças Fernandes da Silva","SILVA, M. F. G. F.","4","",,4,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",,5,,
"Anete Pereira de Souza","Souza, A. P.","1","",,5,,
"Reginaldo Massanobu Kuroshu","KUROSHU, R. M.","2","",,5,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",,6,,
"Fernando Antônio Santos Coelho","COELHO, F. A. S.","1","",,6,,
"Leticia Veras Costa Lotufo","LOTUFO, L. V. C.","2","",,6,,
"Sisi Marcondes Paschoal","PASCHOAL, S. M.","4","",,6,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","5","",,7,,
"Fernando Antônio Santos Coelho","COELHO, F. A. S.","1","",,7,,
"Paulo José Samenho Moran","Moran, P. J. S.","4","",,7,,
"Fernanda Gadini Finelli","FINELLI, F. G.","2","",,7,,
"Simon John Garden","GARDEN, S. J.","3","",,7,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","5","",,8,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","1","6882578512943651",,8,,
"Cíntia Duarte de Freitas Milagres","MILAGRES, C. D. F.","2","",,8,,
"Georgiana Feitosa da Cruz","CRUZ, G. F.","3","",,8,,
"Fabio Augusto","AUGUSTO, F.","4","",,8,,
"Luciana Gonzaga de Oliveira","DE OLIVEIRA, LUCIANA G.","5","",,9,,
"Ronaldo Aloise Pilli","PILLI, R. A.","1","",,9,,
"Silvio do Desterro Cunha","CUNHA, S. D.","2","",,9,,
"Diogo Seibert Lüdtke","LUDTKE, D. S.","3","",,9,,
"Igor Dias Jurberg","JURBERG, I. D.","4","",,9,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",,10,,
"Monica Tallarico Pupo","PUPO, M. T.","3","",,10,,
"Marisi Gomes Soares","SOARES, M. G.","1","",,10,,
"Ana Carolina Barbosa Padovan","PADOVAN, A. C. B.","4","",,10,,
"Angel Maurício Castro Gamero","GAMERO, A. M. C.","5","",,10,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","5","",,11,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","1","6882578512943651",,11,,
"Cátia Cristina Capêlo Ornelas Megiatto","MEGIATTO, C. C. C. O.","4","",,11,,
"Leandro Helgueira de Andrade","ANDRADE, L. H.","3","",,11,,
"Sonia Rodríguez Giordano","GIORDANO, S. R.","2","",,11,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","5","",,12,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","1","6882578512943651",,12,,
"Iguatemi Melo Costa","COSTA, I. M.","2","",,12,,
"Luiz Alberto Beraldo de Moraes","MORAES, L. A. B.","3","",,12,,
"José Augusto Rosário Rodrigues","RODRIGUES, J. A. R.","4","",,12,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","4","",,13,,
"Cintia Duarte de Freitas Milagre","MILAGRE, C. D. F.","2","",,13,,
"André Luiz Meleiro Porto","PORTO, A. L. M.","1","",,13,,
"Carla Cristina Schmitt","SCHMITT, C. C.","3","",,13,,
"Alvaro Takeo Omori","OMORI, A. T.","5","",,13,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",,14,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","4","6882578512943651",,14,,
"Roberto Gomes de Souza berlinck","BERLINCK, R. G. S.","1","",,14,,
"Monica Tallarico Pupo","PUPO, M. T.","2","",,14,,
"Dulce Helena Siqueira Silva","SILVA, D. H. S.","5","",,14,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","4","",,15,,
"Fernando Antônio Santos Coelho","COELHO, F. A. S.","1","",,15,,
"Ivone Carvalho","CARVALHO, I.","2","",,15,,
"Kleber Thiago de Oliveira","OLIVEIRA, K. T.","3","",,15,,
"Airton Gonçalves Sales Júnior","SALES JUNIOR, A. G.","5","",,15,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",,,0,
"José Augusto Rosário Rodrigues","Rodrigues JAR","1","",,,0,
"Raquel Marques Braga","BRAGA, R. M.","3","",,,0,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",,,1,
"Fernando Antônio Santos Coelho","COELHO, F. A. S.","1","",,,1,
"Paulo Cesar Muniz de Lacerda Miranda","MIRANDA, P. C. M. L.","3","",,,1,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",,,2,
"José Augusto Rosário Rodrigues","Rodrigues JAR","2","",,,2,
"Paulo Mitsuo Imamura","IMAMURA, P. M.","3","",,,2,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",,,3,
"Paulo José Samenho Moran","Moran, P. J. S.","1","",,,3,
"Wanda Pereira Almeida","Almeida, W. P.","3","",,,3,
"Luciana Gonzaga de Oliveira","Oliveira, Luciana G. de","4","",,,4,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","1","6882578512943651",,,4,
"Valéria M. de Oliveira","OLIVEIRA, V. M.","3","",,,4,
"José Augusto Rosário Rodrigues","Rodrigues JAR","2","",,,4,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",,,5,
