PROJETO-DE-PESQUISA_Id,SEQUENCIA-PROJETO,ANO-INICIO,ANO-FIM,NOME-DO-PROJETO,SITUACAO,NATUREZA,NUMERO-GRADUACAO,NUMERO-ESPECIALIZACAO,NUMERO-MESTRADO-ACADEMICO,NUMERO-MESTRADO-PROF,NUMERO-DOUTORADO,DESCRICAO-DO-PROJETO,IDENTIFICADOR-PROJETO,DESCRICAO-DO-PROJETO-INGLES,NOME-DO-PROJETO-INGLES,FLAG-POTENCIAL-INOVACAO,NOME-COORDENADOR-CERTIFICACAO,DATA-CERTIFICACAO,NUMERO_TECNICO_NIVEL_MEDIO,PARTICIPACAO-EM-PROJETO_Id
0,"1","2005","2006","Síntese de Substâncias Farmacológicas Bioativas","DESATIVADO","PESQUISA","","","","","","","","","","NAO","","","",0
1,"7","2011","","Enzimas em síntese assimétrica","EM_ANDAMENTO","PESQUISA","3","","1","","","","","","","SIM","","","",1
2,"1","2005","2008","Síntese de Sondas Fluorogênicas para determinação de Atividade Enzimática em Microrganismos","CONCLUIDO","PESQUISA","2","","1","","2","O corrente projeto tem como objetivos a síntese de substrato fluorogênicos para serem utilizados em ensaios de triagem rápida de atividade enzimática em coleções de microrganismos isolados da biodiversidade brasileira. Este tipo de pré-seleção enzimática permite que as coleções sejam organizadas em subgrupos menores dotados de uma atividade enzimática predominate. O processo de seleção em coleções de microrganismos isolados em ambientes extremos é particularmente interessante devido ao elevado potencial oara aplicaçãoes destas enzimas em processos industriais.","","","","NAO","","","",2
3,"5","2008","2011","Obtenção de uma lipase termoestável por Evolução Dirigida","DESATIVADO","PESQUISA","1","","","","1","","","","Obtenção de uma lipase termoestável por Evolução Dirigida","NAO","","","",3
4,"3","2008","2011","Evolução Dirigida de Enzimas","DESATIVADO","PESQUISA","1","","","","1","Obtenção de uma lipase termoestável por Evolução Dirigida","","","Evolução Dirigida de Enzimas","NAO","","","",3
5,"6","2009","","Searching for Potential Antibiotic Factories in Actinomycetes (Streptomycetes) Isolated from Brazilian Territory","EM_ANDAMENTO","PESQUISA","4","","2","","","","","","","NAO","","","",4
6,"2","2007","","Evolução Dirigida de Enzimas","EM_ANDAMENTO","PESQUISA","","","","","2","Obtenção de epóxido hidrolases enantiosseletivas e enantioconvergentes e outras enzimas de interesse biotecnológico a partir do mining do genoma deStreptomyces","","","Evolução Dirigida de Enzimas","NAO","","","",5
7,"1","2008","","Explorando a Biodiversidade Brasileira para a obtenção de Policetídeos Macrolídicos Complexos","EM_ANDAMENTO","PESQUISA","3","","2","","","Auxílio à Pesquisa - Programa Jovem Pesuisador - Fapesp
Neste projeto estamos explorando a biodiversidade natural brasileira, em especial bactérias do grupo dos actinomicetos para identificação e caracterização de metabólitos naturais e principalmente a obtenção de produtos naturais "não naturais" originados por biossíntese combinatorial.","","","","NAO","","","",6
8,"3","2008","2011","Obtenção de Lipases Termoestáveis por Evolução Dirigida","DESATIVADO","PESQUISA","","","","","1","Utilizar a estratégia de recombinação para obtenção de uma lipase termoestável a partir de microrganismos isolados de ambientes extremos.","","","Obtenção de Lipases Termoestáveis por Evolução Dirigida","NAO","","","",7
9,"2","2008","2011","Obtenção das epóxido hidrolases de P. stipitis e R. glutinis","CONCLUIDO","PESQUISA","1","","","","","Obtenção das epóxidos de P. stipitis e R. glutinis por clonagem e expressão dos genes; evolução dirigida das enzimas produzidas para obtenção de epóxido hidrolases enantiosseletivas.","","","Obtenção das epóxido hidrolases de P. stipitis e R. glutinis","NAO","","","",7
10,"2","2008","2009","Convênio de Cooperação Técnico-Científica Braskem/UNICAMP","DESATIVADO","PESQUISA","1","","1","","","O convênio visa o intercâmbio em um conjunto de competências complementares para as partes, abrangendo as atividades de disseminação do conhecimento, prestação de serviços, pesquisa e desenvolvimento, formação e treinamento de recursos humanos, absorção e transferência de tecnologias passíveis de aplicação comercial e industrial.","","","","NAO","","","",8
