SEQUENCIA-ORIENTACAO,TITULO-ORIENTACAO,TIPO-ORIENTACAO,TITULO-ORIENTACAO-INGLES,ORIENTACOES_Id
"69","Avaliação da Produção de Antibióticos Policetídicos Macrolídicos por Linhagens de Streptomyces sp","Iniciação científica","",0
"79","Avaliação da Produção de Policetídeos Macrolidicos e Peptideo não-Ribossomais por Actinomicetos (Streptomycetales e Nocardiopsis)","Iniciação científica","",0
"81","Isolamento e triagem da atividade antibiótica de Streptomyces isoladas no Estado de SP","Iniciação científica","",0
"82","Avaliação da Produção de Policetídicos Macrolídicos e Peptídeos não Ribossomais por Linhagens de Streptomyces e Nocardiopsis","Iniciação científica","",0
"85","Mapeamento do Potencial Biossintético de Streptomyces: Comparação com o Modelo Streptomyces coelicolor","Dissertação de mestrado","",0
"155","Expressão e Caracterização de epóxido hidrolases putativas de Streptomyces wadayamensis","Dissertação de mestrado","",1
"69","Avaliação da Produção de Antibióticos Policetídicos Macrolídicos por Linhagens de Streptomyces sp","Iniciação científica","",2
"79","Avaliação da Produção de Policetídeos Macrolidicos e Peptideo não-Ribossomais por Actinomicetos (Streptomycetales e Nocardiopsis)","Iniciação científica","",2
"81","Isolamento e triagem da atividade antibiótica de Streptomyces isoladas no Estado de SP","Iniciação científica","",2
"82","Avaliação da Produção de Policetídicos Macrolídicos e Peptídeos não Ribossomais por Linhagens de Streptomyces e Nocardiopsis","Iniciação científica","",2
