NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",0,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",1,,,,
"Luiz Carlos Dias","DIAS, L. C.","2","2941335797138677",1,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",2,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",3,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",4,,,,
"Luiz Carlos Dias","DIAS, L. C.","2","2941335797138677",4,,,,
"Janaína Dantas Vilcachagua","VILCACHAGUA, J. D.","3","7565589335213046",4,,,,
"Florian Nigsch","NIGSCH, F.","4","",4,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",5,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",6,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",7,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",8,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",9,,,,
"Luiz Carlos Dias","DIAS, L. C.","2","2941335797138677",9,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",10,,,,
"Luiz Carlos Dias","DIAS, L. C.","2","2941335797138677",10,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",11,,,,
"Luiz Carlos Dias","DIAS, L. C.","2","2941335797138677",11,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",12,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",13,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",14,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",15,,,,
"Luiz Carlos Dias","DIAS, L. C.","2","2941335797138677",15,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",16,,,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","6","6882578512943651",16,,,,
"Lu Shi Chen","CHEN, L. S.","3","8660931786040886",16,,,,
