SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,Forward and Backward Error Recovey,1994
COMPLETO,A Reflective Object-Oriented Architecture for Developing Fault-Tolerant Software,1997
COMPLETO,A Unified Meta-level Software Architecture for Sequential and Concurrent Exception Handling,2001
COMPLETO,A systematic approach for structuring exception handling in robust component-based software,2005
COMPLETO,Improving reliability of cooperative concurrent systems with exception flow analysis,2009
COMPLETO,On the modularization and reuse of exception handling with aspects,2009
COMPLETO,Architecting Fault Tolerance with Exception Handling: Verification and Validation,2009
COMPLETO,A fault-tolerant architectural approach for dependable systems,2006
COMPLETO,Specification of exception flow in software architectures,2006
COMPLETO,An exception handling system for service component architectures,2012
COMPLETO,Exception handling in the development of dependable component-based systems,2005
COMPLETO,Implementing Coordinated Error Recovery for Distributed Object-Oriented Systems with AspectJ,2004
COMPLETO,A comparative study of exception handling mechanisms for building dependable object-oriented software,2001
COMPLETO,Designing fault-tolerant SOA based on design diversity,2014
COMPLETO,The crosscutting impact of the AOSD Brazilian research community,2013
COMPLETO,Quality of Service Conflict During Web Service Monitoring: A Case Study,2016
COMPLETO,Components meet aspects: Assessing design stability of a software product line,2011
