ANO_INICIO,ANO_FIM,NOME,SITUACAO,NATUREZA,DESCRICAO
2007,2010,e-Cidadania: Sistemas e Métodos na Constituição de uma Cultura mediada por Tecnologias de Informação e Comunicação,EM_ANDAMENTO,PESQUISA,"Em linhas gerais o Projeto aqui proposto objetiva estudar e propor soluções aos desafios do design da interação e interface de usuário em sistemas relacionados ao contexto do exercício de cidadania, a partir do desenvolvimento de ações conjuntas do grupo de pesquisa com a Instituição Parceira (rede Jovem.com e comunidades de seu entorno) para o design da interação e das interfaces a serem implementadas em um sistema piloto na comunidade alvo. Disponibilizar sistemas que façam sentido e sejam acessíveis ao cidadão, trazendo assim benefícios à sociedade como um todo requer uma visão sócio-técnica para o problema. Para tanto propomos nesta pesquisa o uso do referencial da Semiótica Organizacional de forma articulada aos princípios do Design Universal ou Design para Todos. Os resultados esperados do Projeto poderão contribuir tanto em nível do avanço na pesquisa em interfaces ajustáveis à diversidade de competências de seus usuários (inclusivas e universais) quanto do ponto de vista da criação de aplicações que façam sentido à comunidade alvo (constituição de redes sociais de e-cidadania).
Mais Informação e detalhes em http://styx.nied.unicamp.br:8080/ecidadania"
2000,2002,Design de Interfaces: Investigando Teorias e Práticas em Interação Humano-Computador (Produtividade CNPq 2000-2002),CONCLUIDO,PESQUISA,NULL
2002,2004,Design de Interfaces: Investigando Contribuições de Abordagens Participativas e Processos de Significação em Design Cooperativo (Produtividade CNPq 2002-2004),CONCLUIDO,PESQUISA,NULL
2003,2008,"Acesso, permanência e prosseguimento dos estudos de alunos com deficiência no ensino superior: ambientes inclusivos (PROESP/CAPES 2003-2008)",CONCLUIDO,PESQUISA,"A oportunidade oferecida pelo Programa de Apoio à Educação Especial (PROESP/2003/CAPES) aglutinou diversas propostas atuais de parceria com o LAB que estavam dissociadas e outras que surgirão, envolvendo grupos de pesquisadores da Unicamp, projetos de pós-graduação, estágios, articulados nesta iniciativa multifacetada e colaborativa. Trata-se de um projeto de natureza interdisciplinar, cuja amplitude e complexidade exigem a integração de áreas de conhecimento da educação, da computação e atendimento educacional especializado, para a planificação e execução de ações, cujo objetivo mais amplo é garantir aos alunos com deficiência o direito de realizar seus estudos de nível superior em ambientes inclusivos de ensino e aprendizagem.
Mais informação e detalhes em http://styx.nied.unicamp.br:8080/todosnos/"
2004,2006,Sistemas Interativos Ajustáveis via Interface de Usuário - SIAjIU,CONCLUIDO,PESQUISA,"O projeto tem por finalidade:
a) Investigar soluções de tailoring para sistemas situados em contextos organizacionais;
b) Propor um framework e uma abordagem metodológica à criação de sistemas ajustáveis, com base nos referenciais da Semiótica Organizacional e de IHC;
c) Validar o framework e a abordagem propostos, em um estudo de caso real.

Mais Informação e detalhes em http://styx.nied.unicamp.br:8080/siajiu"
2000,2002,O Uso da Internet na Formação Colaborativa e Descentralizada de Funcionários de Fábricas Enxutas,CONCLUIDO,PESQUISA,NULL
2010,2013,Eco-Web: Design da Interação na Web Social Inclusiva,CONCLUIDO,PESQUISA,"A Web tem sido caracterizada por uma nova geração de tecnologias para a construção de interfaces de aplicações que possibilitem colaboração em comunidades e melhor qualidade da interação entre pessoas, mediada por Tecnologia de Informação e Comunicação. Mais do que conectar páginas e conteúdos, a Web hoje interliga pessoas, organizações e conceitos, podendo ser compreendida como uma ?máquina social? que inclui uma tecnologia subjacente, mas que também possui regras, estratégias e estruturas organizacionais que se constroem sobre a tecnologia. As maneiras como as pessoas irão interagir e transformar o uso de uma aplicação Web, em particular, não é fácil de explicar e de predizer. Consequentemente, a essência de como desenvolver aplicações Web requer o tratamento de aspectos tecnológicos nos quais a consideração da dinâmica social é potencializada por conceitos como Acesso Universal e Participativo, Computação Afetiva, Valores e Web Pragmática. Deste modo, conceitos e práticas tradicionais da área de Interação Humano-Computador necessitam serem postos em perspectiva neste novo cenário de desenvolvimento e de entendimento da Web como fenômeno social. Este projeto propõe uma visão sistêmica para o design da interação no contexto da Web, que estamos denominando Eco-Web, e objetiva construir um framework conceitual que instrumentalize aqueles envolvidos com o design e desenvolvimento de tais sistemas a produzirem soluções que efetivamente atendam às necessidades de seus usuários, levando em conta suas diferenças, necessidades, preferências, limitações e valores. Este Projeto está situado no contexto do desafio número 4 de pesquisa em computação: Acesso participativo e universal do cidadão brasileiro ao conhecimento, sendo direcionado à pesquisa e desenvolvimento que propõem a construção de sistemas sociais inclusivos. A modelagem computacional de sistemas complexos artificiais, naturais e sócio-culturais e da interação homem-natureza, representada pelo desafio número 2, t"
2010,2013,"XO na escola e fora dela: Uma Proposta Semio-participativa para Tecnologia, Educação e Sociedade",CONCLUIDO,PESQUISA,"Apropriação de tecnologia digital articulada a contextos educacionais deve ser tratada como instrumento de transformação profunda da sociedade. Soluções que façam sentido e que tragam benefícios à sociedade como um todo, requerem uma visão sócio-técnica para o problema. O objetivo deste projeto é desenvolver um modelo de implantação de laptops educacionais em escolas públicas, a partir da análise de contexto e prospecção de soluções construídas com partes interessadas - alunos, profissionais da educação e comunidade. A concepção e execução do projeto são apoiadas em metodologia de bases semióticas, sustentada na compreensão socialmente compartilhada sobre a apropriação tecnológica na vida em sociedade."
2012,2013,O Laptop Educacional e a Educação Baseada na Investigação: do estudar fatos científicos para o fazer ciência,CONCLUIDO,PESQUISA,"Este projeto de pesquisa conhecido como ABInv (Aprendizagem Baseada na Investigação) foi realizado pelo NIED (Núcleo de Informática Aplicada à Educação)/UNICAMP nos anos de 2012 e 2013 envolvendo três escolas públicas municipais das cidades de Pedreira, Sud Mennucci e Campinas, no Estado de São Paulo. Estas escolas participaram desde 2010 do Projeto UCA (Um Computador por Aluno), iniciativa do Governo Federal que viabilizou recursos para formação de profissionais e para a implantação de laptops educacionais em espaços escolares. O objetivo do projeto de pesquisa ABInv neste contexto era estudar o impacto da abordagem educacional baseada na investigação nas práticas pedagógicas, nas atividades curriculares, no uso de laptops educacionais e na aprendizagem dos alunos. ?Aprendizagem baseada na Investigação? é uma perspectiva de pesquisa que busca conciliar alguns fatores que viabilizam ambientes de aprendizagem necessários ao contexto educacional atual, entre eles o envolvimento de professores e alunos em situações práticas de processos de investigação científica relacionadas ao cotidiano; a alocação de recursos financeiros e tecnológicos para subsidiar ações articuladas à prática escolar, espaços para a formação, orientação e a troca de ideias entre professores; contextos para proposição, discussão e divulgação dos trabalhos desenvolvidos.
(processo: 550382/2011-9, Edital/Chamada: Edital MCT/CNPq/CAPES/MEC-SEB nº 76/2010 ? PROUCA)."
2015,NULL,Revisitando o Design da Interação em Sistemas Pervasivos,EM_ANDAMENTO,PESQUISA,"A presença de novas tecnologias e de novas modalidades de interação (tangible interfaces, natural user interfaces), somada à ubiquidade da computação e do software social apresentam hoje novos desafios no design de sistemas interativos. Os métodos e práticas da disciplina de Fatores Humanos em Sistemas Computacionais e Interação Humano-Computador, praticados no design de sistemas que consideram seu uso em desktops, a partir de teclado, mouse e monitor precisam ser reinventados frente à mudança de contexto tecnológico e social de hoje. Objetivamos propor e desenvolver uma agenda de pesquisa interdisciplinar que considere diferentes dimensões para o estudo da interação humano-artefato digital e o design de novos ambientes interativos; em especial a dimensão da acessibilidade de novos dispositivos e seu potencial para criação de ambientes pervasivos para todos. Nossa base teórico-metodológica para essa pesquisa envolve referenciais da Semiótica Organizacional, do Design Participativo e Socialmente Consciente. Projetos em andamento dão sustentação ao uso desse referencial e servirão de contextos onde estudos de caso serão realizados na temática desta proposta.
(PQ 2 Processo #308618/2014-9)"
