SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,Aprendendo Geometria Junto Com A Tartaruga.,1984
COMPLETO,Logo Tridimensional Como Estratégia Para A Exploração da Geometria Espacial,1994
COMPLETO,Observational Studies About Novices Interacting In A Prolog Environment Based On Tools,1995
COMPLETO,Entrenamiento Y Enseñanza En Las Industrias Brasileñas,1997
COMPLETO,A User-Centred Approach To The Design Of An Expert System For Training,1998
COMPLETO,Learning About Manufacture Process Control Through The Target Game,1999
COMPLETO,Semiotics as a Basis for Educational Software Design,2000
COMPLETO,Gaming at Work: a Learning Environment for Synchronized Manufacturing,2000
COMPLETO,The Theatre through the Computer,2000
COMPLETO,Learning at work through a multi-user synchronous simulation game,2001
COMPLETO,Towards a communication model applied to the interface design process,2001
COMPLETO,Designing and Learning: joining the concepts in work practices,2003
COMPLETO,CollabSS: a Tool to Help the Facilitator in Promoting Collaboration among Learners,2003
COMPLETO,Supporting the Facilitator in a Collaborative Learning Environment,2003
COMPLETO,Interface de Usuário sob a Lente de Abordagens Semióticas,2004
COMPLETO,Usabilidade de Aplicações SIG Web na Perspectiva do Usuário: um Estudo de Caso,2006
COMPLETO,Design - Indicating Through Signs,2008
COMPLETO,Design com Crianças: da Prática a um Modelo de Processo,2008
COMPLETO,Design de um Espaço Web-Acessível para Apoio à Comunicação de Grupo,2008
COMPLETO,Accessibility and interoperability in e-government systems: outlining an inclusive development process,2009
COMPLETO,Norms-Based Simulation for Personalized Service Provision,2009
COMPLETO,Aprendendo sobre Acessibilidade e Construção de Websites para Todos,2008
COMPLETO,SOO Brasileiro: Aprendizagem e Diversão no XO,2008
COMPLETO,Prospecting the Appropriation of the Digital TV in a Brazilian Project,2009
COMPLETO,Aprendizaje Colaborativo Basado en Problemas (ACBP): un modelo conceptual,2008
COMPLETO,"Resolução de Problemas e Colaboração a Distância: Modelo, Artefatos e Sistema",2009
COMPLETO,Um Caderno Digital nos laptops educacionais: proposta conceitual e ferramenta,2009
COMPLETO,Towards a Design Rationale for Inclusive eGovernment Services,2011
COMPLETO,Collective Construction of Meaning and System for Inclusive Social Network,2011
COMPLETO,Adjustable interactive rings for iDTV,2010
COMPLETO,GWIDO ? Games With Interaction Design Objective,2010
COMPLETO,Navigating through Video Stories using Clustering Sets,2011
COMPLETO,"A Discussion on Social Software: Concept, Building Blocks and Challenges",2010
COMPLETO,A Semiotic-Based Approach for Search Mechanism in Social Network Services,2011
COMPLETO,Aprendizagem em empresas na era das tecnologias digitais,2011
COMPLETO,The Affectibility Concept in Systems for Learning Conbtexts,2011
COMPLETO,Towards a Culturally Aware Design for Social Software,2012
COMPLETO,Data Driven Research at LIS: the Laboratory of Information Systems at UNICAMP,2011
COMPLETO,Designing tailorable software systems with the users participation,2012
COMPLETO,Addressing universal access in social networks: an inclusive search mechanism,2013
COMPLETO,O uso de Ferramentas de Mineração de Texto para Modelar Significados em Redes Sociais Inclusivas,2011
COMPLETO,Laptops Educacionais em Escolas Públicas: Primeiros Resultados de uma Abordagem Socio-Técnica,2012
COMPLETO,Affectibility in Educational Technologies: a Socio-Technical Perspective for Design,2013
COMPLETO,Paying Attention to Values and Culture: An Artifact to Support the Evaluation of Interactive Systems.,2013
COMPLETO,An ontological model for supporting intention-based information sharing on collaborative problem solving,2013
COMPLETO,Perspectives on the evaluation of affective quality in social software,2013
COMPLETO,Addressing structural and dynamic features of scientific social networks through the lens of Actor-Network Theory,2013
COMPLETO,Social awareness in HCI,2014
COMPLETO,WELFIT: A remote evaluation tool for identifying Web usage patterns through client-side logging,2015
COMPLETO,A value-oriented and culturally informed approach to the design of interactive systems,2015
COMPLETO,A systematic review on multi-device inclusive environments,2015
COMPLETO,Thinking about Culture in iDTV Projects,2014
COMPLETO,Bringing universal design and the web of things into the supermarket,2015
COMPLETO,A socially inspired energy feedback technology: challenges in a developing scenario,2016
COMPLETO,A informática na educação: o que revelam os trabalhos publicados no Brasil,2016
COMPLETO,Desafios e Possibilidades da Interação Tangível Móvel no Contexto da Educação de Crianças Autistas,2016
COMPLETO,A Kinect-Based Wearable Face Recognition System to Aid Visually Impaired Users,2016
COMPLETO,"Social Software and Educational Technology: Informal, Formal and Technical Values",2013
