NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de mestrado","O repertório como ferramenta para o desenvolvimento técnico no canto popular brasileiro","2014","Brasil","Português","","","",0
"Exame de qualificação de mestrado","A formaçaõ e as práticas de ensino de professores de canto popular: perspectivas de professores da cidade de Florianópolis","2014","Brasil","Português","","","",1
"Exame de qualificação de doutorado","Os modos de inserção e as relações dramático-narrativas da canção no cinema e na televisão brasileira no exemplo de Daniel Filho","2014","Brasil","Português","","","",2
"Exame de qualificação de mestrado","Victor Assis Brasil e suas interpretações instrumentais de canções brasileiras","2014","Brasil","Português","","","",3
"Exame de qualificação de mestrado","Análise da Performance Vocal em Canção POpular Brasileira dos alunos do bacharelado em Música Popular da FAD, UNCUYO Mendoza,AR","2015","Brasil","Português","","","",4
"Exame de qualificação de mestrado","O ensino do canto popular na universidade pública brasileira: um estudo sobre as práticas pedagógicas","2015","Brasil","Português","","","",5
"Exame de qualificação de mestrado","Segredo e Revelação: análise semiótica do comportamento vocal em Caetano Veloso","2015","Brasil","Português","","","",6
"Exame de qualificação de mestrado","Seconda Pratica do Seculo XVII e a Bossa Nova","2015","Brasil","Português","","","",7
"Exame de qualificação de mestrado","Jazz e Música Brasileira no scat singing de Filó Machado","2016","Brasil","Português","","","",8
"Exame de qualificação de mestrado","Expressão vocal e significação: uma análise do canto de Gal Costa em Fa-tal Gal a todo vapor","2016","Brasil","Português","","","",9
"Exame de qualificação de doutorado","Carcará mais coragem do que homem: transgressão, poder e magia em Maria Bethânia","2016","Brasil","Português","","","",10
"Exame de qualificação de mestrado","A Bossa Nova e a Seconda Prattica","2016","Brasil","Português","","","A Bossa Nova e a Seconda Prattica",11
"Exame de qualificação de mestrado","Romaria, um percurso para o interior: vivência a partir do eixo Co-Habitar com a Fonte do método Bailarino-Pesquisador-Intérprete (BPI)","2016","Brasil","Português","","","",12
"Exame de qualificação de doutorado","Monografia "Técnica, naturalidade e individualidade no canto popular"","2017","Brasil","Português","","","",13
"Exame de qualificação de doutorado","Recital "A canção popular brasileira e suas propriedades pedagógicas"","2017","Brasil","Português","","","",14
"Exame de qualificação de doutorado","Recital "Para gritar o céu"","2017","Brasil","Português","","","",15
"Exame de qualificação de doutorado","O repertório como ferramenta para o desenvolvimento técnico-expressivo para o canto popular brasileiro","2017","Brasil","Português","","","",16
"Exame de qualificação de mestrado","Se a obra é a soma das penas: um estudo sobre gênero e performance na vanguarda paulista","2017","Brasil","Português","","","",17
"Exame de qualificação de mestrado","A VOZ COMO INSTRUMENTO NO BRASIL: PERSPECTIVAS SOBRE A IMPROVISAÇÃO NO CANTO POPULAR BRASILEIRO","2017","Brasil","Português","","","",18
"Exame de qualificação de mestrado","A Técnica Alexander aplicada à prática coral: caminhos para uma educação integral","2016","Brasil","Português","","","A Técnica Alexander aplicada à prática coral: caminhos para uma educação integral",19
