NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DO-CONHECIMENTO_Id
"LINGUISTICA_LETRAS_E_ARTES","Lingüística","Semiótica","",0
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",1
"LINGUISTICA_LETRAS_E_ARTES","Lingüística","Canto Popular","",4
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canto","",5
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",6
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canção Popular","",10
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canto Popular","",11
"LINGUISTICA_LETRAS_E_ARTES","Lingüística","Canto Popular","",12
"LINGUISTICA_LETRAS_E_ARTES","Artes","Cultura Brasileira","",15
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Canto",16
"LINGUISTICA_LETRAS_E_ARTES","Lingüística","Canto Popular","",17
"LINGUISTICA_LETRAS_E_ARTES","Lingüística","Canto Popular","",18
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música Brasileira","",19
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",21
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Técnica Vocal",22
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","MÚSICA POPULAR",24
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canção Popular","",26
"CIENCIAS_DA_SAUDE","Fonoaudiologia","","",30
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canto Popular","",31
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canto Popular","",32
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",34
"CIENCIAS_HUMANAS","Educação","","",35
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",37
"LINGUISTICA_LETRAS_E_ARTES","Lingüística","Canto Popular","",45
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",46
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",47
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",48
"LINGUISTICA_LETRAS_E_ARTES","Artes","Teatro","",49
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",53
"LINGUISTICA_LETRAS_E_ARTES","Artes","Poesia","",66
"LINGUISTICA_LETRAS_E_ARTES","Artes","Poesia","",67
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","MÚSICA POPULAR",68
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canção Popular","",70
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canto Popular","",71
"CIENCIAS_HUMANAS","Antropologia","ARTES DA CENA","",72
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Canto",75
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","MÚSICA POPULAR",77
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Canto",78
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canto Popular","",79
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Canto",80
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Canto",81
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canto","",82
"LINGUISTICA_LETRAS_E_ARTES","Artes","Samba","",83
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canção Popular","",84
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Técnica Vocal",85
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Técnica Vocal",89
"LINGUISTICA_LETRAS_E_ARTES","Artes","História da Música","",90
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",92
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",93
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Canto",94
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",95
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",96
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",97
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",99
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canção Latino Americana","",105
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Canto",106
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canto","",107
"LINGUISTICA_LETRAS_E_ARTES","Artes","Performance","",108
"LINGUISTICA_LETRAS_E_ARTES","Artes","Composição","",109
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canção Popular","",110
"LINGUISTICA_LETRAS_E_ARTES","Artes","Performance","",113
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",114
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Canto",115
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música Brasileira","",116
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canção Popular","",117
"LINGUISTICA_LETRAS_E_ARTES","Lingüística","Canto Popular","",118
"LINGUISTICA_LETRAS_E_ARTES","Lingüística","Canto Popular","",119
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",120
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",121
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canto","",122
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",123
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Técnica Vocal",124
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",125
"LINGUISTICA_LETRAS_E_ARTES","Artes","Teatro Musical","",126
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","MÚSICA POPULAR",127
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",129
"LINGUISTICA_LETRAS_E_ARTES","Artes","canção brasileira","",131
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","MÚSICA POPULAR",132
"LINGUISTICA_LETRAS_E_ARTES","Lingüística","Canto Popular","",133
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canto","",134
"LINGUISTICA_LETRAS_E_ARTES","Artes","Improvisação","",135
"LINGUISTICA_LETRAS_E_ARTES","Lingüística","Canto Popular","",136
"LINGUISTICA_LETRAS_E_ARTES","Artes","Industria fonográfica","",137
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música vocal","",138
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",139
"CIENCIAS_HUMANAS","Educação","Ensino-Aprendizagem","Métodos e Técnicas de Ensino",140
"LINGUISTICA_LETRAS_E_ARTES","Artes","Canção Popular","",142
"LINGUISTICA_LETRAS_E_ARTES","Lingüística","Canto Popular","",143
"LINGUISTICA_LETRAS_E_ARTES","Artes","Performance","",144
"LINGUISTICA_LETRAS_E_ARTES","Artes","Improvisação","",145
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",146
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Canto",148
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Canto",150
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",151
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","MÚSICA POPULAR",154
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","MÚSICA POPULAR",155
