SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,A Volatilidade das Bolsas Americanas no primeiro semestre de 2000,2000
COMPLETO,Convivendo com o câmbio flutuante,2000
COMPLETO,Nem crash nem estabilidade,2000
COMPLETO,Ativos na economia americana,1999
COMPLETO,"Derivativos Financeiros: Hedge, Especulação e Arbitragem.",1999
COMPLETO,As Repercussões dos Mercados de Derivativos Financeiros,1999
COMPLETO,"Derivativos Financeiros: Estabilização Monetária, ataques Especulativos e Crise Cambial no Brasil",2000
COMPLETO,"Derivativos Financeiros: Estabilização Monetária, ataques Especulativos e Crise Cambial no Brasil",2001
COMPLETO,Novos Instrumentos e práticas na Finança Internacional,2002
COMPLETO,"O acesso às informações: classificação de riscos, auditorias e contabilidade",2002
COMPLETO,Dinâmica dos Ataques Especulativos e Regime Cambial,2002
COMPLETO,"Informação dos Investidores: Classificação de Riscos, Auditorias e Contabilidade",2002
COMPLETO,Argentina: Contradicciones e Limites del Plan de Conversibilidad,2002
COMPLETO,As contradições e os limites do Plano de Conversibilidade argentino: lições para os países latino-americanos,2002
COMPLETO,Mercados Financeiros sob Suspeita,2002
COMPLETO,As restrições de Capitais Estrangeiros aos Países Emergentes no Limiar do Século XXI,2002
COMPLETO,O crash de 2002: da exuberência irracional à ganância infecciosa,2003
COMPLETO,Os limites da inserção internacional dos países emergentes no limiar do século XXI,2003
COMPLETO,Las restricciones de capitales extranjeros a los países emergentes en el umbral del siglo XXI,2003
COMPLETO,A crise financeira e o global shadow banking system,2008
COMPLETO,Operações com derivativos financeiros das corporações de economias emergentes,2009
COMPLETO,The Financial Crisis and the Global Shadow Banking System: La crise financière et le Global Shadow Banking System,2009
COMPLETO,A arquitetura do sistema financeiro internacional contemporâneo,2009
COMPLETO,A crise e os desafios para a nova arquitetura financeira internacional,2009
COMPLETO,Crisis financiera internacional: contagio y respuestas regulatorias,2009
COMPLETO,The shadow banking system and the new phase of the money manager capitalism,2015
COMPLETO,Revelações da crise: moeda fiduciária e as relações Tesouro/Banco Central,2014
COMPLETO,"From IMF to the Troika: new analytical framework, same conditionalities",2015
COMPLETO,The shadow banking system and the new phase of the money manager capitalism,2015
COMPLETO,Macroeconomic theory in the aftermath of the crisis: mainstream and new Keynesianism,2015
COMPLETO,Macroeconomic theory in the aftermath of the crisis: mainstream and new Keynesianism,2015
NAO_INFORMADO,Revelações da crise: Tesouro e Banco Central,2014
