NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de doutorado","Sistema previdenciário brasileiro: Aspectos macroeconômicos e distributivos","2005","Brasil","Português","","","",0
"Exame de qualificação de doutorado","Distribuição de classes no Brasil: uma nova dimensão para análise da exclusão social.","2006","Brasil","Português","","","",1
"Exame de qualificação de doutorado","Uma proposta de Zoneamento Agrário para o Estado de São Paulo","1996","Brasil","Português","","","",2
"Exame de qualificação de doutorado","Uma análise do impacto das mudanças no perfil do emprego sobre as remunerações no setor automotivo brasileiro","2001","Brasil","Português","","","",3
"Exame de qualificação de doutorado","Uma análise do emprego na agricultura paulista nos anos 90.","2000","Brasil","Português","","","",4
"Exame de qualificação de doutorado","Juventude e mercado de trabalho no Brasil: família, trabalho e educação.","2008","Brasil","Português","","","",5
"Exame de qualificação de doutorado","Famílias rurais e trabalho feminino","2007","Brasil","Português","","","",6
"Exame de qualificação de doutorado","Mulheres provedoras: estratégias familiares, organização e divisão do trabalho doméstico.","2012","Brasil","Português","","","",7
"Exame de qualificação de doutorado","Gênero e desemprego: trajetórias ocupacionais e a experiência da perda do emprego entre mulheres e homens da categoria metalúrgica (2000 - 2010)","2012","Brasil","Português","","","",8
"Exame de qualificação de doutorado","Condições de vida das famílias brasileiras","2012","Brasil","Português","","","",9
"Exame de qualificação de doutorado","Mulher e Trabalho no Brasil dos Anos 90.","2003","Brasil","Português","","","",10
