NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,TIPO-INGLES,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","O IPC e a Política Salarial","1989","Brasil","Português","","NAO","","","",0
"INICIACAO_CIENTIFICA","","Mudanças no Perfil da PEA Feminina na Rregião Metropolitana de São Paulo na Década de 80.","1996","Brasil","Português","","NAO","","","",1
"INICIACAO_CIENTIFICA","","Características das Famílias com Mulheres na PEA da Região Metropolitana de São Paulo, na Década de 80.","1997","Brasil","Português","","NAO","","","",2
"INICIACAO_CIENTIFICA","","Formas de Expansão do Emprego Feminino","1998","Brasil","Português","","NAO","","","",3
"INICIACAO_CIENTIFICA","","Natureza da Inserção Feminina no Mercado de Trabalho: rendimentos e posição na ocupação na Região Metropolitana de São Paulo nos Anos 90.","1999","Brasil","Português","","NAO","","","",4
"INICIACAO_CIENTIFICA","","Aspectos Relativos à Inserção da Mulher no Mercado de Trabalho na Região Metropolitana de São Paulo nos Anos 90.","1999","Brasil","Português","","NAO","","","",5
"INICIACAO_CIENTIFICA","","Caracterização de Grupos Homogêneos na Força de Trabalho Feminina na Região Metropolitana de São Paulo.","2000","Brasil","Português","","NAO","","","",6
"INICIACAO_CIENTIFICA","","Evolução da Inserção Feminina na RMSP nos anos 90","2000","Brasil","Português","","NAO","","","",7
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Famílias Chefiadas por Mulheres e Pobreza na Região Metropolitana de são Paulo: um estudo para o ano de 1999","2001","Brasil","Português","","NAO","","","",8
"INICIACAO_CIENTIFICA","","Famílias Chefiadas por Mulheres e Pobreza na Região Metropolitana de são Paulo: um estudo para o ano de 1999","2001","Brasil","Português","","NAO","","","",9
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Caracterização de Grupos Homogêneos na Força de Trabalho Feminina na Região Metropolitana de São Paulo","2000","Brasil","Português","","NAO","","","",10
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Evolução da Inserção Feminina na RMSP nos anos 90","2000","Brasil","Português","","NAO","","","",11
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Aspectos Relativos à Inserção da Mulher no Mercado de Trabalho na Região Metropolitana de São Paulo nos anos 90","1999","Brasil","Português","","NAO","","","",12
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Natureza da Inserção Feminina no Mercado de Trabalho: rendimentos e posição na ocupação na Região metropolitana de São Paulo nos Anos 90","1999","Brasil","Português","","NAO","","","",13
"INICIACAO_CIENTIFICA","","Natureza da Inserção Feminina no Mercado de Trabalho: rendimentos e posição na ocupação na Região Metropolitana de São Paulo nos anos 90","1999","Brasil","Português","","NAO","","","",14
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Formas de Expansão do Emprego Feminino","1998","Brasil","Português","","NAO","","","",15
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Características das Famílias com Mulheres na PEA da Região Metropolitana de são Paulo, na Década de 80","1997","Brasil","Português","","NAO","","","",16
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Mudanças no Perfil da PEA Feminina na Região Metropolitana de São Paulo na Década de 80","1996","Brasil","Português","","NAO","","","",17
"INICIACAO_CIENTIFICA","","Mobilidade e Crise - Aspectos da Transformação das Condições de Mobilidade em Função da Educação no Brasil Contemporâneo","2001","Brasil","Português","","NAO","","","",18
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Família e Emprego Doméstico na Região Metropolitana de São Paulo (1992 - 2002)","2005","Brasil","Português","","NAO","","","",19
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Desigualdade de rendimentos do trabalho entre homens e mulheres na região metropolitana de São Paulo em 2004","2006","Brasil","Português","","NAO","","","",20
"INICIACAO_CIENTIFICA","","Comparação regional do perfil dos empregados assalariados segundo sexo em 2004","2007","Brasil","Português","","NAO","","","",21
"INICIACAO_CIENTIFICA","","Participação da renda do trabalho da mulher na renda familiar na Região Metropolitana de São Paulo em 2004","2006","Brasil","Português","","NAO","","","",22
"INICIACAO_CIENTIFICA","","Ocupação, escolaridade e rendimentos do trabalho feminino em regiões metropolitanas","2006","Brasil","Português","","NAO","","","",23
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Diversidade de rendimentos no setor de Atividade Social","2008","Brasil","Português","","NAO","","","",24
"INICIACAO_CIENTIFICA","","Diferenças de rendimentos entre homens e mulheres.","2009","Brasil","Português","","NAO","","","",25
"INICIACAO_CIENTIFICA","","Mudanças demográficas e alterações no perfil da PEA.","2009","Brasil","Português","","NAO","","","",26
"INICIACAO_CIENTIFICA","","O impacto da regulação das relações de trabalho na força de trabalho feminina.","2009","Brasil","Português","","NAO","","","",27
"INICIACAO_CIENTIFICA","","Uma análise da escolaridade da força de trabalho feminina.","2009","Brasil","Português","","NAO","","","",28
"INICIACAO_CIENTIFICA","","Rendimentos do trabalho e renda domiciliar na região metropolitana de São Paulo em 2006.","2008","Brasil","Português","","NAO","","","",29
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Rendimentos do trabalho e renda domiciliar na região metropolitana de São Paulo em 2006.","2008","Brasil","Português","","NAO","","","",30
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Comparação regional do perfil dos empregados assalariados segundo sexo em 2004.","2007","Brasil","Português","","NAO","","","",31
