NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-SEMINARIO_Id
"Seminário","","2016","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",0
"Seminário","O Perfil dos Trabalhadores e Trabalhadoras na Economia Informal","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","Profile of Men and Women Workers in the Informal Economy","NAO",1
"Seminário","Política Económica y Trabajo en Brasil y México: Análisis de la Experiencia Reciente","2010","México","","NAO_INFORMADO","","NAO","Simposista","Convidado","","","NAO",2
"Seminário","III Seminário Novo Rural Brasileiro","2004","Brasil","","NAO_INFORMADO","www.eco.unicamp.br","NAO","Apresentação Oral","Participante","","","NAO",3
"Seminário","Renda domiciliar,Pobreza e Desigualdade no Estado de São Paulo, Regiões Metropolitanas e Pólos Regionais.","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","Household Income, poverty and inequality in the State of Sao Paulo","NAO",4
"Seminário","Seminário Salário Mínimo e Desenvolvimento","2005","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",5
"Seminário","A desigualdade de gênero no mercado de trabalho - avanços e desafios.","2011","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",6
"Seminário","Desenvolvimento com distribuição de renda","2006","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",7
"Seminário","","2014","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",8
"Seminário","Vulnerabilidade e segregação sócio-espacial nas metrôpoles latinoamericanas","2005","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",9
"Seminário","Striving for Decent Work-Achievements and Challenges in Global Perspective","2013","Alemanha","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",10
