SEQUENCIA-ESPECIFICACAO,DISCIPLINA_Text,ENSINO_Id
"1","CE392-Estatística Econômica I",0
"2","CE431 - Economia Matemática II",0
"3","CE432-Estatística Econômica e Introdução a Econometria",0
"4","CE631-Econometria I",0
"5","MA116 - Topicos de Matemática para Economia",0
"1","HO300-Seminários de Tese",1
"2","HO341 Métodos Quantitativos Aplicados a Economia - disciplina ministrada no 1. semestre desde 2004",1
"3","HO341-Métodos Quantitativos Aplicados a Economia Social e do Trabalho",1
"1","Estatística Aplicada à Administração",2
"1","CE 531 - Técnicas de Pesquisa em Economia - ministrada nos primeiros semestres",3
"2","CE 690 - Metodologia de Análise Econômica I - ministrada nos segundos semestres",3
"1","CE 795 - Metodologia e Análise Econômica II - ministrada nos segundos semestres",4
"1","Disciplina Quantitative Methods ministrado em inglês na UNICAMP,através da parceria internacional The Global Labour University , que engloba os seguintes países: Índia, Alemanha, África do Sul e Brasil, na disciplina Social Economy and Labour.",5
"1","Orientação de alunos para o Programa de Estágio Docente - PED, nas seguintes disciplinas:Metodologia de Análise Econômica I ;Técnicas de Pesquisa em Economia; Metodologia de Análise Econômica II.",6
"1","Orientação no Programa de Apoio ao Ensino de Graduação - PAD, nas seguintes disciplinas: 690 Metodologia de Análise Econômica I; Técnicas de Pesquisa em Economia; ? Metodologia de Análise Econômica II.",7
"1","Coordenadora do Programa de Mestrado ?Social Economy and Labour? da Global Labour University (GLU), no Brasil e membro do Steering Committee da GLU em conjunto com outras universidades (Alemanha (Kassel/Berlin)",8
"2","University of Kassel and the Berlin School of Economics and Law, na África do Sul (Johannesburg) University of Witwatersrand (WITS) e na Índia (Mumbai) Tata Institute of Social Sciences (TISS), desde agosto de 2010.",8
"1","CE-531 - Técnicas de Pesquisa em Economia (1o. Semestre)",9
"2","CE-795 - Metodologia de Análise Econômica II (2o. Semestre)",9
"1","CE-531 - Técnicas de Pesquisa em Economia (1o. Semestre)",10
"2","CE-690 - Metodologia de Análise Econômica I (2o. Semestre)",10
"3","CE-795 - Metodologia de Análise Econômica II (2o. Semestre)",10
"1","CE 323 - Estatística Econômica e Introdução à Econometria",11
"1","CE-531 - Técnicas de Pesquisa em Economia (1o. Semestre)",12
"2","CE-795 - Medotologia de Análise Econômica II (2o. Semestre)",12
