NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-ENCONTRO_Id
"Encontro","Mesa Redonda: Desenvolvimento e Mercado de Trabalho com crescimento demográfico lento e crescente participação feminina na atividade econômica: desafios e oportunidades.","2012","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",0
"Encontro","Formalização dos Contratos de Trabalho e Salários no Nordeste","2007","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",1
"Encontro","IX Encontro Nacional de Estudos do Trabalho","2005","Brasil","","NAO_INFORMADO","abep.org.br","NAO","Apresentação Oral","Participante","","","NAO",2
"Encontro","A mulher na recuperação recente do mercado de trabalho brasileira","2008","Brasil","","NAO_INFORMADO","www.abep.org.br","NAO","Apresentação Oral","Participante","","The woman in the recent recovery of the Brazilian labor market","NAO",3
"Encontro","ST 1 - Desigualdade no mercado de trabalho","2012","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",4
"Encontro","","2008","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",5
"Encontro","IX Encontro Nacional da Associação Brasileira de Estudos do Trabalho","2005","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",6
"Encontro","","2017","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",7
"Encontro","Mercado de Trabalho e Distribuição de Renda no Brasil","2007","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",8
"Encontro","Coordenador/Debatedor da Sessão Temática Mercado de Trabalho, Gênero e Família","2006","Brasil","","NAO_INFORMADO","","NAO","Outras Formas","Participante","","","NAO",9
"Encontro",""População economicamente ativa, mercado de trabalho e gênero na retomada do crescimento econômico (2004-2008)."","2010","Brasil","","NAO_INFORMADO","http://www.abep.nepo.unicamp.br/encontro2010/docs_pdf/tema_13/abep2010_2268.pdf","NAO","Apresentação Oral","Participante","","","NAO",10
"Encontro","Diferenças de renda do trabalho no Brasil: 2004 E 2007","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","Differences in labor income in Brazil: 2004 and 2007","NAO",11
"Encontro","XIII Encontro Nacional de Estudos Populacionais","2002","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",12
"Encontro","Desigualdade e descriminação no Trabalho","2007","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",13
"Encontro","Coordenadora/Debatedora no ST - O real e o desejado: trabalho precário e trabalho decente","2010","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",14
"Encontro","A recessão 2015-2016 e o mercado de trabalho no Brasil","2017","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",15
"Encontro","XIV Encontro Nacional de Estudos Populacionais","2004","Brasil","","NAO_INFORMADO","abep.org.br","NAO","Poster / Painel","Participante","","","NAO",16
"Encontro","Debatedora: Jovens e velhos no mercado de trabalho: geração e trabalho recente","2008","Brasil","","NAO_INFORMADO","www.abep.org.br","NAO","Moderador","Convidado","","","NAO",17
"Encontro","","2014","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",18
"Encontro","Diferenças de rendimento do trabalho de homens e mulheres com educação superior nas metrópoles","2006","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",19
"Encontro","IX Encontro Nacional da Associação Brasileira de Estudos do Trabalho","2005","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",20
