NATUREZA,TITULO-DO-TRABALHO,ANO-DO-TRABALHO,PAIS-DO-EVENTO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,TRABALHO-EM-EVENTOS_Id
"COMPLETO","Modernização da Agricultura e Desigualdades nas Micro-Regiões Homogêneas da Bahia em 1980, co-autoria: Rodolfo Hoffmann","1988","Brasil","Português","IMPRESSO","","NAO","","","NAO",0
"COMPLETO","Emprego, Renda e Condições de Vida proporcionados pela Agricultura na Década de 80.","1994","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"COMPLETO","Trabalho da Mulher e Renda Familiar na RMSP","1996","Brasil","Português","IMPRESSO","","NAO","","","NAO",2
"COMPLETO","A expansão do emprego feminino na RMSP nos Anos 90","1998","Brasil","Português","IMPRESSO","[http://abep.nepo.com.br]","NAO","","","NAO",3
"RESUMO","Um modelo de Simulação: The Family Status Life Table","1994","Brasil","Português","IMPRESSO","","NAO","","","NAO",4
"COMPLETO","Padroes de Inserção Feminina na Região Metropolitana de São Paulo em 1997.","2000","Brasil","Português","IMPRESSO","www.abep.org.br","NAO","","","NAO",5
"COMPLETO","Modernização agrícola e emprego: uma aplicação de análise fatorial múltipla.","2000","Brasil","Português","MEIO_MAGNETICO","[http://www.anpec.org.br]","NAO","","","NAO",6
"COMPLETO","Manifestações da Pobreza Agrícola no Brasil em 1990","1995","Brasil","Português","IMPRESSO","","NAO","","","NAO",7
"COMPLETO","Uma Tipologia dos Municípios Paulistas com base em Indicadores Sociodemográficos","1999","Brasil","Português","IMPRESSO","","NAO","","","NAO",8
"COMPLETO","Mudanças no trabalho da mulher na Região Metropolitana de São Paulo nos anos 90","2002","Brasil","Português","MEIO_MAGNETICO","","NAO","","","NAO",9
"COMPLETO","Ocupação e Rendimento dos Trabalhadores nas Metrópoles do Brasil: uma análise de Gênero em 1992 e 2002","2005","México","Português","MEIO_DIGITAL","http://clepv.tripod.com","NAO","","","NAO",10
"RESUMO","Ocupação, remuneração e gênero nas metrópoles","2005","Brasil","Português","IMPRESSO","","NAO","","","NAO",11
"COMPLETO","Mercado de Trabalho Metropolitano: Gênero e Diferenças de Rendimento, 1992 - 2002","2005","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",12
"RESUMO_EXPANDIDO","Estructura Ocupacional, Diversidad de Remuneraciones y Gênero en Regiones Metropolitanas de Brasil","2005","Brasil","Espanhol","MEIO_DIGITAL","","NAO","","","NAO",13
"COMPLETO","População ocupada, escolaridade e rendimentos: uma comparação entre homens e mulheres em regiões metropolitanas","2004","Brasil","Português","MEIO_DIGITAL","[http://abep.org.br]","NAO","","","NAO",14
"COMPLETO","Renda familiar e trabalho feminino nas áreas rurais do Brasil nos anos 90","2003","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",15
"COMPLETO","Trabalho Feminino nas áreas rurais do Brasil, nos anos 90","2004","Brasil","Português","IMPRESSO","[http://www.eco.unicamp.br]","NAO","","","NAO",16
