NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","How progressive can labor's responses really be without gender equality?","2012","Brasil","","NAO_INFORMADO","http://www.global-labour-university.org/fileadmin/GLU_conference_2012/final_programme.pdf","NAO","Apresentação Oral","Participante","","","NAO",0
"Congresso","Diferenças de renda do trabalho: uma comparação entre Brasil e Argentina","2008","Argentina","","NAO_INFORMADO","www.alapop.org/congreso08","NAO","Apresentação Oral","Participante","","Differences in labor income: a comparison between Brazil and Argentina","NAO",1
"Congresso","","2009","Inglaterra","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",2
"Congresso","","2015","Estados Unidos","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",3
"Congresso","Um balanço da desigualdade de gênero no mercado de trabalho brasileiro","2012","Brasil","","NAO_INFORMADO","http://www.alapop.org/2009/index.php?option=com_content&view=article&id=1149&Itemid=561","NAO","Apresentação Oral","Participante","","","NAO",4
"Congresso","Mercado de trabalho no Brasil: diferenças de gênero","2010","Canadá","","NAO_INFORMADO","http://lasa.international.pitt.edu/members/congress-papers/lasa2010/files/3263.pdf","NAO","Apresentação Oral","Participante","","","NAO",5
"Congresso","Trabajo remunerado das mulheres e renda das famílias brasileiras: 1981-2005","2007","Espanha","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",6
"Congresso","XXV Internacional Population Conference","2005","França","","NAO_INFORMADO","www.iussp.org","NAO","Poster / Painel","Participante","","","NAO",7
"Congresso","Evolução do mercado de trabalho brasileiro nos anos 2000","2012","Brasil","","NAO_INFORMADO","http://ica2012.univie.ac.at/index.php?id=117028&no_cache=1&L=20&tx_univietablebrowser_pi1%5Bbackpid%5D=117027&tx_univietablebrowser_pi1%5Bfkey%5D=778&tx_univietablebrowser_pi1%5Buid%5D=4958","NAO","Apresentação Oral","Participante","","","NAO",8
"Congresso","","2016","Espanha","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",9
"Congresso","","2016","Espanha","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",10
"Congresso","Effects of the recession on the Brazilian labour market: 2015 - 2016","2017","Espanha","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",11
"Congresso","Economic Growth, Employment and Labour Market Regulation in Brazil","2010","Alemanha","","NAO_INFORMADO","http://www.global-labour-university.org/fileadmin/GLU_conference_2010/papers/45._Economic_Growth__Employment_and_Labour_Market_Regulation_in_Brazil.pdf","NAO","Apresentação Oral","Participante","","","NAO",12
"Congresso","GT14 "Dinâmica demográfica e mercado de trabalho"","2015","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",13
"Congresso","Determinantes da desigualdade no mercado de trabalho: um estudo comparativo entre Brasil e Argentina","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","Determinants of inequality in the labor market: a comparative study between Brazil and Argentina","NAO",14
"Congresso","","2013","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",15
"Congresso","","2016","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",16
"Congresso","Formalização e Informalização do Emprego no Brasil Rural","2007","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",17
"Congresso","Gênero e mercado de trabalho brasileiro nos anos 2000: aspectos regionais","2012","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",18
"Congresso","","2015","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",19
"Congresso","Ocupação, Rendimentos e Gênero: Uma Comparação Brasil e Chile","2006","México","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",20
"Congresso","","2009","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",21
"Congresso","Coordenadora do Simpósio 778 - Brasil y México: dos experiencias de inserción en la globalización y sus repercusiones","2012","Austria","","NAO_INFORMADO","http://ica2012.univie.ac.at/index.php?id=117028&no_cache=1&tx_univietablebrowser_pi1%5Bbackpid%5D=117027&tx_univietablebrowser_pi1%5Bfkey%5D=778","NAO","Moderador","Convidado","","","NAO",22
"Congresso","VIII Global Labour University Conference: Sustainable growth, development and labour: progressive at local, national and global level.","2012","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",23
"Congresso",""A mão de obra feminina na dinâmica recente do setor de serviços"","2012","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",24
"Congresso","XVII Congresso da Ange","2002","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",25
"Congresso","","2015","Espanha","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",26
"Congresso","XXV International Population Conference","2005","França","","NAO_INFORMADO","www.iussp.org","NAO","Poster / Painel","Participante","","","NAO",27
"Congresso","Cambios en la composición de las familias e impactos sobre la distribución del ingreso y reducción de la pobreza en Brasil.","2007","México","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",28
"Congresso","","2016","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",29
"Congresso","The Jobs Crisis: Causes, Cures, Constraints","2013","Alemanha","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",30
"Congresso","Evolução Recente da Ocupação e Rendimentos do Trabalho de Homens e Mulheres no Brasil","2006","Espanha","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",31
