NOME-DO-EVENTO,INSTITUICAO-PROMOTORA,LOCAL-DA-APRESENTACAO,CIDADE-DA-APRESENTACAO,NOME-DO-EVENTO-INGLES,APRESENTACAO-DE-TRABALHO_Id
"","52° Congreso Internacional de Americanistas - Universidad de Sevilla","Sevila","Espanha","",0
"","II Congreso de la Asociación Latinoamericana de Población","Guadalajara, Jalisco","Guadalajara, Jalisco","",1
"XXVI IUSSP Internacional Population Conference","IUSSP - International Union for the Scientific Study of Population","Marrocos","Marrakech","",2
"XI Encontro Nacional da ABET","Associação Brasileira de Estudos de Trabalho - ABET","Universidade Estadual de Campinas - UNICAMP","Campinas - SP","",3
"XXVIII International Congress","LASA - Latin American Studies Association","Pontifícia Universidade Católica do Rio de Janeiro","Rio de Janeiro","",4
"The Global Labour University","Alumini Summer School","The Global Labour University","Berlim","",5
"XVI Encontro Nacional de Estudos Populacionais","ABEP","Caxambu","Caxambu-MG","",6
"III Congreso de la Asociación Latinoamericana de Población","ALAP","Cordoba","Cordoba - Argentina","",7
"VI Encontro Regional de Estudos do Trabalho","ABET","","João Pessoa - PB","",8
"II Congreso de Economia Feminista","","Zaragoza","Zaragoza","",9
"XV Encontro Nacional de Estudos Populacionais","ABEP","","Caxambu - MG","",10
""America Latina y el rumbo del capitalismo"","V Colóquio Latinoamericano de Esconomistas Políticos","","Cidade de México","",11
"IX Encontro Nacional da Associação Brasileira de Estudos do Trabalho","ABET","","Recife","",12
"XXV Conferencia Internacional de Población","XXV Congrés International de la population","","Tours","",13
"XIV Encontro Nacional de Estudos Populacionais","ABEP","","Caxambu - MG","",14
"A Economia, a Demografia e a Questão Social no Estado de São Paulo","NEPP/NEPO/IE","UNICAMP","Campinas - SP","",15
"INTERNATIONAL TRADE UNION & LABOUR STUDIES - ILTUS","Ruskin College","Inglaterra","Oxford","",16
"Seminário Tripartite","OIT - Organização Internacional do Trabalho","Hotel Mercure","Brasília","",17
"VI Global labour University (GLU) Conference","Berlin School of Economics and Law","Alemanha","Berlim","",18
"Seminário: Diálogos transversais em gênero e fecundidade: articulações contemporâneas","ABEP","Instituto de Filosofia e Ciências Humanas - UNICAMP","Campinas","",19
"XVII Encontro Nacional de Estudos Populacionais","ABEP","","Caxambu","",20
"Tercer Seminario Internacional sobre Desarrollo Regional: Trabajo y Políticas de Desarrollo","Universidad Nacional Autonoma do Mexico","","Acatlan","",21
"XXIX Internacional Congress of the Latin American Studies Association","LASA","Canadá","Toronto","",22
"Conference Work, Employment and Society","University of Brighton","Inglaterra","Brighton","",23
"XXX Congresso Internacional da Associação de Estudos Latino-Americanos - LASA","LASA","EUA","São Francisco - Califórnia","",24
"Taller ?Combatiendo la desigualdad social? reformas Laborales y sociales en América Latina","Universidad de Chile","Universidad de Chile","Santiago","",25
"53º IAC - Congreso Internacional de Americanistas - Los pueblos americanos: cambios y continuidades - la construción de lo propio en un mundo globalizado","Universidad Iberoamericana","México","Cidade do México","",26
"Congresso Internacional Família y Organización Social em Europa y América, Siglos XV a XX","Universidad de Murcia e Universidad de Castilla-la Mancha","Espanha","Murcia y Albacete","",27
"XXVI Congreso de ALAS - Asociación Latinoamericana de Sociología","ALAS","México","Guadalajara","",28
"X Encontro Nacional da ABET","ABET","Bahia","Salvador","",29
"Seminário Como Incluir os Excluídos? Contribuição ao debate sobre a previdência social brasileira","","São Paulo","São Paulo","",30
"Tempo de Debate","NEPO - UNICAMP","UNICAMP","Campinas","",31
"XXX Internacional Congress of the Latin Ameriacan Studies Association","LASA","São Francisco","São Francisco","",32
"54 International Congress od Americanists: Building Dialogues in the Americas.","ICA","Áustria","Viena","",33
"V Congreso de la Asociación Latinoamericana de Población - ALAP","Asociación Latinoamericana de Población - ALAP","Centro de Convenciones ?La Torre de los Profesionales?","Montevideo - Uruguai","",34
"54 International Congress od Americanists: Building Dialogues in the Americas.","54 ICA - Internacional Congress of Americanists: Building Dialogues in the Americas.","Austria","Viena","",35
"3º Encontro Nacional do Projeto Nacional de Fortalecimento de Políticas Públicas para as mulheres e autonomia financeira.","Centro de Estudos Sindicais e de Economia do Trabalho","Cajamar","Cajamar","",36
"10th Global Labor University Conference","Global Labor University Conference","","Washington D.C'","",37
"I Congreso Iberoamericano de Relaciones Laborales y Recursos Humanos","","Sevilla","Sevilla","",38
"XIV ENCONTRO NACIONAL DA ABET: Trabalho, dinâmicas internacionais e os desafios para o Brasil","Associação Brasileira de Estudos do Trabalho","Universidade Estadual de Campinas","Campinas","",39
"14th International Conference Developments in Economic Theory and Policy","University of the Basque Country and University of Cambridge","Espanha","Bilbao","",40
"XIX Encontro Nacional de Estudos Populacionais","","São Pedro","São Pedro","",41
"Curso de formação - Projeto das Mulheres UNICAMP/SPM","SPM","","Cajamar","",42
"3ª Conferência Nacional de Produtores e Usuários de Informações Estatísticas, Geográficas e Ambientais","IBGE","","Rio de Janeiro","",43
