NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id
"COMPLETO","Pobreza e Trabalho no Brasil: análise das condições de vida e ocupação das famílias agrícolas nos anos 80","1994","Brasil","Português","IMPRESSO","","NAO","","","NAO",0,
"COMPLETO","Regionalização da agricultura segundo Indicadores Sociais","1990","","Português","IMPRESSO","","NAO","","","NAO",1,
"COMPLETO","Modernização e Distribuição de de Renda na Agricultura da Bahia","1988","Brasil","Português","IMPRESSO","","NAO","","","NAO",2,
"COMPLETO","Padrões de Inserção Feminina na Região Metropolitana de São Paulo em 1997","2001","Brasil","Português","IMPRESSO","","NAO","","","NAO",3,
"COMPLETO","Participação da mulher no mercado de trabalho e desigualdade da renda domiciliar per capita no Brasil:1981-2002","2004","Brasil","Português","IMPRESSO","","NAO","","","NAO",4,
"COMPLETO","Perspectiva da Geração de Empregos Formais num Cenário de Crescimento Econômico","2007","","Português","MEIO_DIGITAL","[http://www.eco.unicamp.br/cesit]","NAO","","Prospects for formal job creation in Economic Growth Scenario","NAO",5,
"COMPLETO","Economia e Mercado de Trabalho no Brasil","2007","","Português","MEIO_DIGITAL","[http://www.eco.unicamp.br/cesit]","NAO","","Economy and Labor Market in Brazil","NAO",6,
"COMPLETO","Contribuição à Previdência Social e Informalidade do Mercado de Trabalho","2007","","Português","MEIO_DIGITAL","[http://www.eco.unicamp.br/cesit]","NAO","","Contribution to Social Security and Information Labor Market","NAO",7,
"COMPLETO","A Mulher no Atual Mercado de Trabalho","2006","","Português","IMPRESSO","[http://www.eco.unicamp.br/cesit]","NAO","","","NAO",8,
"COMPLETO","Domicílios de baixa renda e mercado de trabalho","2006","","Português","MEIO_DIGITAL","[http://www.eco.unicamp.br]","NAO","","","NAO",9,
"COMPLETO","Formalização dos contratos de trabalho e salários no Nordeste","2006","","Português","IMPRESSO","","NAO","","","NAO",10,
"COMPLETO","A mulher na recuperação recente do mercado de trabalho","2008","","Português","IMPRESSO","","SIM","10.1590/S0102-30982008000200003","The woman in the recent recovery of the labor market","NAO",11,
"COMPLETO","Diferenças de rendimento do trabalho de homens e mulheres com educação superior nas metrópoles","2006","","Português","VARIOS","[http://www.scielo.br/scielo.php?pid=S0102-30982006000200010&script=sci_abstract&tlng=pt][doi:10.1590/s0102-30982006000200010]","NAO","10.1590/S0102-30982006000200010","","NAO",12,
"COMPLETO","Mercado de Trabalho metropolitano: gênero e diferenças de rendimento, 1992-2002","2006","","Português","NAO_INFORMADO","","NAO","","","NAO",13,
"COMPLETO","Formalização dos contratos de trabalho e salários no Nordeste","2007","","Português","IMPRESSO","","NAO","","Formalization of labor contracts and wages in the Brazilian Northeast","NAO",14,
"COMPLETO","Mudanças na composição das famílias e impactos sobre a redução da pobreza no Brasil","2010","","Português","VARIOS","[http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182010000100003&lng=pt&nrm=iso&tlng=pt][doi:10.1590s0104-06182010000100003]","NAO","10.1590S0104-06182010000100003","","NAO",15,
"COMPLETO","Trabalho no governo Lula: uma reflexão sobre a recente experiência brasileira","2010","","Português","MEIO_DIGITAL","[http://www.global-labour-university.org/fileadmin/GLU_Working_Papers/GLU_WP_No._9_portuguese.pdf]","NAO","","","NAO",16,
"COMPLETO","Diferenças de renda do trabalho no Brasil: 2004 e 2007.","2010","","Português","MEIO_DIGITAL","[http://www.abet-trabalho.org.br/docs/revista/revabet10v9n2.pdf]","NAO","","","NAO",17,
"COMPLETO","O mercado de trabalho no Brasil nos anos 2000","2012","","Português","MEIO_DIGITAL","","NAO","","","NAO",18,
"COMPLETO","As Mulheres no Mercado de Trabalho e na Organização Sindical","2014","","Português","IMPRESSO","","NAO","","","NAO",19,
"COMPLETO","Perspectivas para o mercado de trabalho após o crescimento com inclusão social","2015","","Português","NAO_INFORMADO","","NAO","","","NAO",20,
"COMPLETO","Dossiê: Relações de Gênero, Raça e Etnia no Mercado de Trabalho","2016","","Português","NAO_INFORMADO","","NAO","","","NAO",21,
"COMPLETO","TRABALHO DECENTE NO BRASIL: DIFERENÇAS POR SEXO E IDADE","2016","","Português","NAO_INFORMADO","","NAO","","","NAO",22,
"COMPLETO","Trajetórias da Modernização e Emprego Agrícola no Brasil, 1985-1996","2002","Brasil","Português","IMPRESSO","","NAO","","","NAO",23,
"NAO_INFORMADO","Perspectivas para o mercado de trabalho após o crescimento com inclusão social.","2015","","Português","NAO_INFORMADO","","NAO","","","NAO",,0
