NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","Um Estudo sobre Difrenciação de Salários na Indústria de Trasnformação da Região Metropolitana de Curitiba","1999","Brasil","Português","","","",0
"Mestrado","ACADEMICO","Evolução das Famílias Rurais no Brasil e Grandes Regiões: Pluriatividade e Trabalho doméstico, 1992-1999","2002","Brasil","Português","","","",1
"Mestrado","ACADEMICO","O Programa de Garantia de Renda Familiar Mínima do Município de Campinas/SP: Uma Avaliação através das Tipologias das Famílias e dos Critérios de Emancipação, Permanência e Desligamento","2000","Brasil","Português","","","",2
"Mestrado","ACADEMICO","Características do Emprego Rural no Estado de são Paulo nos Anos 90","2000","Brasil","Português","","","",3
"Mestrado","ACADEMICO","Viabilidade de Inserção da Mão-de-Obra Rural em Atividades Agrícola e Não-Agrícolas: O Caso da Região de Ribeirão Preto","2001","Brasil","Português","","","",4
"Mestrado","ACADEMICO","Trabalho infantil e famílias em Regiões Metropolitanas Brasileiras","2003","Brasil","Português","","","",5
"Mestrado","ACADEMICO","Questões de raça e gênero na desigualdade social brasileira recente","2005","Brasil","Português","","","",6
"Mestrado","ACADEMICO","Como crescimento e desigualdade afetam a pobreza?","2006","Brasil","Português","","","",7
"Mestrado","ACADEMICO","Ocupações e Rendas das Mulhers das Famílias Rurais na Região Sul: Uma Perspectiva de Gênero","2008","Brasil","Português","","","",8
"Mestrado","ACADEMICO","Desigualdade e polarização da distribuição de renda no Brasil e no Estado de São Paulo, 1992-2007.","2009","Brasil","Português","","","",9
"Mestrado","ACADEMICO","Previdência social e mulher no contexto brasileiro","2004","Brasil","Português","","","",10
"Mestrado","ACADEMICO","Mobilidade Brasileira a partir de estratos de renda (1981-2004).","2007","Brasil","Português","","","",11
"Mestrado","ACADEMICO","As portas do Programa Bolsa Família: vozes das mulheres beneficiárias do município de Santo Antonio do Pinhal/SP.","2013","Brasil","Português","","","",12
"Mestrado","ACADEMICO","Income inequality within the labourmarket: the case of Barbados (Desigualdade de renda no mercado de trabalho: o caso de Barbados","2015","Brasil","Inglês","","","",13
"Mestrado","ACADEMICO","Youth development and unemployment: the cas of Liberia","2015","Brasil","Inglês","","","",14
"Mestrado","ACADEMICO","Mudanças na constituição das famílias e impactos na distribuição de rendimentos: um comparativo entre áreas rurais urbanas no Brasil","2014","Brasil","Português","","","",15
"Mestrado","ACADEMICO","Economic Performance, Inequelity and The Labour Market: the case of Barbados","2015","Brasil","Português","","","",16
"Mestrado","ACADEMICO","Participação no mercado de trabalho e nível socioeconômico da população no período 2004-2013","2016","Brasil","Português","","","",17
"Mestrado","ACADEMICO","Observações sobre o Brabalho Feminino Formal nas Regiões Metropolitanas de São Paulo e Recife neste Final de Século","1999","Brasil","Português","","","",18
