SEQUENCIA-HISTORICO,TIPO-DE-VINCULO,ENQUADRAMENTO-FUNCIONAL,CARGA-HORARIA-SEMANAL,FLAG-DEDICACAO-EXCLUSIVA,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,OUTRAS-INFORMACOES,FLAG-VINCULO-EMPREGATICIO,OUTRO-VINCULO-INFORMADO,OUTRO-ENQUADRAMENTO-FUNCIONAL-INFORMADO,OUTRO-ENQUADRAMENTO-FUNCIONAL-INFORMADO-INGLES,OUTRAS-INFORMACOES-INGLES,ATUACAO-PROFISSIONAL_Id
"1","LIVRE","LIVRE","40","SIM","3","1983","","","","NAO","","Professora MS3.2","","",0
"1","LIVRE","LIVRE","","NAO","03","2010","","","Membro do Corpo editorial da Revista Bahia Análise e Dados como parte do Conselho Especial Temático.","SIM","Membro de corpo editorial","","","",2
"1","LIVRE","LIVRE","","NAO","","2007","","","","SIM","Membro de corpo editorial","","","",3
"1","LIVRE","LIVRE","","NAO","","1996","","","Consultora "ad-hoc" da Revista Brasileira de Estudos Populacionais (ABEP).","SIM","Revisor de periódico","","","",4
"1","LIVRE","LIVRE","","NAO","","2010","","2010","Parecerista da Revista de Estudos Feministas - REF ( ISSN: 0140-026X) em 2010.","SIM","Revisor de periódico","","","",5
"1","LIVRE","LIVRE","","NAO","","2009","","2009","Parecerista da Revista ECONOMIA da ANPEC (ISSN: 1517-7580) em 2009.","SIM","Revisor de periódico","","","",6
"1","LIVRE","LIVRE","","NAO","","2009","","2009","Parecerista da Revista de Economia Contemporânea (REC), do Instituto de Economia da Universidade Federal do Rio de Janeiro, em 2009.","SIM","Revisor de periódico","","","",7
"1","LIVRE","LIVRE","","NAO","","2010","","2010","Parecer de avaliação para Agência para Formação Profissional da Unicamp - AFPU), vinculada à Pró-Reitoria de Desenvolvimento Universitário - PRDU.","SIM","Revisor de projeto de fomento","","","",8
"1","LIVRE","LIVRE","","NAO","","2004","","","Parecerista "ad-hoc" da Revista Economia e Sociedade, do CESIT/UNICAMP desde 2004.","SIM","Revisor de periódico","","","",9
"1","LIVRE","LIVRE","","NAO","","2004","","","Parecerista "ad-hoc" da Revista Nova Economia desde 2004.","SIM","Revisor de periódico","","","",10
"1","LIVRE","LIVRE","","NAO","","2001","","2001","Parecer emitido para os Cadernos PAGU - revista do Núcleo de Estudos de Gênero da Unicamp, em 2001.","SIM","Revisor de periódico","","","",11
"1","LIVRE","LIVRE","","NAO","","2000","","","Parecerista "ad-hoc" do Conselho Nacional de Desenvolvimento Científico e Tecnológico desde 2000.","SIM","Revisor de projeto de fomento","","","",12
"1","LIVRE","LIVRE","","NAO","","2002","","","Parecerista "ad-hoc" do Programa Institucional de Bolsas de Iniciação Científica (PIBIC/CNPq) desde 2002.","SIM","Revisor de projeto de fomento","","","",13
"1","LIVRE","LIVRE","","NAO","01","2014","12","2015","Avaliadora de artigos submetidos à Revista Brasileira de Estudos de População (Impresso);","SIM","Revisor de periódico","","","",14
"2","LIVRE","LIVRE","","NAO","","2014","","","","SIM","","","","",15
